Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch
Fcfs_with_a_score_x0_x0_x60000,1139,3096880,797345.4986830553,908176523,3115246,804396.426690079,916207530.0,95808.0,3982840,150876501.0,9249.0,105057.0,71.96591758640568
Fcfs_with_a_score_x15000_x0_x0,1139,470889,120652.83582089552,137423580,489255,127719.51799824407,145472531.0,111104.0,1356849,151163816.0,11897.0,123001.0,11.793199535738552
Fcfs_with_a_score_x15000_x0_x15000,1139,2058879,531500.1115013169,605378627,2077245,538552.1633011414,613410914.0,97088.0,2944839,150902101.0,9249.0,106337.0,48.747668602583495
Fcfs_with_a_score_x15000_x0_x30000,1139,3096856,797611.8007023705,908479841,3115222,804662.7287093942,916510848.0,95808.0,3982816,150876501.0,9249.0,105057.0,72.0042568207027
Fcfs_with_a_score_x15000_x0_x45000,1139,3096880,797345.4986830553,908176523,3115246,804396.426690079,916207530.0,95808.0,3982840,150876501.0,9249.0,105057.0,71.96591758640568
Fcfs_with_a_score_x15000_x0_x60000,1139,3096850,796846.8779631256,907608594,3115216,803897.8059701492,915639601.0,95808.0,3982810,150876501.0,9249.0,105057.0,71.87086162236255
Fcfs_with_a_score_x30000_x0_x0,1139,470889,120652.86742756804,137423616,489255,127719.54872695346,145472566.0,111104.0,1356849,151163806.0,11896.0,123000.0,11.793234718929313
Fcfs_with_a_score_x30000_x0_x15000,1139,3096856,797611.8007023705,908479841,3115222,804662.7287093942,916510848.0,95808.0,3982816,150876501.0,9249.0,105057.0,72.0042568207027
Fcfs_with_a_score_x30000_x0_x30000,1139,3096880,797345.4986830553,908176523,3115246,804396.426690079,916207530.0,95808.0,3982840,150876501.0,9249.0,105057.0,71.96591758640568
Fcfs_with_a_score_x30000_x0_x45000,1139,3096850,796846.8779631256,907608594,3115216,803897.8059701492,915639601.0,95808.0,3982810,150876501.0,9249.0,105057.0,71.87086162236255
Fcfs_with_a_score_x30000_x0_x60000,1139,3096975,797574.4969271291,908437352,3115341,804625.4249341527,916468359.0,95808.0,3982935,150876501.0,9249.0,105057.0,72.00395154144732
Fcfs_with_a_score_x45000_x0_x0,1139,470889,120652.86742756804,137423616,489255,127719.54872695346,145472566.0,111104.0,1356849,151163806.0,11896.0,123000.0,11.793234718929313
Fcfs_with_a_score_x45000_x0_x15000,1139,3096880,797345.4986830553,908176523,3115246,804396.426690079,916207530.0,95808.0,3982840,150876501.0,9249.0,105057.0,71.96591758640568
Fcfs_with_a_score_x45000_x0_x30000,1139,3096850,796846.8779631256,907608594,3115216,803897.8059701492,915639601.0,95808.0,3982810,150876501.0,9249.0,105057.0,71.87086162236255
Fcfs_with_a_score_x45000_x0_x45000,1139,3096975,797574.4969271291,908437352,3115341,804625.4249341527,916468359.0,95808.0,3982935,150876501.0,9249.0,105057.0,72.00395154144732
Fcfs_with_a_score_x45000_x0_x60000,1139,3097812,797161.2388059702,907966651,3116178,804212.1668129938,915997658.0,95808.0,3983772,150876501.0,9249.0,105057.0,71.93715871798639
Fcfs_with_a_score_x60000_x0_x0,1139,470889,120652.86742756804,137423616,489255,127719.54872695346,145472566.0,111104.0,1356849,151163806.0,11896.0,123000.0,11.793234718929313
Fcfs_with_a_score_x60000_x0_x15000,1139,3096850,796846.8779631256,907608594,3115216,803897.8059701492,915639601.0,95808.0,3982810,150876501.0,9249.0,105057.0,71.87086162236255
Fcfs_with_a_score_x60000_x0_x30000,1139,3096975,797574.4969271291,908437352,3115341,804625.4249341527,916468359.0,95808.0,3982935,150876501.0,9249.0,105057.0,72.00395154144732
Fcfs_with_a_score_x60000_x0_x45000,1139,3097812,797161.2388059702,907966651,3116178,804212.1668129938,915997658.0,95808.0,3983772,150876501.0,9249.0,105057.0,71.93715871798639
Fcfs_with_a_score_x60000_x0_x60000,1139,6202651,1595867.6681299387,1817693274,6221017,1602917.4723441615,1825723001.0,94528.0,7088611,150850901.0,9249.0,103777.0,141.7713672916009
Fcfs_with_a_score_x0_x0_x0,1139,101750,52729.92010535557,60059379,193825.0,59885.76031606673,68209881.0,210816.0,1051423.0,153088615.0,13736.0,224552.0,91.85346737533982
Fcfs_with_a_score_x0_x0_x0,1139,101750,52729.92010535557,60059379,193825.0,59885.76031606673,68209881.0,210816.0,1051423.0,153088615.0,13736.0,224552.0,91.85346737533982
Fcfs_with_a_score_x0_x0_x15000,1139,2058899,531281.9332748024,605130122,2077265,538333.9850746269,613162409.0,97088.0,2944859,150902101.0,9249.0,106337.0,48.7126302762601
Fcfs_with_a_score_x0_x0_x30000,1139,3096925,797550.468832309,908409984,3115291,804601.3968393328,916440991.0,95808.0,3982885,150876501.0,9249.0,105057.0,71.99436705022538
Fcfs_with_a_score_x0_x0_x45000,1139,3096856,797611.8007023705,908479841,3115222,804662.7287093942,916510848.0,95808.0,3982816,150876501.0,9249.0,105057.0,72.0042568207027
Fcfs_with_a_score_x0_x0_x60000,1139,3096880,797345.4986830553,908176523,3115246,804396.426690079,916207530.0,95808.0,3982840,150876501.0,9249.0,105057.0,71.96591758640568
Fcfs_with_a_score_x0_x15000_x0,1139,101292,28278.274802458298,32208955,193825.0,35445.461808604035,40372381.0,214336.0,1051423.0,153102340.0,23140.0,237476.0,3.835374248471022
Fcfs_with_a_score_x0_x15000_x15000,1139,2058884,531662.7497805093,605563872,2077250,538714.9982440737,613596383.0,97088.0,2944844,150902086.0,9473.0,106561.0,48.30853673737491
Fcfs_with_a_score_x0_x15000_x30000,1139,3096773,797455.090430202,908301348,3115139,804507.4047410008,916333934.0,95808.0,3982733,150884861.0,10828.0,106636.0,71.89452257867929
Fcfs_with_a_score_x0_x15000_x45000,1139,3096856,797651.7866549605,908525385,3115222,804701.706760316,916555244.0,95872.0,3982816,150867793.0,8037.0,103909.0,72.25697490291768
Fcfs_with_a_score_x0_x15000_x60000,1139,3096880,797385.4846356453,908222067,3115246,804435.4047410008,916251926.0,95872.0,3982840,150867793.0,8037.0,103909.0,72.21863566862068
Fcfs_with_a_score_x0_x30000_x0,1139,101425,28289.4776119403,32221715,193825.0,35460.40649692713,40389403.0,215296.0,1051423.0,153106602.0,26442.0,241738.0,3.6660005120580954
Fcfs_with_a_score_x0_x30000_x15000,1139,2058830,531555.0430201931,605441194,2077196,538605.9122036875,613472134.0,97088.0,2944790,150894707.0,7902.0,104990.0,49.46275473110953
Fcfs_with_a_score_x0_x30000_x30000,1139,3096925,797562.440737489,908423620,3115291,804613.1018437225,916454323.0,95808.0,3982885,150872988.0,8945.0,104753.0,71.81911498771072
Fcfs_with_a_score_x0_x0_x0,1139,101750,52729.92010535557,60059379,193825.0,59885.76031606673,68209881.0,210816.0,1051423.0,153088615.0,13736.0,224552.0,91.85346737533982
Fcfs_with_a_score_x0_x0_x15000,1139,2058899,531281.9332748024,605130122,2077265,538333.9850746269,613162409.0,97088.0,2944859,150902101.0,9249.0,106337.0,48.7126302762601
Fcfs_with_a_score_x0_x0_x30000,1139,3096925,797550.468832309,908409984,3115291,804601.3968393328,916440991.0,95808.0,3982885,150876501.0,9249.0,105057.0,71.99436705022538
Fcfs_with_a_score_x0_x0_x45000,1139,3096856,797611.8007023705,908479841,3115222,804662.7287093942,916510848.0,95808.0,3982816,150876501.0,9249.0,105057.0,72.0042568207027
Fcfs_with_a_score_x0_x0_x60000,1139,3096880,797345.4986830553,908176523,3115246,804396.426690079,916207530.0,95808.0,3982840,150876501.0,9249.0,105057.0,71.96591758640568
Fcfs_with_a_score_x0_x15000_x0,1139,101292,28278.274802458298,32208955,193825.0,35445.461808604035,40372381.0,214336.0,1051423.0,153102340.0,23140.0,237476.0,3.835374248471022
Fcfs_with_a_score_x0_x15000_x15000,1139,2058884,531662.7497805093,605563872,2077250,538714.9982440737,613596383.0,97088.0,2944844,150902086.0,9473.0,106561.0,48.30853673737491
Fcfs_with_a_score_x0_x15000_x30000,1139,3096773,797455.090430202,908301348,3115139,804507.4047410008,916333934.0,95808.0,3982733,150884861.0,10828.0,106636.0,71.89452257867929
Fcfs_with_a_score_x0_x15000_x45000,1139,3096856,797651.7866549605,908525385,3115222,804701.706760316,916555244.0,95872.0,3982816,150867793.0,8037.0,103909.0,72.25697490291768
Fcfs_with_a_score_x0_x15000_x60000,1139,3096880,797385.4846356453,908222067,3115246,804435.4047410008,916251926.0,95872.0,3982840,150867793.0,8037.0,103909.0,72.21863566862068
Fcfs_with_a_score_x0_x30000_x0,1139,101425,28289.4776119403,32221715,193825.0,35460.40649692713,40389403.0,215296.0,1051423.0,153106602.0,26442.0,241738.0,3.6660005120580954
Fcfs_with_a_score_x0_x30000_x15000,1139,2058830,531555.0430201931,605441194,2077196,538605.9122036875,613472134.0,97088.0,2944790,150894707.0,7902.0,104990.0,49.46275473110953
Fcfs_with_a_score_x0_x30000_x30000,1139,3096925,797562.440737489,908423620,3115291,804613.1018437225,916454323.0,95808.0,3982885,150872988.0,8945.0,104753.0,71.81911498771072
