Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Total transfer and wait time,Makespan,Core time used
Random,26,107253,55205.230769230766,1435336,214506.0,110410.46153846153,2870672.0,29888.0,298762.0,1435336.0
Fcfs_with_a_score,26,107253,55205.230769230766,1435336,214506.0,110410.46153846153,2870672.0,29887.0,298762.0,1435336.0
