metric,avg_power_W,avg_power_W,avg_power_W,avg_power_W,duration_s,duration_s,duration_s,duration_s,nodes,nodes,nodes,nodes,total_energy,total_energy,total_energy,total_energy,cores,req_walltime,count
machine,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,,,
func_name,,,,,,,,,,,,,,,,,,,
161,6.753002381014045,3.5505544038339267,3.8850000000000002,0.8650105035038638,7.745771793471043,9.716807309731,10.666666666666666,64.176438283104,5.0,2.0,2.0,2.0,2517.375832878089,6743.895235771397,6216.533333333333,18559.879877671076,80.0,60.0,3.0
162,1.6915433492134029,1.8589417851473915,5.785000000000001,0.7060726712823018,14.264514895416836,14.255918635799642,29.0,94.60692381401492,5.0,2.0,2.0,2.0,2394.6335839336475,7965.000467697801,21309.2,26157.4723126163,80.0,60.0,1.0
163,5.075157437840773,2.7507928555399888,3.8096153846153844,0.668207557175025,7.821550897504207,10.499365853993826,8.846153846153847,69.42437965630944,5.0,2.0,2.0,2.0,2542.0040416888673,6615.266446446807,5102.189349112426,18984.555135470797,80.0,60.0,26.0
164,2.9857514541052494,2.3347198073698925,3.875,0.7727831978817971,47.35785466563942,62.086560418962385,53.0,415.3215556829695,5.0,2.0,2.0,2.0,12853.400843865602,37051.867562304105,30846.0,117047.02384624755,80.0,60.0,1.0
165,3.9965235690305416,0.07923660664343185,4.370189873417721,0.8248838423241617,212.0748401150357,273.0964570876601,247.86075949367088,1830.1588772920952,5.0,2.0,2.0,2.0,68924.3230373866,113700.68632961823,154074.01307482773,523408.43194541114,80.0,86400.0,79.0
166,4.223378456849582,2.34478392720666,3.9050000000000002,0.5682980852589097,6.831643069133961,9.11465146912853,8.0,60.13962425090057,5.0,2.0,2.0,2.0,2220.2839974685376,5446.758163694949,4675.200000000001,15964.895999996292,80.0,86400.0,2.0
167,2.2583497561146224,2.0673117543889497,2.305,0.7352889848224352,36.7349008732872,48.6334670619855,40.0,325.1177343987337,6.0,2.0,2.0,2.0,9399.049653206564,29591.613154351377,19731.2,94475.22849960766,96.0,1019.0,1.0
168,5.556929077090928,3.279938357609268,2.321875,0.9053155662587461,23.001242913497222,32.52142250095199,19.625,217.08704412357605,6.0,2.0,2.0,2.0,8970.484736263918,23573.936291459715,9712.4125,66626.24861389131,96.0,119.0,8.0
169,2.749884534664602,2.248010162956254,0.6816666666666665,0.7606253227935315,82.28969054757965,123.4598755243609,48.0,826.8543359965945,6.0,2.0,2.0,2.0,24937.80146310448,77262.2982350114,16197.119999999999,242284.8831564323,96.0,120.0,3.0
17,3.968462714757392,0.06482363466958671,4.675,0.8234374558266339,101.64909100781132,95.8313335337665,217.0,641.5396091401805,1.0,1.0,1.0,1.0,6607.190915507736,19744.81754010041,45743.600000000006,79021.6409024183,16.0,240.0,2.0
170,3.9974007576563166,0.080445053990357,4.36625,0.82492905737109,216.86803431050893,280.8627998289218,249.0,1882.2347549975073,6.0,2.0,2.0,2.0,84578.53338109849,117322.77414708551,172098.84,563151.8197498067,96.0,1380.0,8.0
171,6.310465801949791,3.339614932502324,2.282,0.8131031447127397,13.597515519990027,19.757229338645633,10.5,131.50129739084034,6.0,2.0,2.0,2.0,5303.031052796111,14434.691688769251,5156.256,39195.000796445434,96.0,20.0,10.0
172,2.9854283417058842,2.33460098824555,4.246666666666667,0.7727665247837127,60.993965958701224,85.46364732040239,52.666666666666664,572.0738215520236,6.0,2.0,2.0,2.0,19863.363316377323,54194.35288871991,35796.48,168295.8726454927,96.0,240.0,3.0
173,7.4837182728033795,3.898857427558474,4.315,0.9507198771348255,10.019045502391377,13.195320863886321,11.777777777777779,87.50081821399685,6.0,2.0,2.0,2.0,3907.4277459326368,10348.962331074717,8082.3822222222225,27236.301652673654,96.0,30.0,18.0
174,3.6929160081615207,2.594688237789134,4.670000000000001,0.8092342662705194,54.241728983694365,55.52563501042386,104.0,371.3114969973051,6.0,2.0,2.0,2.0,21154.274303640803,36596.39471177643,74913.28,110534.41607512768,96.0,300.0,1.0
175,1.8708292715691623,1.924851105508093,2.4833333333333334,0.7153140720981822,33.25487522010646,44.37269328801757,35.333333333333336,296.54916195033013,6.0,2.0,2.0,2.0,7271.498048576254,26392.243710149174,18034.133333333335,85604.89133582405,96.0,59.0,3.0
176,3.028541929621042,2.350450484931147,2.2849999999999997,0.7749888527816426,61.853633146585835,86.09253507889999,55.0,576.2899915561147,6.0,2.0,2.0,2.0,20399.329773153622,54724.13850156361,27024.8,169659.15680720436,96.0,659.0,1.0
177,3.955224839886003,0.07319113769279459,1.9766666666666666,0.8227550824183929,199.03736630262793,265.8822135905841,206.0,1781.7982766145665,6.0,2.0,2.0,2.0,77624.5728580249,110879.88885581694,95122.56,532730.0452963855,96.0,719.0,3.0
178,3.760380809839098,2.6194897086009568,4.1315,0.812711767100127,97.16346366413909,123.70799310814347,118.0,828.4952913358736,6.0,2.0,2.0,2.0,37893.75082901424,81829.25139691097,78897.632,246908.4398304406,96.0,720.0,10.0
179,4.176143935689262,0.6578929213550511,4.584999999999999,0.8341424476789258,70979.04626060832,90055.11036512056,86400.0,603824.3005935104,6.0,2.0,2.0,2.0,27681828.04163724,42610270.735241264,61530623.999999985,181194192.21682054,96.0,86400.0,1.0
18,0.9554315121022201,1.5883316949213873,0.19833333333333333,0.6681294864824106,8.894414391125403,4.379065152460314,31.0,28.37825704452249,1.0,1.0,1.0,1.0,193.87069834185343,1008.9948838668199,4314.373333333334,3424.9738798002363,16.0,360.0,3.0
180,3.989909540963417,0.07167838064967597,3.990000000000001,0.8245428924250909,140.25111845921003,153.41633906384573,240.0,1027.6612428061742,7.0,2.0,3.0,2.0,63814.25889894056,64132.32210809814,205171.2,320988.7600579338,112.0,240.0,1.0
181,4.10854150036572,0.43355118375795926,3.7150000000000007,0.8306578524666755,642.0001607858617,871.2069182866255,624.5,5840.591913402491,7.0,2.0,3.0,2.0,292110.07315756707,399498.66905830096,514637.9600000001,1828301.9769717162,112.0,720.0,2.0
182,4.117841818903803,0.46760143304264007,4.51,0.8311372411942427,572.5430761035781,718.4711279059236,720.0,4816.409950440033,7.0,2.0,3.0,2.0,260507.09962712802,332200.4728903887,657446.4,1507957.1291077607,112.0,720.0,2.0
183,4.11784181614672,0.46760142112821423,4.505000000000001,0.8311372066174719,578.7927695327256,729.1304744450485,720.0,4887.884876898719,7.0,2.0,3.0,2.0,263350.7101373902,337129.04847877,657043.2000000001,1530335.0069972975,112.0,720.0,2.0
184,4.175825020084376,0.6569812305577858,4.199473684210527,0.8341260090434747,43630.97872905896,55833.55126777705,51782.89473684211,374367.1381868892,7.0,2.0,3.0,2.0,19852095.321721826,27000094.684239917,45483042.27146815,117334939.49311557,112.0,86400.0,114.0
185,4.175708327978563,0.6566462245431371,4.234496402877698,0.8341200290807853,39055.08120145892,50410.50014449444,45146.611510791365,338005.69968058524,7.0,2.0,3.0,2.0,17770061.946663808,24375713.89413064,39831211.86939392,105938234.22299734,112.0,86400.0,139.0
186,4.146523378078999,0.5669450215281355,4.638333333333334,0.8326156110198879,1256.2661255538899,1644.9810845471018,1387.7619047619048,11028.790398814124,7.0,2.0,3.0,2.0,571601.0871270199,778894.9943402081,1287139.914920635,3454801.110091624,112.0,86400.0,21.0
187,3.8095718548661255,0.5731060640540021,4.884999999999999,0.8152473122377792,102.46189093451623,128.0796852735364,131.0,857.8049030240704,7.0,2.0,3.0,2.0,46620.16037520488,60733.8343251378,125120.71999999999,267041.2705261489,112.0,86400.0,1.0
188,4.175434956229662,0.6558633311900397,4.25027972027972,0.8341059030423504,31108.0456140412,40587.61131569811,34748.692307692305,272142.918430439,7.0,2.0,3.0,2.0,14154160.754388746,19622352.34724298,30718932.630360406,85294995.70490481,112.0,86400.0,143.0
189,4.129848987279972,0.5104223271437885,4.209999999999999,0.831756128387601,815.691513777677,1068.5850197782174,900.0,7163.996696204002,7.0,2.0,3.0,2.0,371139.638768843,499207.97919424233,791567.9999999999,2243453.4666162953,112.0,900.0,1.0
19,2.503860273997539,2.1575665355879754,3.758571428571429,0.7479439173723899,35.815764088470814,46.14302080269662,42.57142857142857,308.41751950753417,1.0,1.0,1.0,1.0,1668.0033263597809,11052.225465110214,8349.838367346938,37616.791269456604,16.0,360.0,7.0
190,6.995117036510065,3.66596077113051,4.0725,0.8934093596155394,10.86156198706391,14.911413589710499,11.0,99.00811815090985,8.0,2.0,3.0,2.0,5648.0122332732335,12227.35914356261,10222.08,33103.997760745,128.0,120.0,2.0
