Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,3062,0.000000,0.000000,0.000000,548330.000000,16071.959961,49212340.000000,600000.000000,3386969.000000,292339712.000000,222900.000000,822900.000000,0.991728,0.913303,1.000000,1.000000,0,0,0.991728,0.000000,0.000000,0.913303,0.000000,0.000000,1471
FCFS CONSERVATIVE BF MODE 2,3062,0.000000,0.000000,0.000000,548330.000000,16071.959961,49212340.000000,600000.000000,3386969.000000,292339712.000000,222900.000000,822900.000000,0.991728,0.913303,1.000000,1.000000,0,0,0.991728,0.000000,0.000000,0.913303,0.000000,0.000000,1471
EFT,3062,139.000000,0.106140,325.000000,548330.000000,16071.740234,49211668.000000,603392.000000,3386969.000000,292337216.000000,218627.000000,822019.000000,0.991637,0.913072,1.000000,1.000000,0,0,0.991637,0.000000,0.000000,0.913072,0.000000,0.000000,1466
EFT CONSERVATIVE BF MODE 2,3062,139.000000,0.106140,325.000000,548330.000000,16071.625000,49211316.000000,600320.000000,3386969.000000,292336512.000000,221036.000000,821356.000000,0.990919,0.912556,1.000000,1.000000,0,0,0.990919,0.000000,0.000000,0.912556,0.000000,0.000000,1469
SCORE,3062,330560.000000,589.005249,1803534.000000,548330.000000,16551.259766,50679960.000000,377728.000000,3386969.000000,289993792.000000,109002.000000,486730.000000,1.238068,1.130365,4.907767,3.370000,0,15,1.238068,0.000000,0.000000,1.130365,0.000000,0.000000,2175
SCORE CONSERVATIVE BF MODE 2,3062,330560.000000,637.606445,1952351.000000,548330.000000,16592.138672,50805128.000000,380032.000000,3386969.000000,289863648.000000,82953.000000,462985.000000,1.323944,1.207550,4.232432,4.232432,0,17,1.323944,0.000000,0.000000,1.207550,0.000000,0.000000,2147
OPPORTUNISTIC-SCORE MIX,3062,139.000000,0.106140,325.000000,548330.000000,16071.740234,49211668.000000,603392.000000,3386969.000000,292337216.000000,218627.000000,822019.000000,0.991637,0.913072,1.000000,1.000000,0,0,0.991637,0.000000,0.000000,0.913072,0.000000,0.000000,1466
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,3062,139.000000,0.106140,325.000000,548330.000000,16071.625000,49211316.000000,600320.000000,3386969.000000,292336512.000000,221036.000000,821356.000000,0.990919,0.912556,1.000000,1.000000,0,0,0.990919,0.000000,0.000000,0.912556,0.000000,0.000000,1469
EFT-SCORE MIX,3062,139.000000,0.083279,255.000000,548330.000000,16071.917969,49212212.000000,598528.000000,3386969.000000,292338688.000000,224086.000000,822614.000000,0.992289,0.913627,1.000000,1.000000,0,0,0.992289,0.000000,0.000000,0.913627,0.000000,0.000000,1485
EFT-SCORE MIX CONSERVATIVE BF MODE 2,3062,139.000000,0.083279,255.000000,548330.000000,16071.902344,49212164.000000,597760.000000,3386969.000000,292338752.000000,224536.000000,822296.000000,0.992153,0.913522,1.000000,1.000000,0,0,0.992153,0.000000,0.000000,0.913522,0.000000,0.000000,1486
