Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
EFT-SCORE MIX TH 50,41306,321413.000000,3760.320068,155323776.000000,685586.000000,8669.159180,358088288.000000,925504.000000,4734800.000000,1192702720.000000,683594.000000,1609098.000000,5.840568,4.959368,126.682053,82.343330,0,349,5.840568,0.000000,0.000000,4.959368,0.000000,0.000000,37790
EFT-SCORE MIX TH 55,41306,280799.000000,3700.912354,152869888.000000,620998.000000,8610.002930,355644800.000000,945664.000000,4670212.000000,1192712960.000000,700056.000000,1645720.000000,5.831771,4.966302,130.338455,84.720001,0,407,5.831771,0.000000,0.000000,4.966302,0.000000,0.000000,37772
EFT-SCORE MIX TH 60,41306,280797.000000,3476.588867,143603984.000000,803722.000000,8386.146484,346398176.000000,991040.000000,4852936.000000,1192900608.000000,705296.000000,1696336.000000,5.475145,4.706372,114.928207,74.703331,0,317,5.475145,0.000000,0.000000,4.706372,0.000000,0.000000,37723
EFT-SCORE MIX TH 65,41306,233625.000000,3904.127441,161263888.000000,620998.000000,8814.394531,364087392.000000,988800.000000,4670212.000000,1192972800.000000,724312.000000,1713112.000000,6.919096,5.716950,137.333328,89.266670,0,568,6.919096,0.000000,0.000000,5.716950,0.000000,0.000000,37692
EFT-SCORE MIX TH 70,41306,181289.000000,4310.959473,178068496.000000,620998.000000,9220.802734,380874496.000000,974976.000000,4670212.000000,1193001216.000000,693379.000000,1668355.000000,8.404655,6.741435,130.948715,85.116669,0,450,8.404655,0.000000,0.000000,6.741435,0.000000,0.000000,37676
EFT-SCORE MIX TH 75,41306,179552.000000,5195.366699,214599808.000000,620998.000000,10104.762695,417387328.000000,964096.000000,4670212.000000,1193163264.000000,658634.000000,1622730.000000,11.224167,8.636703,133.709671,85.089996,0,592,11.224167,0.000000,0.000000,8.636703,0.000000,0.000000,37627
EFT-SCORE MIX TH 80,41306,148158.000000,7645.181641,315791872.000000,620998.000000,12552.420898,518490304.000000,940224.000000,4670212.000000,1193020544.000000,594410.000000,1534634.000000,20.343594,14.779321,158.258072,98.120003,0,3519,20.343594,0.000000,0.000000,14.779321,0.000000,0.000000,37901
EFT-SCORE MIX TH85,41306,140398.000000,10920.228516,451070976.000000,620998.000000,15827.807617,653783424.000000,990592.000000,4670212.000000,1193073792.000000,591122.000000,1581714.000000,31.037743,22.159044,239.943588,155.963333,0,12506,31.037743,0.000000,0.000000,22.159044,0.000000,0.000000,37712
EFT-SCORE MIX TH90,41306,140398.000000,14035.595703,579754304.000000,716415.000000,18943.466797,782478848.000000,1012352.000000,4765629.000000,1193059072.000000,605460.000000,1617812.000000,40.792953,28.796425,287.789734,187.063339,0,13257,40.792953,0.000000,0.000000,28.796425,0.000000,0.000000,37790
EFT-SCORE MIX TH95,41306,140397.000000,20992.302734,867108032.000000,621589.000000,25895.703125,1069647936.000000,1060352.000000,4670803.000000,1192857344.000000,410066.000000,1470418.000000,61.341549,43.270107,386.200012,251.029999,0,14132,61.341549,0.000000,0.000000,43.270107,0.000000,0.000000,37503
EFT-SCORE MIX TH100,41306,110625.000000,48553.398438,2005546624.000000,716414.000000,53460.863281,2208254464.000000,1200064.000000,4765628.000000,1193384576.000000,530979.000000,1731043.000000,114.221458,89.580620,474.875671,297.603333,0,28667,114.221458,0.000000,0.000000,89.580620,0.000000,0.000000,37121
