Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,39232,25685.000000,3950.175293,154973280.000000,864000.000000,38874.585938,1525127808.000000,1983680.000000,6287151.000000,1556285440.000000,1224771.000000,3208451.000000,8.114629,7.957629,131.483871,84.773331,0,374,8.114629,0.000000,0.000000,7.957629,0.000000,0.000000,33975
FCFS CONSERVATIVE BF MODE 2,39232,24969.000000,3816.093018,149712960.000000,864000.000000,38740.308594,1519859840.000000,1987776.000000,6287151.000000,1556309760.000000,1223341.000000,3211117.000000,7.850832,7.699399,127.580643,82.199997,0,0,7.850832,0.000000,0.000000,7.699399,0.000000,0.000000,33955
EFT,39232,25680.000000,3943.961670,154729504.000000,864000.000000,38868.605469,1524893184.000000,1988800.000000,6287151.000000,1556384768.000000,1229090.000000,3217890.000000,8.103439,7.946808,131.403229,84.716667,0,373,8.103439,0.000000,0.000000,7.946808,0.000000,0.000000,33951
EFT CONSERVATIVE BF MODE 2,39232,25333.000000,3890.092529,152616112.000000,864000.000000,38814.484375,1522769792.000000,1980800.000000,6287151.000000,1556332544.000000,1232919.000000,3213719.000000,7.994601,7.840940,129.548386,83.706665,0,237,7.994601,0.000000,0.000000,7.840940,0.000000,0.000000,33989
SCORE,39232,388800.000000,4409.888672,173008752.000000,864000.000000,39296.402344,1541676416.000000,1025792.000000,6287151.000000,1542137984.000000,692161.000000,1717953.000000,9.170644,9.004692,144.003159,144.003159,0,1345,9.170644,0.000000,0.000000,9.004692,0.000000,0.000000,36772
SCORE CONSERVATIVE BF MODE 2,39232,388800.000000,3974.119873,155912672.000000,864000.000000,38860.753906,1524585088.000000,1032512.000000,6287151.000000,1542161792.000000,685975.000000,1718487.000000,8.309445,8.160583,141.261826,141.261826,0,343,8.309445,0.000000,0.000000,8.160583,0.000000,0.000000,36709
OPPORTUNISTIC-SCORE MIX,39232,25078.000000,3744.951172,146921920.000000,864000.000000,38669.046875,1517064064.000000,1977344.000000,6287151.000000,1556232960.000000,1221159.000000,3198503.000000,7.705094,7.556199,128.177414,82.246666,0,49,7.705094,0.000000,0.000000,7.556199,0.000000,0.000000,33976
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,39232,24395.000000,3573.555176,140197712.000000,864000.000000,38497.562500,1510336384.000000,1974400.000000,6287151.000000,1556226688.000000,1216131.000000,3190531.000000,7.354187,7.213862,124.467743,79.709999,0,0,7.354187,0.000000,0.000000,7.213862,0.000000,0.000000,33981
EFT-SCORE MIX,39232,246236.000000,2931.591064,115012176.000000,864000.000000,37838.160156,1484466688.000000,1446720.000000,6287151.000000,1548922752.000000,1066818.000000,2513538.000000,6.084495,5.980487,92.084267,92.084267,0,31,6.084495,0.000000,0.000000,5.980487,0.000000,0.000000,35860
EFT-SCORE MIX CONSERVATIVE BF MODE 2,39232,226930.000000,2973.325684,116649512.000000,864000.000000,37880.179688,1486115200.000000,1448704.000000,6287151.000000,1548859520.000000,1061644.000000,2510348.000000,6.176178,6.071940,91.918312,91.918312,0,28,6.176178,0.000000,0.000000,6.071940,0.000000,0.000000,35839
