Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs
Fcfs_no_use_bigger_nodes,23001,15153.000000,1396.097900,32111648.000000,284804.000000,4121.165039,94790920.000000,0.000000,991182.000000,391683968.000000,0.000000,0.000000,3.880661,2.416309,202.750000,47.943333,0
Fcfs,23001,1651.000000,49.799358,1145435.000000,280064.000000,2774.884766,63825124.000000,0.000000,989244.000000,391684096.000000,0.000000,0.000000,0.536062,0.502300,6.500000,1.833333,2420
Fcfs_big_job_first,23001,1651.000000,49.799358,1145435.000000,280064.000000,2774.884766,63825124.000000,0.000000,989244.000000,391684096.000000,0.000000,0.000000,0.536062,0.502300,6.500000,1.833333,2420
Fcfs_backfill_big_nodes_0,23001,1670.000000,49.178123,1131146.000000,280064.000000,2774.261719,63810796.000000,0.000000,989244.000000,391684096.000000,0.000000,0.000000,0.532318,0.500512,1.302326,1.302326,2482
Fcfs_backfill_big_nodes_1,23001,1639.000000,54.375027,1250680.000000,280064.000000,2779.458740,63930332.000000,0.000000,989244.000000,391684544.000000,0.000000,0.000000,0.605951,0.521724,6.078948,2.310000,2474
Fcfs_area_filling,23001,11150.000000,749.586365,17241236.000000,280405.000000,3474.665283,79920776.000000,0.000000,989244.000000,391684224.000000,0.000000,0.000000,2.080398,1.429848,143.470581,33.556667,568
Fcfs_area_filling_with_ratio,23001,15208.000000,1189.692993,27364128.000000,284600.000000,3914.772705,90043688.000000,0.000000,990978.000000,391683904.000000,0.000000,0.000000,2.579406,1.884732,183.970581,46.063332,961
Fcfs_area_filling_omniscient,23001,11152.000000,754.855347,17362428.000000,280258.000000,3479.922119,80041688.000000,0.000000,989244.000000,391684352.000000,0.000000,0.000000,2.108078,1.446620,143.514709,33.650002,544
Fcfs_area_filling_omniscient_with_ratio,23001,15206.000000,1181.805542,27182708.000000,284751.000000,3906.896240,89862520.000000,0.000000,991129.000000,391683904.000000,0.000000,0.000000,2.515945,1.857350,203.102936,46.036667,962
