Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,27190,7224.000000,372.724243,10134372.000000,325406.000000,3054.140137,83042072.000000,1367552.000000,5254256.000000,208543488.000000,1579895.000000,2947447.000000,1.220793,1.163828,20.226191,17.293333,0,0,1.220793,0.000000,0.000000,1.163828,0.000000,0.000000,22056
FCFS CONSERVATIVE BF MODE 2,27190,7224.000000,356.559021,9694840.000000,325406.000000,3037.843018,82598952.000000,1370688.000000,5254256.000000,208564960.000000,1573333.000000,2944021.000000,1.182684,1.128527,20.226191,17.293333,0,0,1.182684,0.000000,0.000000,1.128527,0.000000,0.000000,22041
EFT,27190,7223.000000,371.811707,10109560.000000,325406.000000,3053.142822,83014952.000000,1355840.000000,5254256.000000,208584256.000000,1589576.000000,2945416.000000,1.218801,1.161915,20.111111,17.160000,0,0,1.218801,0.000000,0.000000,1.161915,0.000000,0.000000,22131
EFT CONSERVATIVE BF MODE 2,27190,7223.000000,357.665131,9724915.000000,325406.000000,3038.813477,82625336.000000,1356800.000000,5254256.000000,208580608.000000,1583514.000000,2940314.000000,1.184910,1.130614,20.111111,17.160000,0,0,1.184910,0.000000,0.000000,1.130614,0.000000,0.000000,22115
SCORE,27190,274364.000000,1602.294067,43566376.000000,325406.000000,4218.589844,114703464.000000,565504.000000,5285590.000000,197700640.000000,597191.000000,1162695.000000,2.050248,1.934825,62.183270,62.183270,0,46,2.050248,0.000000,0.000000,1.934825,0.000000,0.000000,25046
SCORE CONSERVATIVE BF MODE 2,27190,274364.000000,1615.872314,43935568.000000,325406.000000,4231.494141,115054328.000000,574784.000000,5285590.000000,197683744.000000,570493.000000,1145277.000000,2.052130,1.956832,81.717102,81.717102,0,52,2.052130,0.000000,0.000000,1.956832,0.000000,0.000000,24946
OPPORTUNISTIC-SCORE MIX,27190,7223.000000,355.691803,9671260.000000,325406.000000,3036.591309,82564920.000000,1358144.000000,5254256.000000,208522816.000000,1575415.000000,2933559.000000,1.180621,1.126473,20.164000,16.966667,0,0,1.180621,0.000000,0.000000,1.126473,0.000000,0.000000,22119
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,27190,7223.000000,354.992126,9652236.000000,325406.000000,3035.894775,82545976.000000,1357184.000000,5254256.000000,208546560.000000,1576570.000000,2933754.000000,1.178848,1.124729,20.164000,16.966667,0,0,1.178848,0.000000,0.000000,1.124729,0.000000,0.000000,22130
EFT-SCORE MIX,27190,14395.000000,588.572510,16003286.000000,325406.000000,3258.554199,88600088.000000,1116352.000000,5254256.000000,205395296.000000,1519500.000000,2635852.000000,1.327136,1.264266,32.695999,27.636667,0,0,1.327136,0.000000,0.000000,1.264266,0.000000,0.000000,22903
EFT-SCORE MIX CONSERVATIVE BF MODE 2,27190,14870.000000,594.966187,16177130.000000,325406.000000,3265.065430,88777128.000000,1123520.000000,5254256.000000,205521312.000000,1516013.000000,2639533.000000,1.320791,1.259189,33.248001,28.136667,0,0,1.320791,0.000000,0.000000,1.259189,0.000000,0.000000,22869
