Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time
Fcfs,11973,17269.000000,4885.205566,58490568.000000,132425.000000,9314.299805,111520112.000000,7354170.000000,744621.000000,371237824.000000,1246484.000000,8600654.000000,10.736418,6.680661,248.212128,55.443333,0,0
Fcfs_easybf,11973,17487.000000,3095.616455,37063816.000000,132643.000000,7492.379395,89706256.000000,7106280.000000,744839.000000,365317824.000000,1107178.000000,8213458.000000,2.795529,2.704382,16.723192,16.723192,0,0
Fcfs_with_a_score_x500_x500_x0,11973,174771.000000,2735.208496,32748652.000000,204444.000000,6668.084473,79836976.000000,2141130.000000,809214.000000,273107904.000000,517907.000000,2659037.000000,1.724759,1.607728,47.015266,26.307888,0,51
Fcfs_with_a_score_easybf_x500_x500_x0,11973,17511.000000,3097.318359,37084192.000000,132670.000000,7494.380859,89730224.000000,7116460.000000,744866.000000,365645696.000000,1100411.000000,8216871.000000,2.794917,2.704598,16.444723,16.444723,0,0
