Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,31784,34960.000000,2513.106445,79876576.000000,469870.000000,8844.225586,281104864.000000,6356350.000000,2606238.000000,1010916608.000000,2371895.000000,8728245.000000,5.047471,4.473528,112.326202,70.173332,0,259,5.047471,0.000000,0.000000,4.473528,0.000000,0.000000,13380
FCFS CONSERVATIVE BF MODE 2,31784,34138.000000,2008.949585,63852452.000000,469870.000000,8339.283203,265055776.000000,6345406.000000,2606238.000000,1010890240.000000,2355128.000000,8700534.000000,3.306099,3.200662,45.545933,45.545933,0,240,3.306099,0.000000,0.000000,3.200662,0.000000,0.000000,13380
EFT,31784,35450.000000,2502.908447,79552440.000000,469873.000000,8825.500000,280509696.000000,5951614.000000,2606241.000000,1007397632.000000,2440982.000000,8392596.000000,4.904615,4.398242,88.768814,55.946667,0,265,4.904615,0.000000,0.000000,4.398242,0.000000,0.000000,14260
EFT CONSERVATIVE BF MODE 2,31784,36561.000000,2073.479004,65903456.000000,469870.000000,8401.610352,267036784.000000,6124990.000000,2606238.000000,1010303104.000000,2485349.000000,8610339.000000,3.316286,3.236895,45.782154,45.782154,0,242,3.316286,0.000000,0.000000,3.236895,0.000000,0.000000,14176
SCORE,31784,604800.000000,2220.760986,70584664.000000,691200.000000,8396.271484,266867088.000000,2602366.000000,2824857.000000,976621184.000000,1132752.000000,3735118.000000,1.581115,1.504170,48.160999,48.160999,0,438,1.581115,0.000000,0.000000,1.504170,0.000000,0.000000,24759
SCORE CONSERVATIVE BF MODE 2,31784,604800.000000,2140.183105,68023576.000000,691200.000000,8315.987305,264315344.000000,2645566.000000,2824857.000000,976677248.000000,1097628.000000,3743194.000000,1.524159,1.446372,48.160999,48.160999,0,445,1.524159,0.000000,0.000000,1.446372,0.000000,0.000000,24529
OPPORTUNISTIC-SCORE MIX,31784,38254.000000,2014.651489,64033684.000000,469870.000000,8341.837891,265136976.000000,6312702.000000,2606238.000000,1010068480.000000,2312821.000000,8625523.000000,3.116406,3.048151,45.246719,45.246719,0,272,3.116406,0.000000,0.000000,3.048151,0.000000,0.000000,13764
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,31784,38653.000000,1894.334839,60209540.000000,469870.000000,8222.606445,261347328.000000,6298366.000000,2606238.000000,1010231040.000000,2396612.000000,8694978.000000,2.916826,2.850786,44.509186,44.509186,0,279,2.916826,0.000000,0.000000,2.850786,0.000000,0.000000,13876
EFT-SCORE MIX,31784,141949.000000,1721.236328,54707776.000000,469943.000000,7900.592285,251112432.000000,2779006.000000,2606311.000000,978970112.000000,1161113.000000,3940119.000000,1.545156,1.467020,48.160999,48.160999,0,453,1.545156,0.000000,0.000000,1.467020,0.000000,0.000000,24683
EFT-SCORE MIX CONSERVATIVE BF MODE 2,31784,142891.000000,1652.280396,52516080.000000,472751.000000,7832.874023,248960064.000000,2851902.000000,2609119.000000,979126784.000000,1112299.000000,3964201.000000,1.515473,1.440104,48.160999,48.160999,0,449,1.515473,0.000000,0.000000,1.440104,0.000000,0.000000,24279
