Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,16755,9255.000000,701.911621,11760529.000000,864000.000000,4905.396484,82189920.000000,3518976.000000,4486409.000000,686201408.000000,1860755.000000,5379731.000000,2.148922,1.735949,11.664865,8.394046,0,0,2.129364,0.014025,0.005533,1.716391,0.014025,0.005533,10799
FCFS CONSERVATIVE BF MODE 2,16755,9160.000000,476.121765,7977420.000000,864000.000000,4685.180176,78500192.000000,3529152.000000,4486409.000000,686341952.000000,1943454.000000,5472606.000000,1.161335,1.076204,8.099038,8.099038,0,0,1.141965,0.014036,0.005334,1.056834,0.014036,0.005334,10684
EFT,16755,9316.000000,729.363159,12220480.000000,864000.000000,4932.598145,82645680.000000,3518592.000000,4486409.000000,686157888.000000,1856750.000000,5375342.000000,2.274155,1.821772,11.951351,8.528896,0,0,2.254606,0.014037,0.005513,1.802223,0.014037,0.005513,10740
EFT CONSERVATIVE BF MODE 2,16755,9300.000000,477.024475,7992545.000000,864000.000000,4685.823730,78510976.000000,3503104.000000,4486409.000000,686296896.000000,1965322.000000,5468426.000000,1.161585,1.076484,8.173077,8.173077,0,0,1.142237,0.014031,0.005317,1.057136,0.014031,0.005317,10712
SCORE,16755,591001.000000,1967.606323,32967244.000000,1068154.000000,5993.881348,100427480.000000,1626560.000000,4702566.000000,659847040.000000,743429.000000,2369989.000000,2.313755,2.053416,16.773043,16.773043,0,209,2.289914,0.018688,0.005153,2.029575,0.018688,0.005153,13759
SCORE CONSERVATIVE BF MODE 2,16755,591046.000000,1960.575684,32849446.000000,1068199.000000,5979.905273,100193312.000000,1615040.000000,4702611.000000,659353472.000000,635916.000000,2250956.000000,2.132179,1.910971,16.794178,16.794178,0,218,2.107614,0.019194,0.005369,1.886408,0.019194,0.005369,13633
EFT-SCORE MIX,16755,9253.000000,542.117249,9083174.000000,864000.000000,4738.943848,79401008.000000,3379264.000000,4486409.000000,685170240.000000,1888789.000000,5268053.000000,1.513324,1.302411,7.864865,7.765523,0,0,1.494021,0.014024,0.005280,1.283108,0.014024,0.005280,11160
EFT-SCORE MIX CONSERVATIVE BF MODE 2,16755,9310.000000,472.033600,7908923.000000,864000.000000,4674.479004,78320896.000000,3405888.000000,4486409.000000,685154496.000000,1956389.000000,5362277.000000,1.208139,1.104356,7.817423,7.817423,0,0,1.188876,0.014009,0.005254,1.085094,0.014009,0.005254,10854
OPPORTUNISTIC-SCORE MIX,16755,9130.000000,479.409485,8032506.000000,864000.000000,4686.021484,78514288.000000,3516608.000000,4486409.000000,686324928.000000,1915691.000000,5432299.000000,1.185547,1.091175,8.000961,8.000961,0,0,1.166215,0.014012,0.005320,1.071842,0.014012,0.005320,10779
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,16755,9317.000000,479.930542,8041236.000000,864000.000000,4688.796387,78560784.000000,3529856.000000,4486409.000000,686321856.000000,1939808.000000,5469664.000000,1.162078,1.076987,8.125961,8.125961,0,0,1.142687,0.014044,0.005347,1.057596,0.014044,0.005347,10640
