Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch
Fcfs_no_use_bigger_nodes,1139,2294496,422276.25285338017,480972652,2322457,429244.7313432836,488909749,0,3187336,149429599,0,0,1284.1996606923399
Fcfs,1139,1694815,326523.41088674276,371910165,1715948,333491.8893766462,379847262,0,2573546,149429599,0,0,954.4339356689954
Fcfs_big_job_first,1139,1679882,298308.70149253734,339773611,1717407,305277.1799824407,347710708,0,2575005,149429599,0,0,876.0804489279038
Fcfs_backfill_big_nodes_0,1139,1689140,137987.3064091308,157167542,1716572,144955.78489903425,165104639,0,2581451,149429599,0,0,340.00753454869636
Fcfs_backfill_big_nodes_1,1139,1689140,137651.8489903424,156785456,1716572,144620.32748024582,164722553,0,2581451,149429599,0,0,339.14685785064245
Fcfs_area_filling,1139,2294496,422276.25285338017,480972652,2322457,429244.7313432836,488909749,0,3187336,149429599,0,0,1284.1996606923399
Fcfs_area_filling_omniscient,1139,1689140,137987.3064091308,157167542,1716572,144955.78489903425,165104639,0,2581451,149429599,0,0,340.00753454869636
