Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time
Fcfs_with_a_score_area_filling_omniscient_x500_x500_x0_x0,11973,174771.000000,3088.178711,36974764.000000,204444.000000,7019.549805,84045072.000000,2081100.000000,809214.000000,272104320.000000,559972.000000,2641072.000000,1.888547,1.746940,52.757576,26.307888,1001,127
Fcfs_with_a_score_area_filling_omniscient_x500_x500_x0_x20000000,11973,174771.000000,3090.128418,36998108.000000,204444.000000,7021.507812,84068512.000000,2081550.000000,809214.000000,272090432.000000,559253.000000,2640803.000000,1.882583,1.747283,52.757576,37.000000,1001,120
Fcfs_with_a_score_area_filling_omniscient_x500_x500_x0_x40000000,11973,174771.000000,3096.015625,37068596.000000,204444.000000,7026.985352,84134096.000000,2080170.000000,809214.000000,272070208.000000,555816.000000,2635986.000000,1.914591,1.769799,52.757576,32.575611,942,130
Fcfs_with_a_score_area_filling_omniscient_x500_x500_x0_x60000000,11973,174771.000000,3121.073486,37368612.000000,204444.000000,7052.067383,84434400.000000,2077480.000000,809214.000000,272013440.000000,558988.000000,2636468.000000,1.885950,1.750748,52.757576,26.307888,992,155
Fcfs_with_a_score_area_filling_omniscient_x500_x500_x0_x80000000,11973,174771.000000,3101.282959,37131660.000000,204444.000000,7032.248047,84197104.000000,2078380.000000,809214.000000,272034944.000000,557701.000000,2636081.000000,1.899319,1.760821,52.757576,26.307888,1019,133
