Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
FCFS,16755,8680,594.800293,9965879,864000,4732.640137,79295384,2913090,4486409,677927296,1361412,4274502,1.885961,1.549655,9.22043,8.70283,0,0,1.869438,0.016295,0.000227,1.533131,0.016295,0.000227
HEFT,16755,8694.000000,585.705933,9813503.000000,864000.000000,4723.119141,79135864.000000,2907660.000000,4486409.000000,677876992.000000,1359735.000000,4267395.000000,1.843547,1.519987,8.908108,8.721698,0,0,1.827034,0.016286,0.000227,1.503473,0.016286,0.000227
SCORE_500_1,16755,9832,550.576111,9224903,864000,4666.837891,78192872,2579610,4486409,673928192,1331917,3911527,1.75205,1.444747,17.122341,10.753333,0,0,1.73601,0.015814,0.000227,1.428705,0.015814,0.000227
SCORE_500_50,16755,9864,530.964539,8896311,864000,4647.4375,77867816,2588070,4486409,673927040,1327180,3915250,1.661068,1.385214,12.413612,7.903333,0,0,1.645,0.015844,0.000227,1.369141,0.015844,0.000227
