Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,12886,69314.000000,4522.302734,58274392.000000,173089.000000,17440.882812,224743216.000000,868352.000000,3614166.000000,353541312.000000,325236.000000,1193588.000000,2.455089,2.421042,71.461845,62.037880,0,281,2.455089,0.000000,0.000000,2.421042,0.000000,0.000000,7440
FCFS CONSERVATIVE BF MODE 2,12886,65589.000000,4533.621094,58420240.000000,173021.000000,17450.880859,224872048.000000,853632.000000,3610810.000000,353221504.000000,322316.000000,1175948.000000,2.434481,2.399790,72.927711,62.333332,0,282,2.434481,0.000000,0.000000,2.399790,0.000000,0.000000,7481
EFT,12886,64481.000000,4525.558594,58316348.000000,173005.000000,17441.769531,224754640.000000,840896.000000,3609327.000000,353038208.000000,321443.000000,1162339.000000,2.437499,2.402580,74.477913,62.650002,0,278,2.437499,0.000000,0.000000,2.402580,0.000000,0.000000,7501
EFT CONSERVATIVE BF MODE 2,12886,67116.000000,4476.780762,57687796.000000,172927.000000,17394.037109,224139568.000000,847616.000000,3612233.000000,353280448.000000,328153.000000,1175769.000000,2.428534,2.394346,72.273094,61.330002,0,283,2.428534,0.000000,0.000000,2.394346,0.000000,0.000000,7552
SCORE,12886,69854.000000,4504.124023,58040144.000000,173044.000000,17421.980469,224499648.000000,853312.000000,3615196.000000,353506432.000000,330514.000000,1183826.000000,2.434995,2.400290,71.148598,61.464645,0,278,2.434995,0.000000,0.000000,2.400290,0.000000,0.000000,7570
SCORE CONSERVATIVE BF MODE 2,12886,76411.000000,4477.293945,57694408.000000,172975.000000,17396.394531,224169952.000000,864704.000000,3615744.000000,353798848.000000,334711.000000,1199415.000000,2.428632,2.395108,69.044174,61.457069,0,279,2.428632,0.000000,0.000000,2.395108,0.000000,0.000000,7582
OPPORTUNISTIC-SCORE MIX,12886,61817.000000,4588.112305,59122416.000000,173088.000000,17503.667969,225552256.000000,841024.000000,3599909.000000,352944576.000000,312834.000000,1153858.000000,2.430282,2.394007,78.236946,65.279999,0,283,2.430282,0.000000,0.000000,2.394007,0.000000,0.000000,7498
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,12886,64227.000000,4573.464355,58933664.000000,173110.000000,17488.666016,225358944.000000,829312.000000,3605431.000000,352756288.000000,319943.000000,1149255.000000,2.430625,2.394910,76.863457,64.006668,0,284,2.430625,0.000000,0.000000,2.394910,0.000000,0.000000,7483
EFT-SCORE MIX,12886,69866.000000,4478.416504,57708872.000000,173030.000000,17395.904297,224163616.000000,851136.000000,3615015.000000,353503168.000000,327798.000000,1178934.000000,2.443112,2.408810,71.164658,61.686871,0,280,2.443112,0.000000,0.000000,2.408810,0.000000,0.000000,7623
EFT-SCORE MIX CONSERVATIVE BF MODE 2,12886,64739.000000,4544.068848,58554872.000000,172942.000000,17458.822266,224974384.000000,827712.000000,3609539.000000,352980032.000000,315521.000000,1143233.000000,2.453315,2.417692,74.943771,62.813332,0,283,2.453315,0.000000,0.000000,2.417692,0.000000,0.000000,7601
