Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,47375,64636.000000,17772.626953,841978240.000000,472826.000000,23912.453125,1132852480.000000,10993472.000000,3009973.000000,955449920.000000,758823.000000,11752295.000000,18.138323,17.337788,207.468079,131.039993,0,16834,18.138323,0.000000,0.000000,17.337788,0.000000,0.000000,15023
FCFS CONSERVATIVE BF MODE 2,47375,64606.000000,17853.580078,845813312.000000,473058.000000,23991.988281,1136620416.000000,10939520.000000,3010205.000000,954590272.000000,741389.000000,11680909.000000,18.229630,17.420357,205.978729,129.436661,0,16914,18.229630,0.000000,0.000000,17.420357,0.000000,0.000000,15040
EFT,47375,64344.000000,17756.751953,841226112.000000,473109.000000,23894.650391,1132009088.000000,10893696.000000,3010256.000000,954348224.000000,770162.000000,11663858.000000,18.138084,17.328493,208.187164,130.756668,0,16809,18.138084,0.000000,0.000000,17.328493,0.000000,0.000000,15427
EFT CONSERVATIVE BF MODE 2,47375,64739.000000,17916.181641,848779072.000000,473171.000000,24056.160156,1139660544.000000,10983808.000000,3010318.000000,955619904.000000,768771.000000,11752579.000000,18.304146,17.473694,208.855621,131.470001,0,16885,18.304146,0.000000,0.000000,17.473694,0.000000,0.000000,15271
SCORE,47375,64680.000000,17866.050781,846404160.000000,472976.000000,24003.769531,1137178624.000000,10908352.000000,3010123.000000,954893504.000000,743013.000000,11651365.000000,18.247875,17.428301,211.850266,132.263336,0,16947,18.247875,0.000000,0.000000,17.428301,0.000000,0.000000,15705
SCORE CONSERVATIVE BF MODE 2,47375,64631.000000,17873.576172,846760640.000000,472895.000000,24012.027344,1137569792.000000,10939136.000000,3010042.000000,955281728.000000,746949.000000,11686085.000000,18.235184,17.428123,208.791443,131.196671,0,16938,18.235184,0.000000,0.000000,17.428123,0.000000,0.000000,15679
OPPORTUNISTIC-SCORE MIX,47375,64593.000000,17760.785156,841417152.000000,473109.000000,23898.605469,1132196480.000000,10892992.000000,3010256.000000,954057920.000000,757442.000000,11650434.000000,18.126696,17.336891,198.792557,124.883331,0,16762,18.126696,0.000000,0.000000,17.336891,0.000000,0.000000,15303
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,47375,64566.000000,17863.906250,846302592.000000,473299.000000,24001.847656,1137087488.000000,10895040.000000,3010446.000000,954419904.000000,768590.000000,11663630.000000,18.256491,17.434769,207.175537,129.979996,0,16868,18.256491,0.000000,0.000000,17.434769,0.000000,0.000000,15434
EFT-SCORE MIX,47375,64680.000000,17866.050781,846404160.000000,472976.000000,24003.769531,1137178624.000000,10908352.000000,3010123.000000,954893504.000000,743013.000000,11651365.000000,18.247875,17.428301,211.850266,132.263336,0,16947,18.247875,0.000000,0.000000,17.428301,0.000000,0.000000,15705
EFT-SCORE MIX CONSERVATIVE BF MODE 2,47375,64631.000000,17873.576172,846760640.000000,472895.000000,24012.027344,1137569792.000000,10939136.000000,3010042.000000,955281728.000000,746949.000000,11686085.000000,18.235184,17.428123,208.791443,131.196671,0,16938,18.235184,0.000000,0.000000,17.428123,0.000000,0.000000,15679
