Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,36492,77056.000000,1911.378662,69750032.000000,422656.000000,10716.082031,391051264.000000,3198144.000000,3473594.000000,1137350400.000000,653894.000000,3852038.000000,1.157070,1.147394,65.967567,47.362152,0,868,1.157070,0.000000,0.000000,1.147394,0.000000,0.000000,21308
FCFS CONSERVATIVE BF MODE 2,36492,78904.000000,1733.131470,63245432.000000,424504.000000,10538.497070,384570848.000000,3166912.000000,3475442.000000,1137422208.000000,707954.000000,3874866.000000,1.129007,1.120135,62.962162,48.337967,0,874,1.129007,0.000000,0.000000,1.120135,0.000000,0.000000,21817
EFT,36492,77459.000000,1908.153076,69632320.000000,423059.000000,10712.674805,390926944.000000,3149824.000000,3473997.000000,1137326592.000000,696209.000000,3846033.000000,1.155383,1.145759,64.648651,47.471584,0,869,1.155383,0.000000,0.000000,1.145759,0.000000,0.000000,22040
EFT CONSERVATIVE BF MODE 2,36492,78740.000000,1736.515015,63368904.000000,424340.000000,10542.017578,384699296.000000,3132864.000000,3475278.000000,1137434368.000000,747726.000000,3880590.000000,1.129188,1.120293,63.448650,48.227329,0,872,1.129188,0.000000,0.000000,1.120293,0.000000,0.000000,22354
SCORE,36492,521037.000000,7373.529785,269074848.000000,866637.000000,16111.823242,587952640.000000,932224.000000,3917575.000000,1104823296.000000,460860.000000,1393084.000000,1.579455,1.563611,132.256485,132.256485,0,1142,1.579455,0.000000,0.000000,1.563611,0.000000,0.000000,32136
SCORE CONSERVATIVE BF MODE 2,36492,524516.000000,7529.105957,274752128.000000,870116.000000,16267.096680,593618880.000000,919488.000000,3921054.000000,1104628224.000000,462036.000000,1381524.000000,1.582167,1.566740,133.062088,133.062088,0,1149,1.582167,0.000000,0.000000,1.566740,0.000000,0.000000,32159
OPPORTUNISTIC-SCORE MIX,36492,83281.000000,1788.247681,65256736.000000,428881.000000,10594.258789,386605696.000000,3190464.000000,3479819.000000,1137500800.000000,708642.000000,3899106.000000,1.124575,1.114167,73.864868,50.960098,0,901,1.124575,0.000000,0.000000,1.114167,0.000000,0.000000,21567
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,36492,83419.000000,1735.493774,63331640.000000,429019.000000,10541.793945,384691136.000000,3176960.000000,3479957.000000,1137602688.000000,734484.000000,3911444.000000,1.113381,1.104067,69.135132,51.021767,0,902,1.113381,0.000000,0.000000,1.104067,0.000000,0.000000,21854
EFT-SCORE MIX,36492,145151.000000,6013.382812,219440368.000000,490210.000000,14775.143555,539174528.000000,1870400.000000,3541147.000000,1122862464.000000,414046.000000,2284446.000000,1.578888,1.558595,74.593384,74.593384,0,1140,1.578888,0.000000,0.000000,1.558595,0.000000,0.000000,31387
EFT-SCORE MIX CONSERVATIVE BF MODE 2,36492,145287.000000,5884.829590,214749200.000000,490475.000000,14648.507812,534553344.000000,1872064.000000,3541413.000000,1122665472.000000,478478.000000,2350542.000000,1.550908,1.532227,74.689568,74.689568,0,1132,1.550908,0.000000,0.000000,1.532227,0.000000,0.000000,31163
