Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,11028,35661.000000,598.915100,6604836.000000,691200.000000,16590.562500,182960720.000000,545280.000000,4227908.000000,289099936.000000,264573.000000,809853.000000,1.116358,1.094658,132.741928,82.300003,0,58,1.116358,0.000000,0.000000,1.094658,0.000000,0.000000,6871
FCFS CONSERVATIVE BF MODE 2,11028,35747.000000,587.146790,6475055.000000,691200.000000,16578.763672,182830608.000000,544448.000000,4227908.000000,289097792.000000,263074.000000,807522.000000,1.113960,1.092888,130.258072,80.760002,0,13,1.113960,0.000000,0.000000,1.092888,0.000000,0.000000,6897
EFT,11028,36326.000000,610.550537,6733151.000000,691200.000000,16602.972656,183097584.000000,532480.000000,4227908.000000,289109568.000000,288715.000000,821195.000000,1.119391,1.097159,135.166672,83.803337,0,107,1.119391,0.000000,0.000000,1.097159,0.000000,0.000000,7104
EFT CONSERVATIVE BF MODE 2,11028,35627.000000,580.981934,6407069.000000,691200.000000,16572.972656,182766736.000000,530112.000000,4227908.000000,289106560.000000,287302.000000,817414.000000,1.112315,1.091456,129.268814,80.146667,0,13,1.112315,0.000000,0.000000,1.091456,0.000000,0.000000,7136
SCORE,11028,269292.000000,6493.365234,71608832.000000,691200.000000,22461.125000,247701280.000000,196928.000000,4227908.000000,286398528.000000,180705.000000,377633.000000,1.448411,1.432145,107.510750,66.656670,0,199,1.448411,0.000000,0.000000,1.432145,0.000000,0.000000,10126
SCORE CONSERVATIVE BF MODE 2,11028,269292.000000,6621.688965,73023984.000000,691200.000000,22589.640625,249118560.000000,199680.000000,4227908.000000,286406016.000000,178244.000000,377924.000000,1.454939,1.437679,107.123657,66.416664,0,205,1.454939,0.000000,0.000000,1.437679,0.000000,0.000000,10084
OPPORTUNISTIC-SCORE MIX,11028,35545.000000,600.246216,6619515.000000,691200.000000,16592.248047,182979312.000000,527680.000000,4227908.000000,289105728.000000,287207.000000,814887.000000,1.116515,1.094796,133.381714,82.696663,0,81,1.116515,0.000000,0.000000,1.094796,0.000000,0.000000,7172
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,11028,35443.000000,600.232483,6619364.000000,691200.000000,16592.349609,182980432.000000,529216.000000,4227908.000000,289106240.000000,288197.000000,817413.000000,1.116682,1.095018,133.107529,82.526665,0,77,1.116682,0.000000,0.000000,1.095018,0.000000,0.000000,7143
EFT-SCORE MIX,11028,35351.000000,1849.149048,20392416.000000,691200.000000,17839.744141,196736688.000000,462592.000000,4227908.000000,289063328.000000,343858.000000,806450.000000,1.160189,1.143756,107.510750,66.656670,0,6,1.160189,0.000000,0.000000,1.143756,0.000000,0.000000,8121
EFT-SCORE MIX CONSERVATIVE BF MODE 2,11028,34802.000000,1940.736816,21402446.000000,691200.000000,17931.093750,197744096.000000,469568.000000,4227908.000000,289068096.000000,335743.000000,805311.000000,1.169055,1.152689,107.123657,66.416664,0,7,1.169055,0.000000,0.000000,1.152689,0.000000,0.000000,8013
