Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
FCFS,15295,17200.000000,2043.329224,31252720.000000,727746.000000,7081.153320,108306240.000000,1972000.000000,4683999.000000,575261312.000000,1228077.000000,3200077.000000,6.195006,5.835732,90.324608,57.506668,0,0,6.191790,0.002834,0.000381,5.832517,0.002834,0.000381
EFT-SCORE MIX,15295,15141.000000,382.287415,5847086.000000,727746.000000,5410.918457,82760000.000000,1802020.000000,4683999.000000,574666112.000000,1256756.000000,3058776.000000,1.771152,1.705906,25.732985,16.383333,0,0,1.768298,0.002496,0.000358,1.703053,0.002496,0.000358
OPPORTUNISTIC-SCORE MIX,15295,15269.000000,505.610199,7733308.000000,727746.000000,5541.825684,84762224.000000,1887920.000000,4683999.000000,575127424.000000,1287103.000000,3175023.000000,2.075703,1.991526,27.408377,17.450001,0,0,2.072717,0.002617,0.000369,1.988540,0.002617,0.000369
