Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,20545,84179.000000,17550.285156,360570592.000000,903814.000000,22002.853516,452048640.000000,1383104.000000,7827542.000000,187847936.000000,185621.000000,1568725.000000,12.921809,12.910961,61.042084,61.042084,0,7177,12.921809,0.000000,0.000000,12.910961,0.000000,0.000000,15299
FCFS CONSERVATIVE BF MODE 2,20545,84136.000000,17468.951172,358899584.000000,903581.000000,21921.464844,450376512.000000,1381504.000000,7827309.000000,187843200.000000,189703.000000,1571207.000000,12.857837,12.847132,61.011414,61.011414,0,7177,12.857837,0.000000,0.000000,12.847132,0.000000,0.000000,15320
EFT,20545,84287.000000,17502.484375,359588544.000000,903815.000000,21953.875000,451042368.000000,1348096.000000,7827543.000000,187429920.000000,200972.000000,1549068.000000,12.904504,12.894366,61.119114,61.119114,0,7177,12.904504,0.000000,0.000000,12.894366,0.000000,0.000000,15520
EFT CONSERVATIVE BF MODE 2,20545,83973.000000,17349.113281,356437536.000000,903441.000000,21804.109375,447965408.000000,1426496.000000,7827169.000000,188775552.000000,195388.000000,1621884.000000,12.723712,12.712560,60.895149,60.895149,0,7191,12.723712,0.000000,0.000000,12.712560,0.000000,0.000000,15300
SCORE,20545,84203.000000,17446.441406,358437120.000000,903510.000000,21898.947266,449913856.000000,1354624.000000,7827238.000000,187746304.000000,207500.000000,1562124.000000,12.878838,12.867990,61.059200,61.059200,0,7177,12.878838,0.000000,0.000000,12.867990,0.000000,0.000000,15452
SCORE CONSERVATIVE BF MODE 2,20545,83491.000000,17237.421875,354142848.000000,903068.000000,21690.919922,445639968.000000,1384512.000000,7826796.000000,188285632.000000,199984.000000,1584496.000000,12.687722,12.675801,60.551353,60.551353,0,7203,12.687722,0.000000,0.000000,12.675801,0.000000,0.000000,15387
OPPORTUNISTIC-SCORE MIX,20545,84014.000000,17431.748047,358135264.000000,903532.000000,21884.224609,449611392.000000,1375040.000000,7827260.000000,187766272.000000,195019.000000,1570059.000000,12.805408,12.794197,60.924393,60.924393,0,7192,12.805408,0.000000,0.000000,12.794197,0.000000,0.000000,15351
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,20545,84394.000000,17551.568359,360596960.000000,903864.000000,22003.089844,452053472.000000,1349760.000000,7827592.000000,187408320.000000,202218.000000,1551978.000000,12.956999,12.946811,61.195435,61.195435,0,7177,12.956999,0.000000,0.000000,12.946811,0.000000,0.000000,15497
EFT-SCORE MIX,20545,84203.000000,17446.441406,358437120.000000,903510.000000,21898.947266,449913856.000000,1354624.000000,7827238.000000,187746304.000000,207500.000000,1562124.000000,12.878838,12.867990,61.059200,61.059200,0,7177,12.878838,0.000000,0.000000,12.867990,0.000000,0.000000,15452
EFT-SCORE MIX CONSERVATIVE BF MODE 2,20545,83491.000000,17237.421875,354142848.000000,903068.000000,21690.919922,445639968.000000,1384512.000000,7826796.000000,188285632.000000,199984.000000,1584496.000000,12.687722,12.675801,60.551353,60.551353,0,7203,12.687722,0.000000,0.000000,12.675801,0.000000,0.000000,15387
