Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,7202,104506.000000,73654.781250,530461728.000000,508896.000000,86677.953125,624254592.000000,298240.000000,8630761.000000,211673728.000000,74301.000000,372541.000000,81.304932,56.108555,519.470276,321.826660,0,6832,81.304932,0.000000,0.000000,56.108555,0.000000,0.000000,6042
FCFS CONSERVATIVE BF MODE 2,7202,111056.000000,59997.664062,432103168.000000,511900.000000,73019.625000,525887328.000000,285888.000000,8633765.000000,211627712.000000,76158.000000,362046.000000,67.340836,45.988976,502.762177,310.036652,0,6178,67.340836,0.000000,0.000000,45.988976,0.000000,0.000000,6122
EFT,7202,106140.000000,74396.164062,535801184.000000,510305.000000,87419.726562,629596864.000000,290944.000000,8632170.000000,211608320.000000,84464.000000,375408.000000,82.902817,57.153973,526.462341,326.406677,0,6875,82.902817,0.000000,0.000000,57.153973,0.000000,0.000000,6045
EFT CONSERVATIVE BF MODE 2,7202,114554.000000,58784.578125,423366528.000000,515175.000000,71805.289062,517141664.000000,283328.000000,8637040.000000,211583936.000000,69536.000000,352864.000000,64.177414,43.905994,488.729736,301.383331,0,6079,64.177414,0.000000,0.000000,43.905994,0.000000,0.000000,6115
SCORE,7202,402706.000000,54133.464844,389869216.000000,488628.000000,67144.109375,483571872.000000,198464.000000,8610493.000000,210282272.000000,80298.000000,278762.000000,54.028984,37.658009,399.000000,247.380005,0,6808,54.028984,0.000000,0.000000,37.658009,0.000000,0.000000,6271
SCORE CONSERVATIVE BF MODE 2,7202,394522.000000,40299.671875,290238240.000000,482990.000000,53308.296875,383926368.000000,200064.000000,8604855.000000,210245824.000000,65611.000000,265675.000000,40.256119,28.106817,344.000000,212.133331,0,5493,40.256119,0.000000,0.000000,28.106817,0.000000,0.000000,6243
OPPORTUNISTIC-SCORE MIX,7202,106188.000000,73593.710938,530021888.000000,509688.000000,86617.140625,623816640.000000,294464.000000,8631553.000000,211640928.000000,78099.000000,372563.000000,82.648903,56.916740,528.569885,327.713348,0,6789,82.648903,0.000000,0.000000,56.916740,0.000000,0.000000,6047
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,7202,115770.000000,54787.457031,394579264.000000,513488.000000,67808.765625,488358752.000000,275776.000000,8635353.000000,211580256.000000,80511.000000,356287.000000,60.762501,41.120693,489.308105,301.739990,0,5907,60.762501,0.000000,0.000000,41.120693,0.000000,0.000000,6156
EFT-SCORE MIX,7202,290471.000000,54056.632812,389315872.000000,488628.000000,67068.875000,483030016.000000,209984.000000,8610493.000000,210512672.000000,80298.000000,290282.000000,54.027405,37.656429,399.000000,247.380005,0,6808,54.027405,0.000000,0.000000,37.656429,0.000000,0.000000,6262
EFT-SCORE MIX CONSERVATIVE BF MODE 2,7202,289700.000000,40235.246094,289774240.000000,482990.000000,53245.296875,383472640.000000,210304.000000,8604855.000000,210450624.000000,65611.000000,275915.000000,40.254780,28.105482,344.000000,212.133331,0,5493,40.254780,0.000000,0.000000,28.105482,0.000000,0.000000,6235
