Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,16086,159143.000000,8185.465820,131671400.000000,1000466.000000,32155.593750,517254880.000000,2788544.000000,10835003.000000,4896969216.000000,375207.000000,3163751.000000,9.690226,8.962658,438.869415,438.869415,0,906,9.646930,0.040973,0.002325,8.919363,0.040973,0.002325,7714
FCFS CONSERVATIVE BF MODE 2,16086,159494.000000,5091.489746,81901704.000000,1000466.000000,29065.892578,467553952.000000,2821120.000000,10835003.000000,4897247232.000000,407209.000000,3228329.000000,5.063785,4.511475,188.112701,188.112701,0,574,5.028417,0.033201,0.002167,4.476107,0.033201,0.002167,7668
EFT,16086,157005.000000,7847.814941,126239952.000000,1000466.000000,31817.414062,511814912.000000,2782336.000000,10835003.000000,4896962048.000000,378615.000000,3160951.000000,8.914706,8.181369,354.685028,354.685028,0,869,8.876271,0.036135,0.002300,8.142936,0.036135,0.002300,7761
EFT CONSERVATIVE BF MODE 2,16086,158739.000000,5154.510742,82915456.000000,1000466.000000,29129.105469,468570784.000000,2809792.000000,10835003.000000,4897202176.000000,426069.000000,3235861.000000,5.187632,4.640944,186.851044,186.851044,0,662,5.152516,0.033075,0.002042,4.605826,0.033075,0.002042,7723
SCORE,16086,834937.000000,6595.611328,106097000.000000,1665733.000000,30496.791016,490571392.000000,1641472.000000,11505189.000000,4884632064.000000,404150.000000,2045622.000000,2.478668,2.196409,22.674242,22.674242,0,311,2.460280,0.018128,0.000262,2.178020,0.018128,0.000262,12022
SCORE CONSERVATIVE BF MODE 2,16086,834937.000000,6308.687500,101481544.000000,1665733.000000,30213.437500,486013344.000000,1657792.000000,11505189.000000,4884697600.000000,438622.000000,2096414.000000,1.870413,1.733649,23.936869,23.936869,0,312,1.852194,0.017977,0.000242,1.715430,0.017977,0.000242,11866
EFT-SCORE MIX,16086,163940.000000,7048.798340,113386968.000000,1000466.000000,31003.244141,498718176.000000,2541056.000000,10835003.000000,4896470016.000000,371949.000000,2913005.000000,8.091220,7.391432,222.196854,222.196854,0,875,8.055349,0.033629,0.002243,7.355559,0.033629,0.002243,9582
EFT-SCORE MIX CONSERVATIVE BF MODE 2,16086,171171.000000,4704.461914,75675976.000000,1000466.000000,28663.216797,461076512.000000,2586816.000000,10835003.000000,4896786432.000000,396552.000000,2983368.000000,4.544971,4.036182,122.645050,122.645050,0,634,4.512038,0.032102,0.000832,4.003248,0.032102,0.000832,9600
OPPORTUNISTIC-SCORE MIX,16086,158824.000000,7218.799316,116121608.000000,1000466.000000,31187.984375,501689920.000000,2771968.000000,10835003.000000,4896873984.000000,379089.000000,3151057.000000,8.482936,7.768083,290.710205,290.710205,0,885,8.444424,0.036270,0.002239,7.729574,0.036270,0.002239,7746
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,16086,159389.000000,4921.368164,79165128.000000,1000466.000000,28893.847656,464786432.000000,2807424.000000,10835003.000000,4897012736.000000,394244.000000,3201668.000000,4.962142,4.399907,187.683945,187.683945,0,620,4.926925,0.033157,0.002062,4.364689,0.033157,0.002062,7573
EFT-SCORE MIX V2,16086,713656.000000,5601.096680,90099240.000000,1546756.000000,29542.832031,475225984.000000,2303808.000000,11386212.000000,4895236608.000000,398831.000000,2702639.000000,3.454767,3.031449,37.727505,37.727505,0,289,3.437574,0.016900,0.000294,3.014256,0.016900,0.000294,11028
EFT-SCORE MIX CONSERVATIVE BF MODE 0 V2,16086,728069.000000,4918.064453,79111984.000000,1561169.000000,28867.720703,464366144.000000,2336064.000000,11400625.000000,4895536128.000000,492068.000000,2828132.000000,1.814045,1.635177,14.489691,14.092137,0,283,1.796964,0.016823,0.000257,1.618097,0.016823,0.000257,10777
