Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs,25757,1403.000000,23.022091,592980.000000,475723.000000,4893.891113,126051952.000000,4065670.000000,10307484.000000,734121728.000000,1953988.000000,6019658.000000,0.980330,0.908041,2.140562,2.140562,0,0,0.968334,0.011561,0.000433,0.896047,0.011561,0.000433
Fcfs_with_a_score_x1_x0_x0_x0,25757,1403.000000,22.833715,588128.000000,475723.000000,4893.531738,126042696.000000,4050000.000000,10307484.000000,734150400.000000,1964328.000000,6014328.000000,0.979641,0.907402,2.136000,2.136000,0,0,0.967646,0.011561,0.000433,0.895408,0.011561,0.000433
Fcfs_with_a_score_mixed_strategy_x1_x1_x1_x0,25757,1403.000000,27.344061,704301.000000,475723.000000,4898.145996,126161544.000000,4058080.000000,10307484.000000,734133120.000000,1958340.000000,6016420.000000,0.991324,0.919027,2.140562,2.140562,0,0,0.979328,0.011561,0.000433,0.907032,0.011561,0.000433
Fcfs_with_a_score_mixed_strategy_x486_x1_x0_x0,25757,1403.000000,28.430174,732276.000000,475723.000000,4899.057617,126185032.000000,4057220.000000,10307484.000000,734128832.000000,1954680.000000,6011900.000000,0.995265,0.922013,2.739910,2.140562,0,0,0.983270,0.011561,0.000433,0.910018,0.011561,0.000433
Fcfs_with_a_score_mixed_strategy_x486_x50_x0_x0,25757,1403.000000,28.436424,732437.000000,475723.000000,4899.033691,126184416.000000,4052320.000000,10307484.000000,734151744.000000,1958776.000000,6011096.000000,0.994941,0.921760,2.739910,2.140562,0,0,0.982946,0.011561,0.000433,0.909765,0.011561,0.000433
Fcfs_with_a_score_mixed_strategy_x500_x1_x0_x0,25757,1403.000000,28.430174,732276.000000,475723.000000,4899.058594,126185048.000000,4057220.000000,10307484.000000,734128832.000000,1954680.000000,6011900.000000,0.995266,0.922013,2.739910,2.140562,0,0,0.983270,0.011561,0.000433,0.910019,0.011561,0.000433
Fcfs_with_a_score_mixed_strategy_x500_x50_x0_x0,25757,1403.000000,28.436424,732437.000000,475723.000000,4899.016602,126183968.000000,4051830.000000,10307484.000000,734151104.000000,1958769.000000,6010599.000000,0.994838,0.921698,2.739910,2.140562,0,0,0.982842,0.011561,0.000433,0.909703,0.011561,0.000433
Fcfs_with_a_score_adaptative_multiplier_x1_x0_x0_x0,25757,142807.000000,1281.649414,33011444.000000,475723.000000,6075.737793,156492784.000000,2790120.000000,10307484.000000,717254976.000000,1191376.000000,3981496.000000,1.788821,1.660255,32.959595,32.959595,0,291,1.760793,0.027594,0.000434,1.632228,0.027594,0.000434
Fcfs_with_a_score_adaptative_multiplier_x1_x1_x0_x0,25757,142204.000000,1304.990234,33612632.000000,475723.000000,6099.204590,157097216.000000,2788940.000000,10307484.000000,717288640.000000,1194718.000000,3983658.000000,1.884655,1.753142,33.878788,33.878788,0,284,1.856657,0.027564,0.000434,1.725144,0.027564,0.000434
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x0_x0_x0,25757,1403.000000,22.833715,588128.000000,475723.000000,4893.531738,126042696.000000,4050000.000000,10307484.000000,734150400.000000,1964328.000000,6014328.000000,0.979641,0.907402,2.136000,2.136000,0,0,0.967646,0.011561,0.000433,0.895408,0.011561,0.000433
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x1_x0_x0,25757,1403.000000,22.833483,588122.000000,475723.000000,4893.531738,126042696.000000,4050000.000000,10307484.000000,734150528.000000,1964313.000000,6014313.000000,0.979639,0.907400,2.136000,2.136000,0,0,0.967644,0.011561,0.000433,0.895406,0.011561,0.000433
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x1_x1_x0,25757,1403.000000,27.344061,704301.000000,475723.000000,4898.145996,126161544.000000,4058080.000000,10307484.000000,734133120.000000,1958340.000000,6016420.000000,0.991324,0.919027,2.140562,2.140562,0,0,0.979328,0.011561,0.000433,0.907032,0.011561,0.000433
Mix_score_nb_running_jobs,25757,9923.000000,305.781250,7876008.000000,475723.000000,5159.941406,132904616.000000,3885500.000000,10307484.000000,732408000.000000,1703168.000000,5588668.000000,1.439878,1.345821,26.491003,26.491003,0,0,1.427882,0.011561,0.000433,1.333823,0.011561,0.000433
Flow_adaptation_heft_locality,25757,4893.000000,400.447388,10314323.000000,475723.000000,5270.400879,135749712.000000,4116990.000000,10307484.000000,733809728.000000,1876490.000000,5993480.000000,1.296419,1.223618,19.716475,17.153334,0,0,1.284419,0.011561,0.000433,1.211622,0.011561,0.000433
Flow_adaptation_heft_score,25757,1402.000000,22.931320,590642.000000,475723.000000,4893.785156,126049224.000000,4052480.000000,10307484.000000,734175872.000000,1965885.000000,6018365.000000,0.980271,0.907933,2.148635,2.148635,0,0,0.968275,0.011561,0.000433,0.895939,0.011561,0.000433
Fcfs_with_a_score_adaptative_multiplier_if_EAT_is_t_x500_x1_x0_x0,25757,1403.000000,22.837791,588233.000000,475723.000000,4893.478027,126041312.000000,4055600.000000,10307484.000000,734102080.000000,1957230.000000,6012830.000000,0.979635,0.907431,2.136000,2.136000,0,0,0.967640,0.011561,0.000433,0.895437,0.011561,0.000433
