Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,31787,37165.000000,788.192505,25054276.000000,1056377.000000,8164.794434,259534320.000000,2525824.000000,4335002.000000,527627776.000000,1017716.000000,3543540.000000,1.759793,1.750148,27.152531,27.152531,0,311,1.759793,0.000000,0.000000,1.750148,0.000000,0.000000,15438
FCFS CONSERVATIVE BF MODE 2,31787,37510.000000,797.713379,25356916.000000,1056819.000000,8174.357910,259838320.000000,2528256.000000,4335444.000000,527536128.000000,1015308.000000,3543564.000000,1.766264,1.757394,27.457590,27.457590,0,316,1.766264,0.000000,0.000000,1.757394,0.000000,0.000000,15466
EFT,31787,36398.000000,779.778381,24786816.000000,1055414.000000,8156.112793,259258352.000000,2478912.000000,4334039.000000,527551936.000000,1054261.000000,3533173.000000,1.755810,1.746765,26.625801,26.625801,0,292,1.755810,0.000000,0.000000,1.746765,0.000000,0.000000,16081
EFT CONSERVATIVE BF MODE 2,31787,37511.000000,797.738281,25357706.000000,1056763.000000,8174.044434,259828352.000000,2470656.000000,4335388.000000,527524224.000000,1060474.000000,3531130.000000,1.768242,1.759325,27.477549,27.477549,0,318,1.768242,0.000000,0.000000,1.759325,0.000000,0.000000,16186
SCORE,31787,37242.000000,814.333557,25885220.000000,1056307.000000,8183.789062,260138096.000000,2297088.000000,4334932.000000,526138560.000000,1002205.000000,3299293.000000,1.786601,1.776806,27.227369,27.227369,0,320,1.786601,0.000000,0.000000,1.776806,0.000000,0.000000,17131
SCORE CONSERVATIVE BF MODE 2,31787,38180.000000,810.810059,25773220.000000,1057925.000000,8181.187988,260055424.000000,2321408.000000,4336550.000000,526667584.000000,1009193.000000,3330601.000000,1.761472,1.751805,27.877405,27.877405,0,323,1.761472,0.000000,0.000000,1.751805,0.000000,0.000000,17038
OPPORTUNISTIC-SCORE MIX,31787,36562.000000,782.060791,24859366.000000,1055891.000000,8158.216309,259325216.000000,2458048.000000,4334516.000000,527368320.000000,1069442.000000,3527490.000000,1.746715,1.737941,26.775480,26.775480,0,320,1.746715,0.000000,0.000000,1.737941,0.000000,0.000000,16192
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,31787,36447.000000,786.960327,25015108.000000,1055805.000000,8163.738281,259500752.000000,2472128.000000,4334430.000000,527549952.000000,1075280.000000,3547408.000000,1.770221,1.761284,26.701355,26.701355,0,323,1.770221,0.000000,0.000000,1.761284,0.000000,0.000000,16008
EFT-SCORE MIX,31787,37242.000000,814.333557,25885220.000000,1056307.000000,8183.789062,260138096.000000,2297088.000000,4334932.000000,526138560.000000,1002205.000000,3299293.000000,1.786601,1.776806,27.227369,27.227369,0,320,1.786601,0.000000,0.000000,1.776806,0.000000,0.000000,17131
EFT-SCORE MIX CONSERVATIVE BF MODE 2,31787,38180.000000,810.810059,25773220.000000,1057925.000000,8181.187988,260055424.000000,2321408.000000,4336550.000000,526667584.000000,1009193.000000,3330601.000000,1.761472,1.751805,27.877405,27.877405,0,323,1.761472,0.000000,0.000000,1.751805,0.000000,0.000000,17038
