Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs
Fcfs_no_use_bigger_nodes,11973,13121.000000,1667.528442,19965318.000000,124508.000000,5379.902832,64413576.000000,0.000000,736704.000000,235425568.000000,0.000000,0.000000,5.396620,3.144027,122.446152,31.313334,0
Fcfs,11973,1878.000000,116.441574,1394155.000000,117037.000000,3828.817627,45842432.000000,0.000000,729233.000000,235425760.000000,0.000000,0.000000,0.593584,0.576963,8.303030,2.230000,1149
Fcfs_big_job_first,11973,1878.000000,116.441574,1394155.000000,117037.000000,3828.817627,45842432.000000,0.000000,729233.000000,235425760.000000,0.000000,0.000000,0.593584,0.576963,8.303030,2.230000,1149
Fcfs_backfill_big_nodes_0,11973,1906.000000,111.692055,1337289.000000,117062.000000,3824.067383,45785560.000000,0.000000,729258.000000,235425824.000000,0.000000,0.000000,0.580859,0.567847,1.485271,1.485271,1150
Fcfs_backfill_big_nodes_1,11973,1895.000000,111.564354,1335760.000000,117053.000000,3823.943848,45784080.000000,0.000000,729249.000000,235425696.000000,0.000000,0.000000,0.581189,0.568007,2.212121,1.650185,1153
Fcfs_area_filling,11973,12202.000000,1399.151855,16752045.000000,123768.000000,5111.513672,61200152.000000,0.000000,735964.000000,235425312.000000,0.000000,0.000000,4.648770,2.720991,105.384613,27.423334,108
Fcfs_area_filling_with_ratio,11973,12980.000000,1290.000610,15445178.000000,124506.000000,5002.381348,59893512.000000,0.000000,736702.000000,235425472.000000,0.000000,0.000000,3.111527,2.173836,101.500000,22.950001,749
Fcfs_area_filling_omniscient,11973,12239.000000,1441.098511,17254272.000000,123768.000000,5153.479492,61702608.000000,0.000000,735964.000000,235425504.000000,0.000000,0.000000,4.823623,2.811889,114.138458,29.530001,89
Fcfs_area_filling_omniscient_with_ratio,11973,13096.000000,1425.347656,17065688.000000,124507.000000,5137.717773,61513896.000000,0.000000,736703.000000,235425504.000000,0.000000,0.000000,3.757890,2.479374,105.723076,24.796667,542
