Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs,8548,13326.000000,1516.989258,12967224.000000,604800.000000,10579.744141,90435656.000000,3577110.000000,2397887.000000,813840320.000000,322463.000000,3899573.000000,1.881887,1.810911,38.320652,23.503334,0,0,1.853357,0.015185,0.013345,1.782381,0.015185,0.013345
Fcfs_with_a_score_adaptative_multiplier_x500_x500_x0_x0,8548,20994.000000,1243.868164,10632585.000000,604800.000000,10235.877930,87496288.000000,2917380.000000,2397887.000000,803643456.000000,377289.000000,3294669.000000,1.621190,1.567600,18.862223,18.862223,0,0,1.593908,0.014504,0.012778,1.540318,0.014504,0.012778
Mixed_strategy_80,8548,32189.000000,2593.356934,22168016.000000,604800.000000,11580.406250,98989312.000000,2827050.000000,2397887.000000,806220096.000000,425155.000000,3252205.000000,2.327290,2.275681,25.355013,25.355013,0,21,2.301150,0.013667,0.012473,2.249542,0.013667,0.012473
Mixed_strategy_90,8548,19792.000000,1718.632935,14690874.000000,604800.000000,10710.304688,91551688.000000,2916380.000000,2400455.000000,805793024.000000,375560.000000,3291940.000000,1.863848,1.815354,18.574526,18.574526,0,0,1.838396,0.012910,0.012542,1.789902,0.012910,0.012542
Mixed_strategy_99,8548,18931.000000,1366.975220,11684904.000000,604800.000000,10390.842773,88820928.000000,3182140.000000,2397887.000000,808607168.000000,385046.000000,3567186.000000,1.678829,1.632476,11.957537,11.957537,0,0,1.653409,0.013024,0.012396,1.607057,0.013024,0.012396
Fcfs_with_a_score_mixed_strategy_x500_x500_x0_x0,8548,20358.000000,1248.014771,10668030.000000,604800.000000,10239.897461,87530640.000000,2934550.000000,2397887.000000,803864000.000000,359239.000000,3293789.000000,1.633731,1.579914,14.167567,10.397183,0,0,1.606544,0.014345,0.012841,1.552727,0.014345,0.012841
Fcfs_with_a_score_mixed_strategy_not_heft_x500_x500_x0_x0,8548,410366.000000,2741.678955,23435872.000000,808260.000000,11651.373047,99595936.000000,2203130.000000,2614738.000000,798708992.000000,366052.000000,2569182.000000,1.616307,1.545290,22.629482,18.933332,0,199,1.588936,0.014643,0.012728,1.517919,0.014643,0.012728
Fcfs_with_a_score_mixed_strategy_corrected_eviction_x500_x50_x0_x0,8548,20688.000000,1243.190186,10626790.000000,604800.000000,10239.413086,87526504.000000,2939310.000000,2397887.000000,804191168.000000,391351.000000,3330661.000000,1.620085,1.564085,18.505434,11.350000,0,0,1.592458,0.014772,0.012857,1.536456,0.014772,0.012857
Mixed_strategy_6taskperdata_95,8548,14493.000000,1527.510010,13057156.000000,604800.000000,10582.742188,90461280.000000,3500130.000000,2398439.000000,812872064.000000,335333.000000,3835463.000000,1.874587,1.803897,38.437840,23.703333,0,0,1.846060,0.015221,0.013307,1.775370,0.015221,0.013307
Mixed_strategy_100taskperdata_95,8548,22221.000000,1427.399658,12201412.000000,604800.000000,10478.264648,89568208.000000,3422010.000000,2397887.000000,814120320.000000,374874.000000,3796884.000000,1.814507,1.746756,33.565216,20.586666,0,0,1.785897,0.015084,0.013526,1.718147,0.015084,0.013526
Mixed_strategy_200taskperdata_95,8548,26729.000000,1549.195923,13242527.000000,604800.000000,10579.981445,90437680.000000,3268050.000000,2397887.000000,812105472.000000,357731.000000,3625781.000000,1.871182,1.803284,35.913044,22.100000,0,2,1.842852,0.015087,0.013243,1.774954,0.015087,0.013243
Fcfs_with_a_score_x1_x0_x0_x0,8548,13347.000000,1487.286499,12713325.000000,604800.000000,10550.980469,90189784.000000,3565910.000000,2397887.000000,813894336.000000,341861.000000,3907771.000000,1.860237,1.790167,36.654053,22.603333,0,0,1.831847,0.015069,0.013320,1.761777,0.015069,0.013320
