Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
EFT-SCORE MIX TH 50,25854,99316.000000,2269.423584,58673680.000000,501115.000000,6791.852539,175596560.000000,607936.000000,9900583.000000,232681216.000000,642537.000000,1250473.000000,1.810646,1.773212,11.365296,8.708333,0,53,1.810646,0.000000,0.000000,1.773212,0.000000,0.000000,23989
EFT-SCORE MIX TH 55,25854,97563.000000,2266.141113,58588812.000000,501115.000000,6788.605957,175512624.000000,608896.000000,9900583.000000,232695616.000000,642537.000000,1251433.000000,1.810565,1.773131,11.365296,8.708333,0,53,1.810565,0.000000,0.000000,1.773131,0.000000,0.000000,23988
EFT-SCORE MIX TH 60,25854,94458.000000,2325.828369,60131964.000000,501115.000000,6847.468262,177034448.000000,604864.000000,9900583.000000,232584192.000000,626136.000000,1231000.000000,1.911342,1.872465,22.464497,22.464497,0,53,1.911342,0.000000,0.000000,1.872465,0.000000,0.000000,23981
EFT-SCORE MIX TH 65,25854,87164.000000,2462.558105,63666976.000000,501115.000000,6981.580078,180501776.000000,605248.000000,9900583.000000,232424512.000000,558097.000000,1163345.000000,2.089652,2.045727,22.489645,22.489645,0,53,2.089652,0.000000,0.000000,2.045727,0.000000,0.000000,23933
EFT-SCORE MIX TH 70,25854,56432.000000,2491.564941,64416920.000000,501115.000000,7009.603516,181226288.000000,612160.000000,9900583.000000,232399632.000000,526054.000000,1138214.000000,2.227651,2.181644,58.719032,58.719032,0,47,2.227651,0.000000,0.000000,2.181644,0.000000,0.000000,23854
EFT-SCORE MIX TH 75,25854,30604.000000,2371.792725,61320328.000000,501115.000000,6895.187500,178268176.000000,676416.000000,9900583.000000,233309104.000000,603417.000000,1279833.000000,2.193332,2.149684,19.153847,19.153847,0,8,2.193332,0.000000,0.000000,2.149684,0.000000,0.000000,23631
EFT-SCORE MIX TH 80,25854,24293.000000,1988.372803,51407392.000000,501115.000000,6520.020508,168568608.000000,772160.000000,9900583.000000,234765408.000000,722830.000000,1494990.000000,1.866298,1.825279,45.018127,45.018127,0,0,1.866298,0.000000,0.000000,1.825279,0.000000,0.000000,23358
EFT-SCORE MIX TH85,25854,22022.000000,1828.814453,47282168.000000,501115.000000,6367.604980,164628064.000000,837504.000000,9900583.000000,235740032.000000,841387.000000,1678891.000000,2.346421,2.294227,44.018127,44.018127,0,0,2.346421,0.000000,0.000000,2.294227,0.000000,0.000000,23088
EFT-SCORE MIX TH 90,25854,20675.000000,2173.265625,56187608.000000,501115.000000,6715.795898,173630192.000000,846784.000000,9900583.000000,236027808.000000,926976.000000,1773760.000000,3.737104,3.654214,41.621620,38.317219,0,0,3.737104,0.000000,0.000000,3.654214,0.000000,0.000000,23059
EFT-SCORE MIX TH 95,25854,17105.000000,2044.473633,52857820.000000,501115.000000,6589.875488,170374640.000000,853952.000000,9900583.000000,236097952.000000,996097.000000,1850049.000000,3.611082,3.533642,43.790817,31.200001,0,0,3.611082,0.000000,0.000000,3.533642,0.000000,0.000000,22987
EFT-SCORE MIX TH 100,25854,15577.000000,3057.485596,79048232.000000,501115.000000,7606.697266,196663552.000000,878976.000000,9900583.000000,236714656.000000,1069432.000000,1948408.000000,6.510960,6.169424,67.551018,44.666668,0,0,6.510960,0.000000,0.000000,6.169424,0.000000,0.000000,22968
