Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,3729,2038.000000,94.849022,353692.000000,735311.000000,13274.970703,49502364.000000,739392.000000,2550831.000000,390340480.000000,263020.000000,1002412.000000,1.015471,1.007451,2.237057,2.237057,0,0,1.015471,0.000000,0.000000,1.007451,0.000000,0.000000,1945
FCFS CONSERVATIVE BF MODE 2,3729,2038.000000,94.600967,352767.000000,735311.000000,13274.463867,49500476.000000,732672.000000,2550831.000000,390338336.000000,268791.000000,1001463.000000,1.015325,1.007320,2.256230,2.256230,0,0,1.015325,0.000000,0.000000,1.007320,0.000000,0.000000,1981
EFT,3729,2038.000000,94.728882,353244.000000,735311.000000,13274.176758,49499404.000000,747584.000000,2550831.000000,390336736.000000,252228.000000,999812.000000,1.015222,1.007242,2.236376,2.236376,0,0,1.015222,0.000000,0.000000,1.007242,0.000000,0.000000,1901
EFT CONSERVATIVE BF MODE 2,3729,2038.000000,93.868866,350037.000000,735311.000000,13273.922852,49498460.000000,746368.000000,2550831.000000,390339584.000000,255805.000000,1002173.000000,1.014989,1.007012,2.241826,2.241826,0,0,1.014989,0.000000,0.000000,1.007012,0.000000,0.000000,1922
SCORE,3729,409759.000000,4656.577148,17364376.000000,830149.000000,17742.375000,66161316.000000,476352.000000,2642765.000000,387179936.000000,128220.000000,604572.000000,1.729365,1.720844,32.176537,32.176537,0,56,1.729365,0.000000,0.000000,1.720844,0.000000,0.000000,2675
SCORE CONSERVATIVE BF MODE 2,3729,409759.000000,4569.520020,17039740.000000,830149.000000,17655.337891,65836756.000000,478720.000000,2642765.000000,387190528.000000,127595.000000,606315.000000,1.839310,1.828649,34.748909,34.748909,0,56,1.839310,0.000000,0.000000,1.828649,0.000000,0.000000,2672
OPPORTUNISTIC-SCORE MIX,3729,2038.000000,95.200592,355003.000000,735311.000000,13274.714844,49501412.000000,739776.000000,2550831.000000,390337408.000000,260323.000000,1000099.000000,1.015199,1.007218,2.235695,2.235695,0,0,1.015199,0.000000,0.000000,1.007218,0.000000,0.000000,1940
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,3729,2038.000000,96.592384,360193.000000,735311.000000,13276.564453,49508308.000000,743616.000000,2550831.000000,390340576.000000,258235.000000,1001851.000000,1.015808,1.007792,2.301090,2.301090,0,0,1.015808,0.000000,0.000000,1.007792,0.000000,0.000000,1914
EFT-SCORE MIX,3729,52397.000000,3919.393311,14615418.000000,735311.000000,17037.355469,63532296.000000,605504.000000,2550831.000000,389053952.000000,123023.000000,728527.000000,1.725408,1.716108,19.868546,19.868546,0,28,1.725408,0.000000,0.000000,1.716108,0.000000,0.000000,2508
EFT-SCORE MIX CONSERVATIVE BF MODE 2,3729,52578.000000,3739.607178,13944995.000000,735311.000000,16856.238281,62856916.000000,599040.000000,2550831.000000,388959136.000000,126608.000000,725648.000000,1.704579,1.692409,19.868546,19.868546,0,28,1.704579,0.000000,0.000000,1.692409,0.000000,0.000000,2500
