Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
EFT-SCORE MIX TH50,16086,337935.000000,6158.511230,99065808.000000,1000466.000000,30057.964844,483512416.000000,1669568.000000,10835003.000000,4884341760.000000,330565.000000,2000133.000000,6.472035,5.795510,145.220474,145.220474,0,867,6.472035,0.000000,0.000000,5.795510,0.000000,0.000000,11013
EFT-SCORE MIX TH55,16086,318098.000000,6171.840332,99280224.000000,1000466.000000,30076.666016,483813248.000000,1754944.000000,10835003.000000,4885842944.000000,333019.000000,2087963.000000,7.015624,6.292991,159.088882,159.088882,0,906,7.015624,0.000000,0.000000,6.292991,0.000000,0.000000,10923
EFT-SCORE MIX TH60,16086,342266.000000,6031.218262,97018176.000000,1000466.000000,29943.199219,481666304.000000,1869248.000000,10835003.000000,4887749632.000000,333431.000000,2202679.000000,6.811436,6.089331,115.627296,115.627296,0,899,6.811436,0.000000,0.000000,6.089331,0.000000,0.000000,10781
EFT-SCORE MIX TH65,16086,341390.000000,5911.557617,95093312.000000,1000466.000000,29827.783203,479809728.000000,1934656.000000,10835003.000000,4888792064.000000,338301.000000,2272957.000000,6.551775,5.838809,114.740837,114.740837,0,889,6.551775,0.000000,0.000000,5.838809,0.000000,0.000000,10685
EFT-SCORE MIX TH70,16086,334782.000000,5769.786621,92812784.000000,1000466.000000,29688.656250,477571712.000000,1986688.000000,10835003.000000,4889428992.000000,332261.000000,2318949.000000,6.419645,5.677245,117.603676,117.603676,0,859,6.419645,0.000000,0.000000,5.677245,0.000000,0.000000,10569
EFT-SCORE MIX TH75,16086,338047.000000,5826.807617,93730024.000000,1000466.000000,29746.957031,478509536.000000,1995392.000000,10835003.000000,4889612288.000000,339392.000000,2334784.000000,6.350868,5.671130,128.370071,128.370071,0,854,6.350868,0.000000,0.000000,5.671130,0.000000,0.000000,10566
EFT-SCORE MIX TH80,16086,338090.000000,5806.674805,93406168.000000,1000466.000000,29726.691406,478183552.000000,1995008.000000,10835003.000000,4889604096.000000,337043.000000,2332051.000000,6.350875,5.677317,114.144356,114.144356,0,900,6.350875,0.000000,0.000000,5.677317,0.000000,0.000000,10572
EFT-SCORE MIX TH85,16086,338522.000000,5771.207031,92835640.000000,1000466.000000,29691.289062,477614080.000000,1995968.000000,10835003.000000,4889598976.000000,338877.000000,2334845.000000,6.368141,5.651983,120.139107,120.139107,0,852,6.368141,0.000000,0.000000,5.651983,0.000000,0.000000,10546
EFT-SCORE MIX TH90,16086,340430.000000,5746.655273,92440696.000000,1000466.000000,29667.011719,477223552.000000,2001472.000000,10835003.000000,4889662464.000000,338395.000000,2339867.000000,6.432791,5.687937,115.876640,115.876640,0,873,6.432791,0.000000,0.000000,5.687937,0.000000,0.000000,10526
EFT-SCORE MIX TH95,16086,340430.000000,5746.655273,92440696.000000,1000466.000000,29667.015625,477223616.000000,2001472.000000,10835003.000000,4889662464.000000,338439.000000,2339911.000000,6.432806,5.687946,115.876640,115.876640,0,873,6.432806,0.000000,0.000000,5.687946,0.000000,0.000000,10526
EFT-SCORE MIX TH100,16086,169597.000000,7106.662109,114317768.000000,1000466.000000,31033.082031,499198144.000000,2105792.000000,10835003.000000,4891190784.000000,337830.000000,2443622.000000,8.165204,7.446221,230.078735,230.078735,0,853,8.165204,0.000000,0.000000,7.446221,0.000000,0.000000,10412
