Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs,15295,17200.000000,2043.329224,31252720.000000,727746.000000,7081.153320,108306240.000000,1972000.000000,4683999.000000,575261312.000000,1228077.000000,3200077.000000,6.195006,5.835732,90.324608,57.506668,0,0,6.191790,0.002834,0.000381,5.832517,0.002834,0.000381
Fcfs_with_a_score_x500_x1_x0_x0,15295,323980.000000,2673.832520,40896268.000000,794969.000000,7607.365723,116354656.000000,1099500.000000,4751248.000000,566096128.000000,500485.000000,1599985.000000,4.031105,3.887081,50.722511,44.911243,0,286,4.027725,0.002825,0.000555,3.883702,0.002825,0.000555
Fcfs_conservativebf,15295,15570.000000,849.303345,12990095.000000,727746.000000,5885.323242,90016016.000000,1898460.000000,4683999.000000,575086208.000000,1273739.000000,3172199.000000,2.881921,2.776685,56.871658,35.450001,0,0,2.879031,0.002529,0.000360,2.773795,0.002529,0.000360
Fcfs_with_a_score_adaptative_multiplier_if_EAT_is_t_x500_x1_x0_x0,15295,15269.000000,505.610199,7733308.000000,727746.000000,5541.825684,84762224.000000,1887920.000000,4683999.000000,575127424.000000,1287103.000000,3175023.000000,2.075703,1.991526,27.408377,17.450001,0,0,2.072717,0.002617,0.000369,1.988540,0.002617,0.000369
Fcfs_with_a_score_mixed_strategy_x500_x1_x0_x0,15295,15141.000000,382.287415,5847086.000000,727746.000000,5410.918457,82760000.000000,1802020.000000,4683999.000000,574666112.000000,1256756.000000,3058776.000000,1.771152,1.705906,25.732985,16.383333,0,0,1.768298,0.002496,0.000358,1.703053,0.002496,0.000358
Fcfs_with_a_score_conservativebf_x1_x1_x0_x0,15295,15269.000000,898.797974,13747115.000000,727746.000000,5935.242676,90779536.000000,1901070.000000,4683999.000000,575147392.000000,1277985.000000,3179055.000000,3.040072,2.915660,58.379681,36.389999,0,0,3.037206,0.002508,0.000358,2.912795,0.002508,0.000358
Fcfs_with_a_score_conservativebf_x500_x1_x0_x0,15295,323980.000000,2053.386719,31406548.000000,730545.000000,6992.102539,106944208.000000,1115740.000000,4686798.000000,566305792.000000,563589.000000,1679329.000000,2.472570,2.435832,55.933434,55.933434,0,248,2.469371,0.002645,0.000555,2.432633,0.002645,0.000555
