Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,15920,145924.000000,110322.734375,1756337920.000000,637041.000000,132212.250000,2104818944.000000,1280640.000000,9114682.000000,489158336.000000,218922.000000,1499562.000000,163.837875,136.045258,685.951599,428.720001,0,15920,163.837875,0.000000,0.000000,136.045258,0.000000,0.000000,11991
FCFS CONSERVATIVE BF MODE 2,15920,155814.000000,50296.234375,800716032.000000,640419.000000,72192.125000,1149298688.000000,1371520.000000,9106732.000000,489362400.000000,238396.000000,1609916.000000,47.005165,40.506767,576.310181,359.359985,0,11934,47.005165,0.000000,0.000000,40.506767,0.000000,0.000000,11088
EFT,15920,147325.000000,110062.781250,1752199424.000000,637590.000000,131952.015625,2100675968.000000,1313344.000000,9107968.000000,489478656.000000,184608.000000,1497952.000000,163.721207,135.989960,680.989258,425.556671,0,15920,163.721207,0.000000,0.000000,135.989960,0.000000,0.000000,11920
EFT CONSERVATIVE BF MODE 2,15920,155503.000000,50664.945312,806585920.000000,640787.000000,72559.875000,1155153152.000000,1371840.000000,9107100.000000,489380672.000000,212310.000000,1584150.000000,47.846550,41.123756,569.240662,355.423340,0,12588,47.846550,0.000000,0.000000,41.123756,0.000000,0.000000,11129
SCORE,15920,507725.000000,69733.976562,1110164864.000000,652625.000000,91594.132812,1458178560.000000,865152.000000,9099069.000000,484538176.000000,164487.000000,1029639.000000,109.216812,90.743996,467.500000,301.043335,0,15920,109.216812,0.000000,0.000000,90.743996,0.000000,0.000000,800
SCORE CONSERVATIVE BF MODE 2,15920,522619.000000,32756.544922,521484192.000000,667519.000000,54632.386719,869747584.000000,1069120.000000,9113963.000000,485569088.000000,214873.000000,1283993.000000,38.017948,32.727207,360.544983,227.160004,0,9348,38.017948,0.000000,0.000000,32.727207,0.000000,0.000000,273
OPPORTUNISTIC-SCORE MIX,15920,146764.000000,103233.859375,1643483008.000000,633429.000000,125123.421875,1991964928.000000,1304128.000000,9106620.000000,489512000.000000,194009.000000,1498137.000000,159.483551,132.220673,677.693542,423.630005,0,15920,159.483551,0.000000,0.000000,132.220673,0.000000,0.000000,7158
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,15920,164591.000000,97539.156250,1552823424.000000,638087.000000,119427.320312,1901282944.000000,1331904.000000,9104400.000000,489253120.000000,153068.000000,1484972.000000,161.772629,133.824677,717.736572,448.309998,0,15920,161.772629,0.000000,0.000000,133.824677,0.000000,0.000000,6699
EFT-SCORE MIX,15920,256127.000000,69656.835938,1108936832.000000,593153.000000,91517.960938,1456965888.000000,883072.000000,9070629.000000,484845376.000000,164487.000000,1047559.000000,109.215561,90.742744,467.500000,301.043335,0,15920,109.215561,0.000000,0.000000,90.742744,0.000000,0.000000,786
EFT-SCORE MIX CONSERVATIVE BF MODE 2,15920,253588.000000,32675.556641,520194848.000000,589929.000000,54552.371094,868473728.000000,1087040.000000,9056242.000000,485876288.000000,214873.000000,1301913.000000,38.016632,32.725891,360.544983,227.160004,0,9348,38.016632,0.000000,0.000000,32.725891,0.000000,0.000000,259
