Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs_no_use_bigger_nodes,13419,4659.000000,407.384766,5466696.000000,751494.000000,14432.561523,193670544.000000,3204950.000000,1882401.000000,1518595840.000000,905895.000000,4110845.000000,1.358320,1.342731,8.985075,8.985075,0,0,1.358320,0.000000,0.000000,1.342731,0.000000,0.000000
Fcfs,13419,2758.000000,191.428421,2568778.000000,751494.000000,14219.913086,190817008.000000,3212380.000000,1882401.000000,1518873344.000000,942738.000000,4155118.000000,1.135529,1.119954,5.003876,5.003876,563,0,1.135529,0.000000,0.000000,1.119954,0.000000,0.000000
Fcfs_backfill_big_nodes_0,13419,2758.000000,191.410767,2568541.000000,751494.000000,14219.870117,190816432.000000,3212240.000000,1882401.000000,1518872576.000000,942278.000000,4154518.000000,1.135519,1.119943,5.003876,5.003876,563,0,1.135519,0.000000,0.000000,1.119943,0.000000,0.000000
Fcfs_area_filling_with_ratio,13419,2761.000000,190.330505,2554045.000000,751494.000000,14218.911133,190803568.000000,3210290.000000,1882401.000000,1518869248.000000,946030.000000,4156320.000000,1.135492,1.119915,4.996124,4.996124,1033,0,1.135492,0.000000,0.000000,1.119915,0.000000,0.000000
Fcfs_with_a_score_x1_x0_x0_x0,13419,2762.000000,191.964081,2575966.000000,751494.000000,14220.182617,190820624.000000,3199710.000000,1882401.000000,1518866688.000000,948574.000000,4148284.000000,1.135953,1.120443,5.011628,5.011628,545,0,1.135953,0.000000,0.000000,1.120443,0.000000,0.000000
Fcfs_with_a_score_x500_x500_x0_x0,13419,434700.000000,4690.044434,62935708.000000,756955.000000,18545.894531,248867360.000000,1158280.000000,1882395.000000,1486592384.000000,466186.000000,1624466.000000,3.015339,2.990684,46.330734,46.330734,0,459,3.015339,0.000000,0.000000,2.990684,0.000000,0.000000
Fcfs_area_filling_omniscient_with_a_score_x500_x500_x0_x0,13419,434700.000000,4690.044434,62935708.000000,756955.000000,18545.894531,248867360.000000,1158280.000000,1882395.000000,1486592384.000000,466186.000000,1624466.000000,3.015339,2.990684,46.330734,46.330734,0,459,3.015339,0.000000,0.000000,2.990684,0.000000,0.000000
Fcfs_area_filling_with_ratio_with_a_score_x500_x500_x0_x0,13419,434700.000000,4690.044434,62935708.000000,756955.000000,18545.894531,248867360.000000,1158280.000000,1882395.000000,1486592384.000000,466186.000000,1624466.000000,3.015339,2.990684,46.330734,46.330734,0,459,3.015339,0.000000,0.000000,2.990684,0.000000,0.000000
Fcfs_with_a_score_area_factor_x500_x500_x0_x500,13419,434700.000000,4690.044434,62935708.000000,756955.000000,18545.894531,248867360.000000,1158280.000000,1882395.000000,1486592384.000000,466186.000000,1624466.000000,3.015339,2.990684,46.330734,46.330734,0,459,3.015339,0.000000,0.000000,2.990684,0.000000,0.000000
Fcfs_with_a_score_area_factor_x500_x500_x0_x1000,13419,434700.000000,4690.044434,62935708.000000,756955.000000,18545.894531,248867360.000000,1158280.000000,1882395.000000,1486592384.000000,466186.000000,1624466.000000,3.015339,2.990684,46.330734,46.330734,0,459,3.015339,0.000000,0.000000,2.990684,0.000000,0.000000
Fcfs_with_a_score_backfill_big_nodes_gain_loss_tradeoff_x500_x500_x0_x0,13419,434700.000000,4690.044434,62935708.000000,756955.000000,18545.894531,248867360.000000,1158280.000000,1882395.000000,1486592384.000000,466186.000000,1624466.000000,3.015339,2.990684,46.330734,46.330734,0,459,3.015339,0.000000,0.000000,2.990684,0.000000,0.000000
