Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs_no_use_bigger_nodes,13419,462880.000000,22043.226562,295798048.000000,751494.000000,36092.953125,484331360.000000,3457880.000000,1882395.000000,1522148096.000000,994166.000000,4452046.000000,11.867616,11.717480,680.562500,663.324402,0,2132,0.822231,7.024770,4.020608,0.808300,6.888564,4.020608
Fcfs,13419,561192.000000,70790.421875,949936704.000000,829255.000000,84842.171875,1138497152.000000,3472430.000000,1882395.000000,1522229248.000000,1028007.000000,4500437.000000,28.528566,28.423529,818.578186,818.578186,0,2314,0.822231,4.356477,23.349796,0.808300,4.265377,23.349796
Fcfs_backfill_big_nodes_0,13419,456012.000000,57532.953125,772034688.000000,751494.000000,71582.101562,960560256.000000,3461050.000000,1882395.000000,1521916672.000000,1005414.000000,4466464.000000,24.293034,24.165398,652.592407,652.592407,16,2407,0.822231,5.780082,17.690754,0.808300,5.666378,17.690754
Fcfs_area_filling_with_ratio,13419,462880.000000,22043.226562,295798048.000000,751494.000000,36092.953125,484331360.000000,3457880.000000,1882395.000000,1522148096.000000,994166.000000,4452046.000000,11.867616,11.717480,680.562500,663.324402,0,2132,0.822231,7.024770,4.020608,0.808300,6.888564,4.020608
Fcfs_with_a_score_x1_x0_x0_x0,13419,561490.000000,70790.062500,949931840.000000,829258.000000,84841.281250,1138485120.000000,3450490.000000,1882395.000000,1522237952.000000,1038173.000000,4488663.000000,28.529188,28.424196,815.886230,815.886230,0,2314,0.822436,4.358538,23.348175,0.808544,4.267437,23.348175
Fcfs_with_a_score_x500_x500_x0_x0,13419,434700.000000,20449.546875,274412480.000000,751494.000000,34329.765625,460671104.000000,1501300.000000,1882401.000000,1490556928.000000,512823.000000,2014123.000000,8.384078,8.356253,257.284363,257.284363,0,1924,2.581544,0.151833,5.650724,2.554016,0.151547,5.650724
Fcfs_area_filling_omniscient_with_a_score_x500_x500_x0_x0,13419,434700.000000,20490.187500,274957824.000000,751494.000000,34370.160156,461213184.000000,1501300.000000,1882401.000000,1490536448.000000,509663.000000,2010963.000000,8.424688,8.396885,257.284363,257.284363,0,1924,2.581922,0.192062,5.650724,2.554395,0.191799,5.650724
Fcfs_area_filling_with_ratio_with_a_score_x500_x500_x0_x0,13419,434700.000000,20490.187500,274957824.000000,751494.000000,34370.160156,461213184.000000,1501300.000000,1882401.000000,1490536448.000000,509663.000000,2010963.000000,8.424688,8.396885,257.284363,257.284363,0,1924,2.581922,0.192062,5.650724,2.554395,0.191799,5.650724
Fcfs_with_a_score_area_factor_x500_x500_x0_x500,13419,434700.000000,20490.187500,274957824.000000,751494.000000,34370.160156,461213184.000000,1501300.000000,1882401.000000,1490536448.000000,509663.000000,2010963.000000,8.424688,8.396885,257.284363,257.284363,0,1924,2.581922,0.192062,5.650724,2.554395,0.191799,5.650724
Fcfs_with_a_score_area_factor_x500_x500_x0_x1000,13419,434700.000000,20490.187500,274957824.000000,751494.000000,34370.160156,461213184.000000,1501300.000000,1882401.000000,1490536448.000000,509663.000000,2010963.000000,8.424688,8.396885,257.284363,257.284363,0,1924,2.581922,0.192062,5.650724,2.554395,0.191799,5.650724
Fcfs_with_a_score_backfill_big_nodes_gain_loss_tradeoff_x500_x500_x0_x0,13419,434700.000000,20449.546875,274412480.000000,751494.000000,34329.765625,460671104.000000,1501300.000000,1882401.000000,1490556928.000000,512823.000000,2014123.000000,8.384078,8.356253,257.284363,257.284363,0,1924,2.581544,0.151833,5.650724,2.554016,0.151547,5.650724
