Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs_no_use_bigger_nodes,13419,465293.000000,10565.657227,141780560.000000,933811.000000,24616.138672,330323968.000000,3402910.000000,2064301.000000,1521484288.000000,1097930.000000,4500840.000000,9.109113,8.779518,1776.802368,1508.323364,0,361,1.022797,8.079284,0.007032,1.008270,7.764215,0.007032
Fcfs,13419,492394.000000,9596.481445,128775184.000000,875418.000000,23645.312500,317296448.000000,3395460.000000,2001827.000000,1521484544.000000,1081426.000000,4476886.000000,7.657449,7.428637,1188.442261,994.330017,8,452,1.022797,5.453211,1.181443,1.008270,5.238924,1.181443
Fcfs_backfill_big_nodes_0,13419,372200.000000,6385.309570,85684472.000000,841977.000000,20433.140625,274192320.000000,3395400.000000,1972467.000000,1521366016.000000,1062242.000000,4457642.000000,5.002460,4.865155,844.581055,749.789978,298,452,1.022797,3.540006,0.439661,1.008270,3.417227,0.439661
Fcfs_area_filling_with_ratio,13419,461539.000000,7151.788574,95969848.000000,933037.000000,21201.158203,284498336.000000,3393440.000000,2063527.000000,1521344384.000000,1089198.000000,4482638.000000,5.829147,5.642395,1567.358154,1400.173340,121,280,1.022797,4.799359,0.006998,1.008270,4.627131,0.006998
Fcfs_with_a_score_x1_x0_x0_x0,13419,492394.000000,9596.228516,128771792.000000,875418.000000,23644.914062,317291104.000000,3384020.000000,2001827.000000,1521477888.000000,1090769.000000,4474789.000000,7.657087,7.428345,1188.123535,994.063354,8,452,1.022557,5.453140,1.181393,1.008090,5.238863,1.181393
Fcfs_with_a_score_x500_x500_x0_x0,13419,543635.000000,4962.954590,66597888.000000,961372.000000,18829.296875,252670336.000000,1271380.000000,2087812.000000,1487960960.000000,527618.000000,1798998.000000,2.994926,2.971753,43.139603,43.139603,12,360,2.956157,0.030919,0.007851,2.933205,0.030699,0.007851
Fcfs_area_filling_omniscient_with_a_score_x500_x500_x0_x0,13419,543635.000000,4962.954590,66597888.000000,961372.000000,18829.296875,252670336.000000,1271380.000000,2087812.000000,1487960960.000000,527618.000000,1798998.000000,2.994926,2.971753,43.139603,43.139603,12,360,2.956157,0.030919,0.007851,2.933205,0.030699,0.007851
Fcfs_area_filling_with_ratio_with_a_score_x500_x500_x0_x0,13419,543635.000000,4961.745117,66581656.000000,961372.000000,18828.318359,252657200.000000,1274060.000000,2087812.000000,1487973248.000000,530550.000000,1804610.000000,2.994822,2.971633,43.139603,43.139603,29,360,2.956157,0.032058,0.006606,2.933205,0.031822,0.006606
Fcfs_with_a_score_area_factor_x500_x500_x0_x500,13419,543635.000000,4992.156738,66989752.000000,961372.000000,18858.531250,253062640.000000,1271250.000000,2087812.000000,1487946880.000000,528205.000000,1799455.000000,3.007798,2.984538,43.139603,43.139603,0,366,2.956157,0.045094,0.006546,2.933205,0.044788,0.006546
Fcfs_with_a_score_area_factor_x500_x500_x0_x1000,13419,543635.000000,4992.156738,66989752.000000,961372.000000,18858.531250,253062640.000000,1271250.000000,2087812.000000,1487946880.000000,528205.000000,1799455.000000,3.007798,2.984538,43.139603,43.139603,0,366,2.956157,0.045094,0.006546,2.933205,0.044788,0.006546
Fcfs_with_a_score_backfill_big_nodes_gain_loss_tradeoff_x500_x500_x0_x0,13419,543635.000000,4964.309570,66616072.000000,961372.000000,18830.787109,252690320.000000,1271380.000000,2087812.000000,1487976832.000000,529433.000000,1800813.000000,2.994262,2.971082,43.139603,43.139603,33,360,2.956157,0.031250,0.006854,2.933205,0.031023,0.006854
