Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,43150,1754.000000,0.921460,39761.000000,324000.000000,9113.494141,393247264.000000,1864960.000000,3203768.000000,543580160.000000,320752.000000,2185712.000000,0.996917,0.996656,1.499655,1.499655,0,0,0.996917,0.000000,0.000000,0.996656,0.000000,0.000000,21794
FCFS CONSERVATIVE BF MODE 2,43150,1754.000000,0.921460,39761.000000,324000.000000,9113.494141,393247264.000000,1864960.000000,3203768.000000,543580160.000000,320752.000000,2185712.000000,0.996917,0.996656,1.499655,1.499655,0,0,0.996917,0.000000,0.000000,0.996656,0.000000,0.000000,21794
EFT,43150,1986.000000,0.971402,41916.000000,324000.000000,9113.697266,393256032.000000,1813824.000000,3203768.000000,543587008.000000,378666.000000,2192490.000000,0.996962,0.996698,2.370600,2.370600,0,0,0.996962,0.000000,0.000000,0.996698,0.000000,0.000000,22573
EFT CONSERVATIVE BF MODE 2,43150,1986.000000,0.971402,41916.000000,324000.000000,9113.697266,393256032.000000,1813824.000000,3203768.000000,543587008.000000,378666.000000,2192490.000000,0.996962,0.996698,2.370600,2.370600,0,0,0.996962,0.000000,0.000000,0.996698,0.000000,0.000000,22573
SCORE,43150,2300.000000,2.290498,98835.000000,324000.000000,9114.197266,393277600.000000,1784320.000000,3203768.000000,543066496.000000,371781.000000,2156101.000000,0.997215,0.996953,2.370600,2.370600,0,0,0.997215,0.000000,0.000000,0.996953,0.000000,0.000000,22610
SCORE CONSERVATIVE BF MODE 2,43150,2300.000000,2.189687,94485.000000,324000.000000,9113.905273,393264992.000000,1776192.000000,3203768.000000,543056640.000000,372013.000000,2148205.000000,0.997222,0.996959,2.370600,2.370600,0,0,0.997222,0.000000,0.000000,0.996959,0.000000,0.000000,22765
OPPORTUNISTIC-SCORE MIX,43150,1718.000000,0.838262,36171.000000,324000.000000,9113.432617,393244608.000000,1809408.000000,3203768.000000,543581632.000000,377442.000000,2186850.000000,0.996892,0.996630,1.499655,1.499655,0,0,0.996892,0.000000,0.000000,0.996630,0.000000,0.000000,22617
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,43150,1718.000000,0.838262,36171.000000,324000.000000,9113.432617,393244608.000000,1809408.000000,3203768.000000,543581632.000000,377442.000000,2186850.000000,0.996892,0.996630,1.499655,1.499655,0,0,0.996892,0.000000,0.000000,0.996630,0.000000,0.000000,22617
EFT-SCORE MIX,43150,2300.000000,1.241530,53572.000000,324000.000000,9113.316406,393239616.000000,1788736.000000,3203768.000000,543144512.000000,375867.000000,2164603.000000,0.996975,0.996713,2.370600,2.370600,0,0,0.996975,0.000000,0.000000,0.996713,0.000000,0.000000,22632
EFT-SCORE MIX CONSERVATIVE BF MODE 2,43150,2300.000000,1.241530,53572.000000,324000.000000,9113.316406,393239616.000000,1788736.000000,3203768.000000,543144512.000000,375867.000000,2164603.000000,0.996975,0.996713,2.370600,2.370600,0,0,0.996975,0.000000,0.000000,0.996713,0.000000,0.000000,22632
