Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,22630,73816.000000,8289.657227,187594944.000000,547347.000000,24801.496094,561257856.000000,2388096.000000,3910907.000000,1127201280.000000,731801.000000,3119897.000000,5.103488,4.833488,171.231613,155.416672,0,3448,5.103488,0.000000,0.000000,4.833488,0.000000,0.000000,7673
FCFS CONSERVATIVE BF MODE 2,22630,73092.000000,8194.458008,185440592.000000,547347.000000,24706.078125,559098560.000000,2379712.000000,3910907.000000,1127164416.000000,733100.000000,3112812.000000,5.052917,4.790986,170.275742,154.583328,0,3441,5.052917,0.000000,0.000000,4.790986,0.000000,0.000000,7754
EFT,22630,73926.000000,8260.591797,186937184.000000,547347.000000,24772.044922,560591360.000000,2377088.000000,3910907.000000,1127141120.000000,732854.000000,3109942.000000,5.090081,4.821578,170.588242,154.966660,0,3444,5.090081,0.000000,0.000000,4.821578,0.000000,0.000000,7806
EFT CONSERVATIVE BF MODE 2,22630,73337.000000,8238.095703,186428112.000000,547348.000000,24749.306641,560076800.000000,2368320.000000,3910908.000000,1127165184.000000,737336.000000,3105656.000000,5.083035,4.814994,170.080887,154.396667,0,3434,5.083035,0.000000,0.000000,4.814994,0.000000,0.000000,7920
SCORE,22630,73823.000000,8297.721680,187777440.000000,547347.000000,24807.759766,561399616.000000,2371008.000000,3910907.000000,1127164672.000000,706998.000000,3078006.000000,5.127338,4.850053,171.000000,155.246674,0,3445,5.127338,0.000000,0.000000,4.850053,0.000000,0.000000,8033
SCORE CONSERVATIVE BF MODE 2,22630,74172.000000,8225.072266,186133376.000000,547348.000000,24734.593750,559743872.000000,2360256.000000,3910908.000000,1127022848.000000,706179.000000,3066435.000000,5.080552,4.809745,170.080887,154.339996,0,3438,5.080552,0.000000,0.000000,4.809745,0.000000,0.000000,8033
OPPORTUNISTIC-SCORE MIX,22630,74516.000000,8297.238281,187766512.000000,547347.000000,24808.511719,561416640.000000,2369152.000000,3910907.000000,1127134976.000000,736933.000000,3106085.000000,5.100547,4.831797,171.647064,155.926666,0,3456,5.100547,0.000000,0.000000,4.831797,0.000000,0.000000,7899
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,22630,70807.000000,8238.124023,186428752.000000,547348.000000,24749.789062,560087744.000000,2371456.000000,3910908.000000,1127201280.000000,744204.000000,3115660.000000,5.093054,4.826771,171.422791,155.639999,0,3454,5.093054,0.000000,0.000000,4.826771,0.000000,0.000000,7908
EFT-SCORE MIX,22630,74817.000000,8259.034180,186901952.000000,547348.000000,24770.253906,560550848.000000,2374848.000000,3910908.000000,1127158784.000000,731728.000000,3106576.000000,5.090002,4.821806,170.455887,154.789993,0,3441,5.090002,0.000000,0.000000,4.821806,0.000000,0.000000,7925
EFT-SCORE MIX CONSERVATIVE BF MODE 2,22630,72493.000000,8211.688477,185830512.000000,547348.000000,24722.990234,559481280.000000,2376896.000000,3910908.000000,1127193088.000000,731678.000000,3108574.000000,5.062026,4.795462,170.062500,154.270004,0,3434,5.062026,0.000000,0.000000,4.795462,0.000000,0.000000,7864
