Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,7560,167608.000000,94889.507812,717364672.000000,688555.000000,98876.226562,747504256.000000,973118.000000,9058910.000000,202586272.000000,60174.000000,1033292.000000,129.936783,113.834480,616.844116,409.559998,0,7560,129.936783,0.000000,0.000000,113.834480,0.000000,0.000000,4305
FCFS CONSERVATIVE BF MODE 2,7560,170620.000000,48758.523438,368614432.000000,693729.000000,52741.335938,398724512.000000,921662.000000,9064084.000000,202040480.000000,85468.000000,1007130.000000,38.541603,33.392452,544.526855,337.606659,0,4850,38.541603,0.000000,0.000000,33.392452,0.000000,0.000000,4492
EFT,7560,169543.000000,94890.710938,717373760.000000,690543.000000,98878.875000,747524288.000000,978430.000000,9060898.000000,202624256.000000,62642.000000,1041072.000000,130.203568,114.040344,609.854858,406.676666,0,7560,130.203568,0.000000,0.000000,114.040344,0.000000,0.000000,4280
EFT CONSERVATIVE BF MODE 2,7560,170102.000000,56869.308594,429931968.000000,692434.000000,60854.699219,460061536.000000,952318.000000,9062789.000000,202325824.000000,72686.000000,1025004.000000,50.406792,43.446217,545.231201,338.043335,0,5902,50.406792,0.000000,0.000000,43.446217,0.000000,0.000000,4272
SCORE,7560,413051.000000,72029.242188,544541056.000000,682941.000000,75969.757812,574331392.000000,628158.000000,9053296.000000,198357152.000000,47827.000000,675985.000000,97.165840,85.349739,527.129028,329.043335,0,7560,97.165840,0.000000,0.000000,85.349739,0.000000,0.000000,5332
SCORE CONSERVATIVE BF MODE 2,7560,413088.000000,66069.023438,499481824.000000,684221.000000,70023.937500,529380992.000000,739710.000000,9054576.000000,198834336.000000,50033.000000,789743.000000,88.465263,77.872765,517.682800,323.846680,0,7560,88.465263,0.000000,0.000000,77.872765,0.000000,0.000000,4536
OPPORTUNISTIC-SCORE MIX,7560,169805.000000,86942.976562,657288896.000000,690487.000000,90931.203125,687439872.000000,978430.000000,9060842.000000,202413088.000000,65084.000000,1043514.000000,119.090904,104.508545,574.763428,400.983337,0,7560,119.090904,0.000000,0.000000,104.508545,0.000000,0.000000,4091
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,7560,172687.000000,44955.746094,339865440.000000,697480.000000,48936.714844,369961568.000000,922878.000000,9067835.000000,202000544.000000,72029.000000,994907.000000,37.295086,31.867519,535.360229,331.923340,0,4253,37.295086,0.000000,0.000000,31.867519,0.000000,0.000000,28
EFT-SCORE MIX,7560,323098.000000,71962.476562,544036352.000000,682941.000000,75904.359375,573836928.000000,638398.000000,9053296.000000,198561952.000000,47827.000000,686225.000000,97.164398,85.348297,527.129028,329.043335,0,7560,97.164398,0.000000,0.000000,85.348297,0.000000,0.000000,210
EFT-SCORE MIX CONSERVATIVE BF MODE 2,7560,310131.000000,65985.210938,498848224.000000,684221.000000,69941.992188,528761440.000000,753790.000000,9054576.000000,199115936.000000,50033.000000,803823.000000,88.463486,77.870987,517.682800,323.846680,0,7560,88.463486,0.000000,0.000000,77.870987,0.000000,0.000000,153
