Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,19464,93916.000000,11201.651367,218028944.000000,817456.000000,19885.652344,387054336.000000,1753856.000000,3870519.000000,347402208.000000,226949.000000,1980805.000000,12.304609,11.387937,140.677414,91.693336,0,1503,12.304609,0.000000,0.000000,11.387937,0.000000,0.000000,9280
FCFS CONSERVATIVE BF MODE 2,19464,93922.000000,11012.906250,214355200.000000,817462.000000,19697.310547,383388448.000000,1773120.000000,3870525.000000,347444672.000000,215571.000000,1988691.000000,12.116192,11.226013,138.650543,90.373337,0,1177,12.116192,0.000000,0.000000,11.226013,0.000000,0.000000,9093
EFT,19464,93597.000000,9391.940430,182804736.000000,817137.000000,18075.287109,351817376.000000,1761792.000000,3870200.000000,347395968.000000,206736.000000,1968528.000000,10.013803,9.256794,107.819145,76.639999,0,695,10.013803,0.000000,0.000000,9.256794,0.000000,0.000000,9076
EFT CONSERVATIVE BF MODE 2,19464,93597.000000,9423.214844,183413456.000000,817137.000000,18106.041016,352415968.000000,1764480.000000,3870200.000000,347362432.000000,194877.000000,1959357.000000,10.020153,9.277087,108.962364,75.456665,0,691,10.020153,0.000000,0.000000,9.277087,0.000000,0.000000,9057
SCORE,19464,93928.000000,10484.755859,204075280.000000,817468.000000,19167.138672,373069184.000000,1731584.000000,3870531.000000,347350976.000000,217694.000000,1949278.000000,11.339255,10.461676,138.279572,86.013336,0,1051,11.339255,0.000000,0.000000,10.461676,0.000000,0.000000,9573
SCORE CONSERVATIVE BF MODE 2,19464,94206.000000,11134.348633,216718960.000000,817746.000000,19817.435547,385726560.000000,1743872.000000,3870809.000000,347405952.000000,219747.000000,1963619.000000,12.184454,11.294984,139.967743,89.750000,0,1365,12.184454,0.000000,0.000000,11.294984,0.000000,0.000000,9521
OPPORTUNISTIC-SCORE MIX,19464,93479.000000,10031.687500,195256768.000000,817019.000000,18715.441406,364277344.000000,1759424.000000,3870082.000000,347393216.000000,217182.000000,1976606.000000,10.859167,10.023272,127.193550,79.776665,0,746,10.859167,0.000000,0.000000,10.023272,0.000000,0.000000,9168
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,19464,93479.000000,9910.311523,192894304.000000,817019.000000,18593.751953,361908800.000000,1757184.000000,3870082.000000,347385344.000000,213063.000000,1970247.000000,10.661427,9.847277,124.887100,78.256668,0,741,10.661427,0.000000,0.000000,9.847277,0.000000,0.000000,9142
EFT-SCORE MIX,19464,94027.000000,10064.784180,195900960.000000,817567.000000,18747.232422,364896128.000000,1737792.000000,3870630.000000,347341888.000000,211856.000000,1949648.000000,10.812863,9.972427,129.715057,82.059998,0,720,10.812863,0.000000,0.000000,9.972427,0.000000,0.000000,9454
EFT-SCORE MIX CONSERVATIVE BF MODE 2,19464,94238.000000,11149.094727,217005984.000000,817778.000000,19832.001953,386010080.000000,1738304.000000,3870841.000000,347391552.000000,220864.000000,1959168.000000,12.122593,11.230828,140.930115,90.063332,0,1502,12.122593,0.000000,0.000000,11.230828,0.000000,0.000000,9583
