Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,29718,38809.000000,426.798126,12683587.000000,514875.000000,9204.740234,273546464.000000,2103680.000000,3181794.000000,521901344.000000,877820.000000,2981500.000000,1.094349,1.086547,34.559139,28.150286,0,26,1.094349,0.000000,0.000000,1.086547,0.000000,0.000000,14551
FCFS CONSERVATIVE BF MODE 2,29718,38657.000000,448.593903,13331314.000000,514875.000000,9226.284180,274186720.000000,2098240.000000,3181794.000000,521913952.000000,876553.000000,2974793.000000,1.099420,1.091398,35.833332,28.050570,0,26,1.099420,0.000000,0.000000,1.091398,0.000000,0.000000,14630
EFT,29718,41144.000000,317.113068,9423966.000000,514875.000000,9095.347656,270295552.000000,2075200.000000,3181794.000000,522108000.000000,915899.000000,2991099.000000,1.076572,1.069541,29.920227,29.920227,0,27,1.076572,0.000000,0.000000,1.069541,0.000000,0.000000,15172
EFT CONSERVATIVE BF MODE 2,29718,40958.000000,246.395859,7322392.000000,514875.000000,9024.310547,268184464.000000,2086336.000000,3181794.000000,522098016.000000,893900.000000,2980236.000000,1.063913,1.057378,29.750000,29.750000,0,27,1.063913,0.000000,0.000000,1.057378,0.000000,0.000000,15030
SCORE,29718,39905.000000,263.986176,7845141.000000,514875.000000,9037.869141,268587392.000000,1985472.000000,3181794.000000,521604704.000000,875850.000000,2861322.000000,1.066953,1.060433,28.932337,28.932337,0,27,1.066953,0.000000,0.000000,1.060433,0.000000,0.000000,15949
SCORE CONSERVATIVE BF MODE 2,29718,39551.000000,184.027832,5468939.000000,514875.000000,8958.563477,266230576.000000,1992320.000000,3181794.000000,521774816.000000,888279.000000,2880599.000000,1.051946,1.046148,28.714388,28.714388,0,27,1.051946,0.000000,0.000000,1.046148,0.000000,0.000000,15872
OPPORTUNISTIC-SCORE MIX,29718,41050.000000,312.471405,9286025.000000,514875.000000,9090.511719,270151840.000000,2085440.000000,3181794.000000,522124960.000000,899685.000000,2985125.000000,1.076234,1.069228,29.745726,29.745726,0,27,1.076234,0.000000,0.000000,1.069228,0.000000,0.000000,15099
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,29718,40132.000000,263.190918,7821508.000000,514875.000000,9041.223633,268687072.000000,2080448.000000,3181794.000000,522169632.000000,903633.000000,2984081.000000,1.065465,1.058957,29.094017,29.094017,0,27,1.065465,0.000000,0.000000,1.058957,0.000000,0.000000,15133
EFT-SCORE MIX,29718,39905.000000,263.856201,7841279.000000,514875.000000,9037.742188,268583616.000000,1985664.000000,3181794.000000,521604448.000000,875609.000000,2861273.000000,1.066938,1.060418,28.932337,28.932337,0,27,1.066938,0.000000,0.000000,1.060418,0.000000,0.000000,15946
EFT-SCORE MIX CONSERVATIVE BF MODE 2,29718,39551.000000,183.692307,5458968.000000,514875.000000,8958.265625,266221744.000000,1993024.000000,3181794.000000,521775232.000000,888611.000000,2881635.000000,1.051889,1.046092,28.714388,28.714388,0,27,1.051889,0.000000,0.000000,1.046092,0.000000,0.000000,15856
