Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs,8548,12410.000000,1413.446655,12082142.000000,604800.000000,10434.719727,89195984.000000,3223890.000000,2397887.000000,811905152.000000,308853.000000,3532743.000000,1.835062,1.761320,35.820652,22.083334,0,0,1.822564,0.009619,0.002878,1.748822,0.009619,0.002878
Fcfs_with_a_score_x1_x0_x0_x0,8548,13022.000000,1398.797363,11956920.000000,604800.000000,10417.113281,89045488.000000,3197980.000000,2397887.000000,811448832.000000,309460.000000,3507440.000000,1.816490,1.744060,34.118919,21.040001,0,0,1.803919,0.009691,0.002880,1.731489,0.009691,0.002880
Fcfs_with_a_score_mixed_strategy_x1_x1_x1_x0,8548,11940.000000,1373.789551,11743153.000000,604800.000000,10392.845703,88838048.000000,3168810.000000,2397887.000000,812148992.000000,344932.000000,3513742.000000,1.810481,1.737490,34.576088,21.206667,0,0,1.797986,0.009614,0.002881,1.724995,0.009614,0.002881
Fcfs_with_a_score_mixed_strategy_x486_x1_x0_x0,8548,12571.000000,1327.434204,11346908.000000,604800.000000,10343.015625,88412096.000000,3156030.000000,2397887.000000,811549824.000000,328017.000000,3484047.000000,1.751148,1.689444,27.015707,17.556667,0,0,1.738648,0.009620,0.002879,1.676945,0.009620,0.002879
Fcfs_with_a_score_mixed_strategy_x486_x50_x0_x0,8548,13071.000000,1341.697266,11468828.000000,604800.000000,10354.833984,88513120.000000,3146610.000000,2397887.000000,811066240.000000,316610.000000,3463220.000000,1.752433,1.690586,27.183247,17.306667,0,0,1.739877,0.009695,0.002861,1.678030,0.009695,0.002861
Fcfs_with_a_score_mixed_strategy_x500_x1_x0_x0,8548,12586.000000,1277.968750,10924077.000000,604800.000000,10293.076172,87985216.000000,3148630.000000,2397887.000000,811450752.000000,331166.000000,3479796.000000,1.705408,1.645745,24.178011,15.393333,0,0,1.692896,0.009626,0.002886,1.633234,0.009626,0.002886
Fcfs_with_a_score_mixed_strategy_x500_x50_x0_x0,8548,12995.000000,1317.217163,11259572.000000,604800.000000,10332.643555,88323440.000000,3163210.000000,2397887.000000,811386880.000000,319446.000000,3482656.000000,1.731412,1.671416,27.083769,17.243334,0,0,1.718834,0.009694,0.002885,1.658838,0.009694,0.002885
Fcfs_with_a_score_adaptative_multiplier_x1_x0_x0_x0,8548,120225.000000,2340.366455,20005452.000000,604800.000000,11233.520508,96024136.000000,2144900.000000,2397887.000000,800121024.000000,272703.000000,2417603.000000,1.896247,1.821232,40.016296,40.016296,0,108,1.882241,0.011081,0.002926,1.807225,0.011081,0.002926
Fcfs_with_a_score_adaptative_multiplier_x1_x1_x0_x0,8548,131006.000000,2339.058350,19994270.000000,604800.000000,11232.442383,96014920.000000,2149040.000000,2397887.000000,800177984.000000,269000.000000,2418040.000000,1.872194,1.799289,22.603260,20.168255,0,105,1.858192,0.011084,0.002918,1.785288,0.011084,0.002918
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x0_x0_x0,8548,13022.000000,1398.797363,11956920.000000,604800.000000,10417.113281,89045488.000000,3197980.000000,2397887.000000,811448832.000000,309460.000000,3507440.000000,1.816490,1.744060,34.118919,21.040001,0,0,1.803919,0.009691,0.002880,1.731489,0.009691,0.002880
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x1_x0_x0,8548,12430.000000,1387.709839,11862144.000000,604800.000000,10408.933594,88975568.000000,3215980.000000,2397887.000000,811982848.000000,316517.000000,3532497.000000,1.815154,1.743223,32.891304,20.173334,0,0,1.802675,0.009604,0.002875,1.730744,0.009604,0.002875
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x1_x1_x0,8548,11942.000000,1358.998901,11616723.000000,604800.000000,10380.048828,88728656.000000,3211430.000000,2397887.000000,812161536.000000,319401.000000,3530831.000000,1.799179,1.726993,34.172974,21.073334,0,0,1.786717,0.009589,0.002874,1.714531,0.009589,0.002874
Mix_score_nb_running_jobs,8548,25411.000000,989.512268,8458351.000000,604800.000000,9928.111328,84865496.000000,2490860.000000,2397887.000000,801325376.000000,333646.000000,2824506.000000,1.438144,1.384826,9.821622,8.407446,0,4,1.425943,0.009384,0.002817,1.372625,0.009384,0.002817
Flow_adaptation_heft_locality,8548,58899.000000,3493.684570,29864016.000000,604800.000000,12472.553711,106615392.000000,2868420.000000,2397887.000000,806136512.000000,301706.000000,3170126.000000,2.664231,2.616106,42.682945,42.682945,0,377,2.651525,0.010009,0.002698,2.603399,0.010009,0.002698
Flow_adaptation_heft_score,8548,12681.000000,1401.052734,11976199.000000,604800.000000,10419.493164,89065824.000000,3195140.000000,2397887.000000,811491712.000000,313449.000000,3508589.000000,1.817148,1.744950,33.972828,20.836666,0,0,1.804605,0.009661,0.002882,1.732406,0.009661,0.002882
Fcfs_with_a_score_adaptative_multiplier_if_EAT_is_t_x500_x1_x0_x0,8548,12458.000000,1300.562622,11117209.000000,604800.000000,10321.384766,88227200.000000,3219620.000000,2397887.000000,811977344.000000,309156.000000,3528776.000000,1.729639,1.669758,31.010811,19.123333,0,0,1.717147,0.009622,0.002870,1.657266,0.009622,0.002870
Mixed_strategy_if_EAT_is_t,8548,12620.000000,1099.588867,9399286.000000,604800.000000,10119.199219,86498912.000000,3210680.000000,2397887.000000,811700480.000000,307686.000000,3518366.000000,1.556494,1.508080,18.544502,11.806666,0,0,1.543980,0.009688,0.002826,1.495566,0.009688,0.002826
