Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
FCFS,8693,8377.000000,434.074646,3773411.000000,611529.000000,7047.510742,61264012.000000,1429560.000000,6654355.000000,445456672.000000,537968.000000,1967528.000000,1.627306,1.610570,9.971831,9.603333,0,0,1.610316,0.006739,0.010251,1.593581,0.006739,0.010251
HEFT,8693,9715.000000,442.003448,3842336.000000,612924.000000,7055.416992,61332740.000000,1417510.000000,6655750.000000,445450464.000000,549746.000000,1967256.000000,1.634670,1.616503,11.800000,9.927153,0,0,1.617476,0.006930,0.010263,1.599310,0.006930,0.010263
SCORE_500_1,8693,14636.000000,504.639252,4386829.000000,610712.000000,7097.093750,61695036.000000,1286350.000000,6653538.000000,444223904.000000,498826.000000,1785176.000000,1.684511,1.664580,13.691099,10.872527,0,0,1.665840,0.007936,0.010735,1.645908,0.007936,0.010735
SCORE_500_50,8693,15087.000000,512.276917,4453223.000000,610712.000000,7103.692383,61752396.000000,1281800.000000,6653538.000000,444193568.000000,494266.000000,1776066.000000,1.693302,1.673392,13.753926,9.550000,0,0,1.674785,0.007705,0.010812,1.654875,0.007705,0.010812
