Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs_no_use_bigger_nodes,16755,62219.000000,765.230957,12821445.000000,864000.000000,4655.703125,78006304.000000,0.000000,4486409.000000,638452608.000000,0.000000,0.000000,1.548151,1.352292,58.275864,58.275864,0,161,1.189745,0.097007,0.261398,0.999294,0.091603,0.261398
Fcfs,16755,72863.000000,820.435303,13746394.000000,864000.000000,4710.912598,78931344.000000,0.000000,4486409.000000,638452864.000000,0.000000,0.000000,1.363776,1.275928,77.221001,77.221001,485,166,0.863298,0.101790,0.398686,0.781432,0.095811,0.398686
Fcfs_backfill_big_nodes_0,16755,72863.000000,809.270935,13559335.000000,864000.000000,4699.752441,78744352.000000,0.000000,4486409.000000,638452736.000000,0.000000,0.000000,1.345045,1.261677,77.221001,77.221001,683,166,0.844015,0.102343,0.398686,0.766545,0.096449,0.398686
Fcfs_backfill_big_nodes_1,16755,72863.000000,2780.279785,46583588.000000,864877.000000,6670.769043,111768736.000000,0.000000,4487286.000000,638452224.000000,0.000000,0.000000,6.484287,5.303380,179.456985,111.263336,696,187,5.805585,0.280005,0.398686,4.630369,0.274324,0.398686
Fcfs_area_filling_omniscient,16755,62219.000000,644.579773,10799934.000000,864000.000000,4535.054199,75984832.000000,0.000000,4486409.000000,638452864.000000,0.000000,0.000000,1.224628,1.138799,58.275864,58.275864,468,161,0.859661,0.103567,0.261398,0.779920,0.097483,0.261398
Fcfs_area_filling_omniscient_with_ratio,16755,62219.000000,644.579773,10799934.000000,864000.000000,4535.054199,75984832.000000,0.000000,4486409.000000,638452864.000000,0.000000,0.000000,1.224628,1.138799,58.275864,58.275864,468,161,0.859661,0.103567,0.261398,0.779920,0.097483,0.261398
