Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,30798,370.000000,0.616176,18977.000000,691200.000000,1317.584106,40578956.000000,1579647.000000,2334369.000000,214581136.000000,1581190.000000,3160837.000000,0.976221,0.727026,1.177683,1.177683,0,0,0.975314,0.000704,0.000202,0.726120,0.000704,0.000202,22451
FCFS CONSERVATIVE BF MODE 2,30798,296.000000,0.495617,15264.000000,691200.000000,1317.305664,40570380.000000,1583487.000000,2334369.000000,214579344.000000,1572393.000000,3155880.000000,0.975239,0.726402,1.167733,1.167733,0,0,0.974333,0.000704,0.000202,0.725495,0.000704,0.000202,22363
EFT,30798,389.000000,0.634781,19550.000000,691200.000000,1317.149536,40565572.000000,1563583.000000,2334369.000000,214569008.000000,1583292.000000,3146875.000000,0.973754,0.725406,1.200426,1.200426,0,0,0.972848,0.000704,0.000202,0.724500,0.000704,0.000202,22689
EFT CONSERVATIVE BF MODE 2,30798,289.000000,0.387038,11920.000000,691200.000000,1316.850830,40556372.000000,1551807.000000,2334369.000000,214563152.000000,1593368.000000,3145175.000000,0.973659,0.725320,1.151989,1.151989,0,0,0.972753,0.000704,0.000202,0.724413,0.000704,0.000202,22715
SCORE,30798,453600.000000,1379.319214,42480272.000000,691200.000000,2647.836426,81548064.000000,793023.000000,2334369.000000,206794832.000000,813707.000000,1606730.000000,1.495044,1.097664,15.445026,15.445026,0,228,1.494040,0.000789,0.000216,1.096660,0.000789,0.000216,26834
SCORE CONSERVATIVE BF MODE 2,30798,453600.000000,1494.594482,46030520.000000,691200.000000,2763.909424,85122880.000000,804543.000000,2334369.000000,206814320.000000,827748.000000,1632291.000000,1.476713,1.088665,23.698954,23.698954,0,243,1.475709,0.000789,0.000216,1.087661,0.000789,0.000216,26705
EFT-SCORE MIX,30798,521.000000,0.988798,30453.000000,691200.000000,1317.429321,40574188.000000,1560127.000000,2334369.000000,214566608.000000,1584473.000000,3144600.000000,0.974212,0.725847,1.671384,1.671384,0,0,0.973306,0.000704,0.000202,0.724940,0.000704,0.000202,22711
EFT-SCORE MIX CONSERVATIVE BF MODE 2,30798,315.000000,0.515553,15878.000000,691200.000000,1316.995605,40560832.000000,1551487.000000,2334369.000000,214563904.000000,1594161.000000,3145648.000000,0.973879,0.725539,1.279035,1.279035,0,0,0.972972,0.000704,0.000202,0.724633,0.000704,0.000202,22711
OPPORTUNISTIC-SCORE MIX,30798,437.000000,0.720339,22185.000000,691200.000000,1317.187744,40566748.000000,1542207.000000,2334369.000000,214566096.000000,1603141.000000,3145348.000000,0.973683,0.725399,1.187500,1.185501,0,0,0.972776,0.000704,0.000202,0.724492,0.000704,0.000202,22827
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,30798,437.000000,0.720339,22185.000000,691200.000000,1317.187744,40566748.000000,1542207.000000,2334369.000000,214566096.000000,1603141.000000,3145348.000000,0.973683,0.725399,1.187500,1.185501,0,0,0.972776,0.000704,0.000202,0.724492,0.000704,0.000202,22827
EFT-SCORE MIX V2,30798,27112.000000,535.936951,16505786.000000,691200.000000,1829.485840,56344504.000000,1254847.000000,2334369.000000,211519456.000000,1139061.000000,2393908.000000,1.397708,1.066699,26.373697,26.373697,0,19,1.396717,0.000789,0.000202,1.065708,0.000789,0.000202,24076
EFT-SCORE MIX CONSERVATIVE BF MODE 2 V2,30798,27184.000000,525.280823,16177599.000000,691200.000000,1818.567017,56008228.000000,1259327.000000,2334369.000000,211496144.000000,1127166.000000,2386493.000000,1.394381,1.061323,26.373697,26.373697,0,19,1.393390,0.000789,0.000202,1.060332,0.000789,0.000202,24065
EFT-SCORE MIX CONSERVATIVE BF MODE 0 V2,30798,26908.000000,492.575684,15170346.000000,691200.000000,1786.228516,55012264.000000,1272447.000000,2334369.000000,211544064.000000,1127346.000000,2399793.000000,1.368912,1.043585,26.373697,26.373697,0,17,1.367922,0.000789,0.000202,1.042595,0.000789,0.000202,24011

