Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,26428,38980.000000,7688.659668,203195904.000000,648000.000000,13807.632812,364908128.000000,8970304.000000,3135481.000000,575442432.000000,502781.000000,9473085.000000,5.271197,5.213664,113.091400,70.116669,0,3084,5.271197,0.000000,0.000000,5.213664,0.000000,0.000000,10038
FCFS CONSERVATIVE BF MODE 2,26428,39188.000000,7729.064453,204263712.000000,648000.000000,13847.409180,365959328.000000,8948416.000000,3135481.000000,575038848.000000,509760.000000,9458176.000000,5.304581,5.247083,113.521507,70.383331,0,3102,5.304581,0.000000,0.000000,5.247083,0.000000,0.000000,10109
EFT,26428,39162.000000,7717.178223,203949584.000000,648000.000000,13834.997070,365631296.000000,8923008.000000,3135481.000000,575023360.000000,521251.000000,9444259.000000,5.299831,5.242406,114.032257,70.699997,0,3100,5.299831,0.000000,0.000000,5.242406,0.000000,0.000000,10415
EFT CONSERVATIVE BF MODE 2,26428,40200.000000,7818.940430,206638960.000000,648000.000000,13934.727539,368266976.000000,8861888.000000,3135481.000000,573798784.000000,527242.000000,9389130.000000,5.369616,5.312212,113.639786,70.456665,0,3165,5.369616,0.000000,0.000000,5.312212,0.000000,0.000000,10442
SCORE,26428,39514.000000,7810.870117,206425680.000000,648000.000000,13926.252930,368043008.000000,8875712.000000,3135481.000000,574037376.000000,504128.000000,9379840.000000,5.331565,5.273490,113.639786,70.456665,0,3113,5.331565,0.000000,0.000000,5.273490,0.000000,0.000000,10421
SCORE CONSERVATIVE BF MODE 2,26428,39195.000000,7730.634766,204305216.000000,648000.000000,13846.990234,365948256.000000,8893056.000000,3135481.000000,574669056.000000,512122.000000,9405178.000000,5.308360,5.250495,114.220428,70.816666,0,3098,5.308360,0.000000,0.000000,5.250495,0.000000,0.000000,10639
OPPORTUNISTIC-SCORE MIX,26428,39957.000000,7836.959961,207115184.000000,648000.000000,13953.246094,368756384.000000,8884160.000000,3135481.000000,574059136.000000,519063.000000,9403223.000000,5.353882,5.296210,113.306450,70.250000,0,3142,5.353882,0.000000,0.000000,5.296210,0.000000,0.000000,10293
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,26428,39161.000000,7715.806641,203913344.000000,648000.000000,13833.374023,365588416.000000,8907328.000000,3135481.000000,574795008.000000,528190.000000,9435518.000000,5.298270,5.240877,113.177422,70.169998,0,3094,5.298270,0.000000,0.000000,5.240877,0.000000,0.000000,10451
EFT-SCORE MIX,26428,39339.000000,7807.234375,206329584.000000,648000.000000,13923.718750,367976032.000000,8887616.000000,3135481.000000,574456704.000000,521245.000000,9408861.000000,5.329097,5.271362,113.639786,70.456665,0,3109,5.329097,0.000000,0.000000,5.271362,0.000000,0.000000,10489
EFT-SCORE MIX CONSERVATIVE BF MODE 2,26428,39216.000000,7734.390625,204404480.000000,648000.000000,13851.761719,366074368.000000,8912960.000000,3135481.000000,574918016.000000,519913.000000,9432873.000000,5.311281,5.253684,114.220428,70.816666,0,3100,5.311281,0.000000,0.000000,5.253684,0.000000,0.000000,10508
