Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs,12890,22114.000000,1705.082642,21978516.000000,510170.000000,12042.434570,155226976.000000,3416630.000000,3543599.000000,962708032.000000,784037.000000,4200667.000000,1.792021,1.723876,44.761658,33.718086,0,0,1.764903,0.026002,0.001114,1.696759,0.026002,0.001114
Fcfs_with_a_score_x1_x0_x0_x0,12890,21665.000000,1733.768921,22348282.000000,510170.000000,12068.947266,155568736.000000,3389450.000000,3543599.000000,962553792.000000,782853.000000,4172303.000000,1.820040,1.748645,56.682541,37.893333,0,0,1.793291,0.025636,0.001114,1.721895,0.025636,0.001114
Fcfs_with_a_score_mixed_strategy_x1_x1_x1_x0,12890,16372.000000,2015.982910,25986020.000000,510170.000000,12338.892578,159048320.000000,3297350.000000,3543599.000000,961983680.000000,716688.000000,4014038.000000,2.123258,2.046337,56.365078,37.680000,0,0,2.099654,0.022352,0.001252,2.022734,0.022352,0.001252
Fcfs_with_a_score_mixed_strategy_x486_x1_x0_x0,12890,18780.000000,1716.597168,22126938.000000,510170.000000,12043.141602,155236096.000000,3270720.000000,3543599.000000,961875136.000000,790531.000000,4061251.000000,1.807969,1.744534,55.798943,36.756668,0,0,1.784589,0.022270,0.001110,1.721154,0.022270,0.001110
Fcfs_with_a_score_mixed_strategy_x486_x50_x0_x0,12890,22350.000000,1767.945435,22788816.000000,510170.000000,12099.332031,155960384.000000,3335130.000000,3543599.000000,962196672.000000,788838.000000,4123968.000000,1.833690,1.767324,55.708996,35.806667,0,0,1.807911,0.024665,0.001114,1.741544,0.024665,0.001114
Fcfs_with_a_score_mixed_strategy_x500_x1_x0_x0,12890,21261.000000,1673.675659,21573680.000000,510170.000000,12005.663086,154752992.000000,3330680.000000,3543599.000000,962235328.000000,801044.000000,4131724.000000,1.757365,1.692390,55.952381,36.686668,0,0,1.732326,0.023926,0.001113,1.667351,0.023926,0.001113
Fcfs_with_a_score_mixed_strategy_x500_x50_x0_x0,12890,22458.000000,1746.728638,22515332.000000,510170.000000,12077.380859,155677440.000000,3326320.000000,3543599.000000,962206784.000000,787590.000000,4113910.000000,1.802237,1.737242,55.746033,35.119999,0,0,1.776629,0.024491,0.001115,1.711636,0.024491,0.001115
Fcfs_with_a_score_adaptative_multiplier_x1_x0_x0_x0,12890,332334.000000,5784.653320,74564184.000000,659632.000000,15942.288086,205496096.000000,1382440.000000,3645294.000000,931805504.000000,478720.000000,1861160.000000,2.974240,2.938887,121.943092,121.943092,0,761,2.936379,0.035028,0.002832,2.901027,0.035028,0.002832
Fcfs_with_a_score_adaptative_multiplier_x1_x1_x0_x0,12890,332334.000000,5754.885254,74180472.000000,659632.000000,15912.952148,205117952.000000,1382750.000000,3645294.000000,931837888.000000,484572.000000,1867322.000000,2.900709,2.861320,121.943092,121.943092,0,771,2.862815,0.035084,0.002811,2.823423,0.035084,0.002811
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x0_x0_x0,12890,20672.000000,1756.104858,22636192.000000,510170.000000,12090.935547,155852160.000000,3402540.000000,3543599.000000,962537664.000000,765366.000000,4167906.000000,1.845632,1.773948,56.513229,37.860001,0,0,1.819523,0.024996,0.001114,1.747838,0.024996,0.001114
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x1_x0_x0,12890,21814.000000,1730.912964,22311468.000000,510170.000000,12066.450195,155536544.000000,3390720.000000,3543599.000000,962590656.000000,786301.000000,4177021.000000,1.817036,1.745173,56.677250,37.923332,0,0,1.790282,0.025638,0.001114,1.718421,0.025638,0.001114
