Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs_no_use_bigger_nodes,13419,32540.000000,476.990906,6400741.000000,751494.000000,14511.356445,194727888.000000,3327540.000000,1882401.000000,1519869952.000000,962612.000000,4290152.000000,1.297441,1.283707,15.794504,15.794504,0,38,1.236267,0.041465,0.019701,1.222762,0.041243,0.019701
Fcfs,13419,29774.000000,314.056335,4214322.000000,751494.000000,14353.080078,192603984.000000,3349470.000000,1882401.000000,1520364672.000000,1003638.000000,4353108.000000,1.139696,1.125952,14.376942,14.376942,382,36,1.079315,0.041465,0.018923,1.065789,0.041243,0.018923
Fcfs_backfill_big_nodes_0,13419,29774.000000,314.056335,4214322.000000,751494.000000,14353.080078,192603984.000000,3349470.000000,1882401.000000,1520364672.000000,1003638.000000,4353108.000000,1.139696,1.125952,14.376942,14.376942,382,36,1.079315,0.041465,0.018923,1.065789,0.041243,0.018923
Fcfs_area_filling_with_ratio,13419,32540.000000,321.887238,4319405.000000,751494.000000,14359.964844,192696368.000000,3348970.000000,1882401.000000,1520140160.000000,991313.000000,4340283.000000,1.141184,1.127465,15.794504,15.794504,810,38,1.080008,0.041482,0.019701,1.066507,0.041260,0.019701
Fcfs_with_a_score_x1_x0_x0_x0,13419,29774.000000,313.872131,4211850.000000,751494.000000,14352.656250,192598288.000000,3343160.000000,1882401.000000,1520350464.000000,1006119.000000,4349279.000000,1.139299,1.125595,14.298686,14.298686,366,36,1.078924,0.041467,0.018915,1.065438,0.041245,0.018915
Fcfs_with_a_score_x500_x500_x0_x0,13419,434700.000000,4995.689941,67037164.000000,751494.000000,18862.589844,253117104.000000,1312770.000000,1882401.000000,1488338304.000000,504506.000000,1817276.000000,3.017844,2.993908,72.989189,63.105961,0,518,2.819028,0.180445,0.018373,2.795355,0.180186,0.018373
Fcfs_area_filling_omniscient_with_a_score_x500_x500_x0_x0,13419,434700.000000,4995.689941,67037164.000000,751494.000000,18862.589844,253117104.000000,1312770.000000,1882401.000000,1488338304.000000,504506.000000,1817276.000000,3.017844,2.993908,72.989189,63.105961,0,518,2.819028,0.180445,0.018373,2.795355,0.180186,0.018373
Fcfs_area_filling_with_ratio_with_a_score_x500_x500_x0_x0,13419,434700.000000,4995.689941,67037164.000000,751494.000000,18862.589844,253117104.000000,1312770.000000,1882401.000000,1488338304.000000,504506.000000,1817276.000000,3.017844,2.993908,72.989189,63.105961,0,518,2.819028,0.180445,0.018373,2.795355,0.180186,0.018373
Fcfs_with_a_score_area_factor_x500_x500_x0_x500,13419,434700.000000,4995.689941,67037164.000000,751494.000000,18862.589844,253117104.000000,1312770.000000,1882401.000000,1488338304.000000,504506.000000,1817276.000000,3.017844,2.993908,72.989189,63.105961,0,518,2.819028,0.180445,0.018373,2.795355,0.180186,0.018373
Fcfs_with_a_score_area_factor_x500_x500_x0_x1000,13419,434700.000000,4995.689941,67037164.000000,751494.000000,18862.589844,253117104.000000,1312770.000000,1882401.000000,1488338304.000000,504506.000000,1817276.000000,3.017844,2.993908,72.989189,63.105961,0,518,2.819028,0.180445,0.018373,2.795355,0.180186,0.018373
Fcfs_with_a_score_backfill_big_nodes_gain_loss_tradeoff_x500_x500_x0_x0,13419,434700.000000,4995.689941,67037164.000000,751494.000000,18862.589844,253117104.000000,1312770.000000,1882401.000000,1488338304.000000,504506.000000,1817276.000000,3.017844,2.993908,72.989189,63.105961,0,518,2.819028,0.180445,0.018373,2.795355,0.180186,0.018373
