Job_unique_id, Job_shared_id, User_id, Selected_endpoint, Credit_lost, New_credit, Job_end_time
30, 23, 2, 1, 0.000294, 994.768848, 63.164677
31, 23, 3, 1, 0.000294, 994.542765, 63.168730
0, 24, 0, 2, 0.889830, 996.247373, 109.659601
1, 24, 1, 2, 0.996811, 995.288955, 120.874958
2, 24, 2, 1, 0.953236, 993.815612, 80.055284
3, 24, 3, 1, 0.953236, 993.589529, 96.941838
4, 25, 0, 1, 0.002486, 996.244887, 96.995795
5, 25, 1, 2, 0.002546, 995.286410, 120.918609
6, 25, 2, 0, 0.003434, 993.812178, 1.010284
7, 25, 3, 3, 0.006404, 993.583124, 69.638263
8, 26, 0, 2, 0.015681, 996.229206, 121.178140
9, 26, 1, 2, 0.015681, 995.270729, 121.437671
10, 26, 2, 3, 0.045591, 993.766587, 70.157654
11, 26, 3, 3, 0.045591, 993.537533, 70.677045
12, 27, 0, 2, 0.001493, 996.227713, 121.463726
13, 27, 1, 2, 0.001493, 995.269236, 121.489781
14, 27, 2, 3, 0.011672, 993.754915, 70.810765
15, 27, 3, 2, 0.001493, 993.536040, 121.515837
16, 28, 0, 3, 0.011908, 996.215805, 70.948458
17, 28, 1, 2, 0.188647, 995.080588, 124.810104
18, 28, 2, 3, 0.011908, 993.743007, 71.086151
19, 28, 3, 1, 1.162331, 992.373710, 122.512209
20, 29, 0, 2, 0.002156, 996.213649, 124.847717
21, 29, 1, 2, 0.002156, 995.078433, 124.885330
22, 29, 2, 3, 0.009122, 993.733885, 71.191323
23, 29, 3, 3, 0.009122, 992.364587, 71.296496
24, 30, 0, 2, 0.030417, 996.183232, 125.418125
25, 30, 1, 2, 0.030417, 995.048015, 125.950920
26, 30, 2, 3, 0.067142, 993.666743, 72.059468
27, 30, 3, 3, 0.067142, 992.297445, 72.822440
28, 31, 0, 1, 0.000294, 996.182938, 122.516262
29, 31, 1, 2, 0.000327, 995.047688, 125.956596
30, 31, 2, 3, 0.002250, 993.664492, 72.848222
31, 31, 3, 3, 0.002250, 992.295195, 72.874005
0, 32, 0, 2, 0.889830, 995.293108, 137.171953
1, 32, 1, 2, 0.996811, 994.050877, 148.387310
2, 32, 2, 3, 1.498213, 992.166280, 89.135655
3, 32, 3, 1, 0.953236, 991.341959, 139.402816
4, 33, 0, 1, 0.002486, 995.290621, 139.456773
5, 33, 1, 2, 0.002546, 994.048332, 148.430961
6, 33, 2, 0, 0.003434, 992.162846, 1.347045
7, 33, 3, 2, 0.002546, 991.339413, 148.474612
8, 34, 0, 2, 0.015681, 995.274940, 148.734143
9, 34, 1, 2, 0.015681, 994.032651, 148.993674
10, 34, 2, 3, 0.045591, 992.117255, 89.655046
11, 34, 3, 3, 0.045591, 991.293822, 90.174437
12, 35, 0, 2, 0.001493, 995.273447, 149.019729
13, 35, 1, 2, 0.001493, 994.031158, 149.045785
14, 35, 2, 3, 0.011672, 992.105583, 90.308157
15, 35, 3, 1, 0.002085, 991.291737, 139.501858
16, 36, 0, 3, 0.011908, 995.261539, 90.445850
17, 36, 1, 2, 0.188647, 993.842510, 152.340052
18, 36, 2, 3, 0.011908, 992.093675, 90.583543
19, 36, 3, 3, 0.011908, 991.279829, 90.721236
20, 37, 0, 2, 0.002156, 995.259384, 152.377665
21, 37, 1, 2, 0.002156, 993.840355, 152.415278
22, 37, 2, 3, 0.009122, 992.084553, 90.826409
23, 37, 3, 2, 0.002156, 991.277674, 152.452891
24, 38, 0, 2, 0.030417, 995.228967, 152.985686
25, 38, 1, 2, 0.030417, 993.809937, 153.518481
26, 38, 2, 3, 0.067142, 992.017411, 91.589381
27, 38, 3, 3, 0.067142, 991.210532, 92.352352
28, 39, 0, 1, 0.000294, 995.228673, 139.505911
29, 39, 1, 2, 0.000327, 993.809610, 153.524158
30, 39, 2, 3, 0.002250, 992.015161, 92.378135
31, 39, 3, 1, 0.000294, 991.210238, 139.509964
0, 40, 0, 2, 0.889830, 994.338842, 164.739514
