Job_unique_id, Job_shared_id, User_id, Selected_endpoint, Credit_lost, New_credit, Job_end_time, Energy_used_watt_hours, Number_of_cores_hours_used, Queue_time, Mean_duration_on_machines, Number_of_cores_used
2520, 9, 6, 1, 744421.872971, 118652649.610344, 31428.482456, 8842.714472, 14.831481, 28758.815789, 5621.481433, 20
2520, 9, 7, 2, 1651187.304220, 117303817.624017, 23171.909351, 4290.936510, 10.684227, 21248.748551, 5621.481433, 20
2520, 9, 8, 3, 5069963.844909, 111982913.069240, 28244.731904, 7143.327860, 12.902205, 25922.334987, 5621.481433, 20
1437, 9, 0, 0, 204613.645943, 118722656.401226, 154673.096621, 9245.180526, 1812.814303, 108057.871681, 16172.344038, 140
1437, 9, 1, 2, 618677.068186, 116685140.555832, 28472.714705, 1644.053925, 206.142430, 23171.909351, 16172.344038, 140
1437, 9, 2, 3, 1506841.096636, 111401767.442045, 9636.316671, 2159.582222, 270.369006, 2683.970812, 16172.344038, 140
1437, 9, 3, 1, 444643.022387, 116766219.130452, 5821.000000, 5429.371111, 226.372222, 0.000000, 16172.344038, 140
1437, 9, 4, 3, 1506841.096636, 110476071.972604, 35197.077763, 2159.582222, 270.369006, 28244.731904, 16172.344038, 140
1437, 9, 5, 0, 204613.645943, 118718449.245119, 235991.676082, 9245.180526, 1812.814303, 189376.451141, 16172.344038, 140
1437, 9, 6, 1, 444643.022387, 118208006.587957, 37249.482456, 5429.371111, 226.372222, 31428.482456, 16172.344038, 140
1437, 9, 7, 2, 618677.068186, 116685140.555832, 28472.714705, 1644.053925, 206.142430, 23171.909351, 16172.344038, 140
1437, 9, 8, 3, 1506841.096636, 110476071.972604, 35197.077763, 2159.582222, 270.369006, 28244.731904, 16172.344038, 140
790, 9, 0, 0, 1020993.533687, 117701662.867539, 157261.198459, 47586.971361, 57.513374, 154673.096621, 976.530628, 80
790, 9, 1, 2, 3315718.777257, 113369421.778575, 28821.587550, 8811.091844, 7.752730, 28472.714705, 976.530628, 80
790, 9, 2, 0, 1020993.533687, 110380773.908357, 2588.101838, 47586.971361, 57.513374, 0.000000, 976.530628, 80
790, 9, 3, 2, 3315718.777257, 113450500.353195, 20222.903160, 8811.091844, 7.752730, 19874.030315, 976.530628, 80
790, 9, 4, 3, 7428744.147149, 103047327.825455, 35583.225592, 10837.510420, 8.581063, 35197.077763, 976.530628, 80
790, 9, 5, 0, 1020993.533687, 117697455.711432, 238579.777920, 47586.971361, 57.513374, 235991.676082, 976.530628, 80
790, 9, 6, 1, 1748010.499707, 116459996.088250, 37832.482456, 18429.956667, 12.955556, 37249.482456, 976.530628, 80
790, 9, 7, 2, 3315718.777257, 113369421.778575, 28821.587550, 8811.091844, 7.752730, 28472.714705, 976.530628, 80
790, 9, 8, 3, 7428744.147149, 103047327.825455, 35583.225592, 10837.510420, 8.581063, 35197.077763, 976.530628, 80
2130, 9, 0, 0, 39726.111152, 117661936.756386, 305676.767492, 1794.487297, 16490.618781, 157261.198459, 50247.685246, 400
2130, 9, 1, 2, 108600.746604, 113260821.031970, 44834.763439, 288.592374, 1779.241765, 28821.587550, 50247.685246, 400
2130, 9, 2, 1, 58807.454978, 110321966.453379, 22113.649123, 644.431301, 1603.037037, 7686.315789, 50247.685246, 400
2130, 9, 3, 1, 58807.454978, 113391692.898217, 20248.333333, 644.431301, 1603.037037, 5821.000000, 50247.685246, 400
2130, 9, 4, 3, 290760.563805, 102756567.261650, 57717.888321, 412.080376, 2459.406970, 35583.225592, 50247.685246, 400
2130, 9, 5, 0, 39726.111152, 117657729.600280, 386995.346953, 1794.487297, 16490.618781, 238579.777920, 50247.685246, 400
2130, 9, 6, 1, 58807.454978, 116401188.633271, 52259.815789, 644.431301, 1603.037037, 37832.482456, 50247.685246, 400
2130, 9, 7, 2, 108600.746604, 113260821.031970, 44834.763439, 288.592374, 1779.241765, 28821.587550, 50247.685246, 400
2130, 9, 8, 3, 290760.563805, 102756567.261650, 57717.888321, 412.080376, 2459.406970, 35583.225592, 50247.685246, 400
2919, 9, 0, 0, 385320.399911, 117276616.356476, 681704.539491, 17959.237575, 2089.043178, 305676.767492, 130678.728601, 20
2919, 9, 1, 2, 1262337.902593, 111998483.129377, 87749.880933, 3354.498962, 238.417319, 44834.763439, 130678.728601, 20
2919, 9, 2, 2, 1262337.902593, 109059628.550786, 53062.279017, 3354.498962, 238.417319, 10147.161523, 130678.728601, 20
2919, 9, 3, 3, 2803678.457439, 110588014.440778, 56263.178178, 4090.485114, 311.561166, 182.168304, 130678.728601, 20
2919, 9, 4, 3, 2803678.457439, 99952888.804212, 113798.898194, 4090.485114, 311.561166, 57717.888321, 130678.728601, 20
2919, 9, 5, 0, 385320.399911, 117272409.200369, 763023.118951, 17959.237575, 2089.043178, 386995.346953, 130678.728601, 20
2919, 9, 6, 1, 871197.324096, 115529991.309176, 99950.830827, 9463.529993, 264.950084, 52259.815789, 130678.728601, 20
2919, 9, 7, 2, 1262337.902593, 111998483.129377, 87749.880933, 3354.498962, 238.417319, 44834.763439, 130678.728601, 20
2919, 9, 8, 3, 2803678.457439, 99952888.804212, 113798.898194, 4090.485114, 311.561166, 57717.888321, 130678.728601, 20
1681, 9, 0, 0, 808290.737561, 116468325.618915, 695739.639278, 38117.334284, 623.782213, 681704.539491, 4971.795592, 160
1681, 9, 1, 2, 2401791.191204, 109596691.938173, 89417.105147, 6382.448029, 74.098854, 87749.880933, 4971.795592, 160
1681, 9, 2, 3, 5844749.277635, 103214879.273151, 11729.675037, 8564.227087, 93.038150, 9636.316671, 4971.795592, 160
1681, 9, 3, 2, 2401791.191204, 108186223.249574, 21890.127375, 6382.448029, 74.098854, 20222.903160, 4971.795592, 160
1681, 9, 4, 3, 5844749.277635, 94108139.526577, 115892.256561, 8564.227087, 93.038150, 113798.898194, 4971.795592, 160
1681, 9, 5, 0, 808290.737561, 116464118.462808, 777058.218738, 38117.334284, 623.782213, 763023.118951, 4971.795592, 160
1681, 9, 6, 1, 916428.186249, 114613563.122926, 102042.330827, 11310.988889, 92.955556, 99950.830827, 4971.795592, 160
1681, 9, 7, 2, 2401791.191204, 109596691.938173, 89417.105147, 6382.448029, 74.098854, 87749.880933, 4971.795592, 160
1681, 9, 8, 3, 5844749.277635, 94108139.526577, 115892.256561, 8564.227087, 93.038150, 113798.898194, 4971.795592, 160
2979, 9, 0, 0, 773633.868109, 115694691.750805, 1246891.952156, 33803.070995, 3061.957294, 695739.639278, 188742.335915, 20
2979, 9, 1, 2, 1625552.718497, 107971139.219676, 150374.278491, 4319.695144, 338.650963, 89417.105147, 188742.335915, 20
2979, 9, 2, 1, 938159.848759, 102276719.424392, 82774.832411, 11534.163374, 337.006574, 22113.649123, 188742.335915, 20
2979, 9, 3, 2, 1625552.718497, 106560670.531077, 82847.300719, 4319.695144, 338.650963, 21890.127375, 188742.335915, 20
2979, 9, 4, 3, 5772840.037488, 88335299.489089, 198090.930711, 8132.835078, 456.659301, 115892.256561, 188742.335915, 20
2979, 9, 5, 0, 773633.868109, 115690484.594698, 1328210.531617, 33803.070995, 3061.957294, 777058.218738, 188742.335915, 20
2979, 9, 6, 1, 938159.848759, 113675403.274167, 162703.514115, 11534.163374, 337.006574, 102042.330827, 188742.335915, 20
2979, 9, 7, 2, 1625552.718497, 107971139.219676, 150374.278491, 4319.695144, 338.650963, 89417.105147, 188742.335915, 20
2979, 9, 8, 3, 5772840.037488, 88335299.489089, 198090.930711, 8132.835078, 456.659301, 115892.256561, 188742.335915, 20
493, 9, 0, 0, 213253.891165, 115481437.859640, 1249412.715878, 8635.610365, 28.008486, 1246891.952156, 897.005165, 40
493, 9, 1, 2, 337748.042142, 107633391.177534, 150676.439416, 764.902326, 3.357344, 150374.278491, 897.005165, 40
493, 9, 2, 0, 213253.891165, 102063465.533227, 5108.865560, 8635.610365, 28.008486, 2588.101838, 897.005165, 40
493, 9, 3, 3, 1634746.214018, 104925924.317060, 56639.274190, 2217.487523, 4.178845, 56263.178178, 897.005165, 40
493, 9, 4, 3, 1634746.214018, 86700553.275071, 198467.026723, 2217.487523, 4.178845, 198090.930711, 897.005165, 40
493, 9, 5, 0, 213253.891165, 115477230.703534, 1330731.295338, 8635.610365, 28.008486, 1328210.531617, 897.005165, 40
493, 9, 6, 1, 265176.606403, 113410226.667764, 163092.514115, 2719.886149, 4.322222, 162703.514115, 897.005165, 40
493, 9, 7, 2, 337748.042142, 107633391.177534, 150676.439416, 764.902326, 3.357344, 150374.278491, 897.005165, 40
493, 9, 8, 3, 1634746.214018, 86700553.275071, 198467.026723, 2217.487523, 4.178845, 198090.930711, 897.005165, 40
1476, 9, 0, 0, 255674.483005, 115225763.376636, 1262416.244133, 11916.584221, 72.241824, 1249412.715878, 4556.810262, 20
1476, 9, 1, 2, 853323.937888, 106780067.239646, 152186.651700, 2267.597494, 8.390068, 150676.439416, 4556.810262, 20
1476, 9, 2, 3, 1860207.226445, 100203258.306781, 13669.175545, 2713.617503, 10.775003, 11729.675037, 4556.810262, 20
1476, 9, 3, 3, 1860207.226445, 103065717.090614, 58578.774698, 2713.617503, 10.775003, 56639.274190, 4556.810262, 20
1476, 9, 4, 3, 1860207.226445, 84840346.048626, 200406.527231, 2713.617503, 10.775003, 198467.026723, 4556.810262, 20
1476, 9, 5, 0, 255674.483005, 115221556.220529, 1343734.823593, 11916.584221, 72.241824, 1330731.295338, 4556.810262, 20
1476, 9, 6, 1, 576306.945542, 112833919.722222, 164866.514115, 5609.954250, 9.855556, 163092.514115, 4556.810262, 20
1476, 9, 7, 2, 853323.937888, 106780067.239646, 152186.651700, 2267.597494, 8.390068, 150676.439416, 4556.810262, 20
1476, 9, 8, 3, 1860207.226445, 84840346.048626, 200406.527231, 2713.617503, 10.775003, 198467.026723, 4556.810262, 20
2777, 9, 0, 0, 2348037.411362, 112877725.965274, 1266504.432936, 106094.944469, 22.712160, 1262416.244133, 1359.170158, 20
2777, 9, 1, 2, 6427178.678849, 100352888.560797, 152610.294627, 17079.392265, 2.353572, 152186.651700, 1359.170158, 20
