Job_unique_id, Job_shared_id, User_id, Selected_endpoint, Credit_lost, New_credit, Job_end_time, Energy_used_watt_hours, Number_of_cores_hours_used, Queue_time, Mean_duration_on_machines, Number_of_cores_used
2520, 9, 7, 2, 4387.815725, 11992835.245647, 23171.909351, 4290.936510, 10.684227, 21248.748551, 5621.481433, 20
2520, 9, 8, 3, 9902.376525, 11984341.463597, 28244.731904, 7143.327860, 12.902205, 25922.334987, 5621.481433, 20
1437, 9, 0, 2, 1644.053925, 11991191.191722, 28472.714705, 1644.053925, 206.142430, 23171.909351, 16172.344038, 140
1437, 9, 1, 2, 1644.053925, 11991191.191722, 28472.714705, 1644.053925, 206.142430, 23171.909351, 16172.344038, 140
1437, 9, 2, 3, 2943.079746, 11980085.848083, 9636.316671, 2159.582222, 270.369006, 2683.970812, 16172.344038, 140
1437, 9, 3, 1, 5487.993889, 11979664.936649, 31222.482456, 5429.371111, 226.372222, 25401.482456, 16172.344038, 140
1437, 9, 4, 0, 11173.975107, 11930014.363570, 235991.676082, 9245.180526, 1812.814303, 189376.451141, 16172.344038, 140
1437, 9, 5, 0, 11173.975107, 11930014.363570, 235991.676082, 9245.180526, 1812.814303, 189376.451141, 16172.344038, 140
1437, 9, 6, 1, 5487.993889, 11977882.372152, 37249.482456, 5429.371111, 226.372222, 31428.482456, 16172.344038, 140
1437, 9, 7, 2, 1644.053925, 11991191.191722, 28472.714705, 1644.053925, 206.142430, 23171.909351, 16172.344038, 140
1437, 9, 8, 3, 2943.079746, 11981398.383852, 35197.077763, 2159.582222, 270.369006, 28244.731904, 16172.344038, 140
790, 9, 0, 2, 8811.091844, 11982380.099878, 28821.587550, 8811.091844, 7.752730, 28472.714705, 976.530628, 80
790, 9, 1, 2, 8811.091844, 11982380.099878, 28821.587550, 8811.091844, 7.752730, 28472.714705, 976.530628, 80
790, 9, 2, 0, 55756.576143, 11924329.271940, 2588.101838, 47586.971361, 57.513374, 0.000000, 976.530628, 80
790, 9, 3, 0, 55756.576143, 11923908.360506, 2588.101838, 47586.971361, 57.513374, 0.000000, 976.530628, 80
790, 9, 4, 0, 55756.576143, 11874257.787427, 238579.777920, 47586.971361, 57.513374, 235991.676082, 976.530628, 80
790, 9, 5, 0, 55756.576143, 11874257.787427, 238579.777920, 47586.971361, 57.513374, 235991.676082, 976.530628, 80
790, 9, 6, 1, 21574.770000, 11956307.602152, 37832.482456, 18429.956667, 12.955556, 37249.482456, 976.530628, 80
790, 9, 7, 2, 8811.091844, 11982380.099878, 28821.587550, 8811.091844, 7.752730, 28472.714705, 976.530628, 80
790, 9, 8, 3, 14509.417405, 11966888.966446, 35583.225592, 10837.510420, 8.581063, 35197.077763, 976.530628, 80
2130, 9, 0, 2, 288.592374, 11982091.507504, 44834.763439, 288.592374, 1779.241765, 28821.587550, 50247.685246, 400
2130, 9, 1, 2, 288.592374, 11982091.507504, 44834.763439, 288.592374, 1779.241765, 28821.587550, 50247.685246, 400
2130, 9, 2, 1, 725.829345, 11923603.442595, 22113.649123, 644.431301, 1603.037037, 7686.315789, 50247.685246, 400
2130, 9, 3, 3, 567.897656, 11923340.462850, 22134.662728, 412.080376, 2459.406970, 0.000000, 50247.685246, 400
2130, 9, 4, 0, 2169.447571, 11872088.339857, 386995.346953, 1794.487297, 16490.618781, 238579.777920, 50247.685246, 400
2130, 9, 5, 0, 2169.447571, 11872088.339857, 386995.346953, 1794.487297, 16490.618781, 238579.777920, 50247.685246, 400
2130, 9, 6, 1, 725.829345, 11955581.772808, 52259.815789, 644.431301, 1603.037037, 37832.482456, 50247.685246, 400
2130, 9, 7, 2, 288.592374, 11982091.507504, 44834.763439, 288.592374, 1779.241765, 28821.587550, 50247.685246, 400
2130, 9, 8, 3, 567.897656, 11966321.068791, 57717.888321, 412.080376, 2459.406970, 35583.225592, 50247.685246, 400
2919, 9, 0, 2, 3354.498962, 11978737.008542, 87749.880933, 3354.498962, 238.417319, 44834.763439, 130678.728601, 20
2919, 9, 1, 2, 3354.498962, 11978737.008542, 87749.880933, 3354.498962, 238.417319, 44834.763439, 130678.728601, 20
2919, 9, 2, 2, 3354.498962, 11920248.943633, 53062.279017, 3354.498962, 238.417319, 10147.161523, 130678.728601, 20
