2507,75.774269,0,412,1277340,1,64,598,938,412,75.774269
2508,3.870567,0,10716,1277386,20,1280,598,939,214320,3.870567
2510,22.676096,0,1414,1277497,10,640,598,940,14140,22.676096
2512,70.306633,0,437,1277860,1,64,598,941,437,70.306633
2513,8.494030,0,4020,1278021,10,640,598,942,40200,8.494030
2514,22.196594,0,1409,1278281,20,1280,599,943,28180,22.196594
2515,69.470184,0,436,1278294,1,64,600,944,436,69.470184
2516,8.679109,0,3858,1278521,10,640,600,945,38580,8.679109
2517,70.309860,0,426,1278621,1,64,600,946,426,70.309860
2518,21.779110,0,1417,1278703,20,1280,601,947,28340,21.779110
2520,21.779110,0,1417,1278703,20,1280,601,947,28340,21.779110
2522,21.779110,0,1417,1278703,20,1280,601,947,28340,21.779110
2524,21.779110,0,1417,1278703,20,1280,601,947,28340,21.779110
2526,21.779110,0,1417,1278703,20,1280,601,947,28340,21.779110
2528,21.779110,0,1417,1278703,20,1280,601,947,28340,21.779110
2531,5.453616,0,6457,1279390,20,1280,603,949,129140,5.453616
2533,5.453616,0,6457,1279390,20,1280,603,949,129140,5.453616
2535,5.453616,0,6457,1279390,20,1280,603,949,129140,5.453616
2537,5.453616,0,6457,1279390,20,1280,603,949,129140,5.453616
2539,5.453616,0,6457,1279390,20,1280,603,949,129140,5.453616
2541,5.453616,0,6457,1279390,20,1280,603,949,129140,5.453616
2543,2.275617,0,22368,1279614,20,1280,604,950,447360,2.275617
2544,21.169758,0,1402,1279869,20,1280,605,951,28040,21.169758
2545,150.614975,0,187,1280169,1,64,605,952,187,93.883331
2546,60.843399,0,447,1281397,1,64,606,953,447,60.843399
2547,19.437155,0,1448,1281450,10,640,606,954,14480,19.437155
2552,63.330189,0,424,1281719,1,64,606,955,424,63.330189
2553,18.866035,0,1478,1281741,10,640,606,956,14780,18.866035
2554,61.454544,0,429,1282212,1,64,606,957,429,61.454544
2560,18.449385,0,1462,1282636,10,640,606,958,14620,18.449385
2564,1.122706,0,204823,1283014,2,128,607,959,409646,1.122706
2565,18.809793,0,1409,1283053,10,640,608,960,14090,18.809793
2567,18.043180,0,1459,1283281,10,640,610,962,14590,18.043180
2568,57.914745,0,434,1283446,1,64,610,963,434,57.914745
2569,18.576923,0,1404,1283469,20,1280,611,964,28080,18.576923
2570,18.488222,0,1401,1283646,10,640,612,965,14010,18.488222
2571,57.002289,0,437,1283674,1,64,612,966,437,57.002289
2572,131.363632,0,187,1283769,1,64,613,967,187,81.883331
2573,18.679972,0,1378,1283784,10,640,614,968,13780,18.679972
