Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,16755,9068.000000,617.984558,10354331.000000,864000.000000,4721.272949,79104928.000000,2646080.000000,4486409.000000,674649024.000000,1015535.000000,3661615.000000,1.934808,1.573326,10.454054,8.437107,0,0,1.934808,0.000000,0.000000,1.573326,0.000000,0.000000,10698
FCFS CONSERVATIVE BF MODE 2,16755,8899.000000,440.612305,7382459.000000,864000.000000,4549.855469,76232832.000000,2654656.000000,4486409.000000,674881984.000000,1106608.000000,3761264.000000,1.150945,1.059151,7.800000,7.800000,0,0,1.150945,0.000000,0.000000,1.059151,0.000000,0.000000,10580
EFT,16755,8776.000000,599.333801,10041838.000000,864000.000000,4703.543457,78807872.000000,2660352.000000,4486409.000000,674840640.000000,1016722.000000,3677074.000000,1.919377,1.563878,9.568421,8.682390,0,0,1.919377,0.000000,0.000000,1.563878,0.000000,0.000000,10721
EFT CONSERVATIVE BF MODE 2,16755,8893.000000,437.473755,7329873.000000,864000.000000,4546.607910,76178416.000000,2636544.000000,4486409.000000,674893376.000000,1123079.000000,3759623.000000,1.149652,1.057895,7.799038,7.799038,0,0,1.149652,0.000000,0.000000,1.057895,0.000000,0.000000,10740
SCORE,16755,591108.000000,1814.220947,30397272.000000,1068261.000000,5806.986328,97296056.000000,1163712.000000,4702673.000000,653817344.000000,604380.000000,1768092.000000,2.491466,2.166401,16.812197,16.812197,0,173,2.491466,0.000000,0.000000,2.166401,0.000000,0.000000,13662
SCORE CONSERVATIVE BF MODE 2,16755,591078.000000,1726.712646,28931070.000000,1068231.000000,5719.694336,95833480.000000,1187264.000000,4702643.000000,653928448.000000,586042.000000,1773306.000000,2.238680,1.971196,16.793833,16.793833,0,174,2.238680,0.000000,0.000000,1.971196,0.000000,0.000000,13494
OPPORTUNISTIC-SCORE MIX,16755,8895.000000,442.285889,7410500.000000,864000.000000,4550.468750,76243104.000000,2640000.000000,4486409.000000,674852416.000000,1103874.000000,3743874.000000,1.162491,1.066365,7.756731,7.756731,0,0,1.162491,0.000000,0.000000,1.066365,0.000000,0.000000,10706
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,16755,8850.000000,438.983643,7355171.000000,864000.000000,4548.132812,76203968.000000,2653056.000000,4486409.000000,674879040.000000,1106576.000000,3759632.000000,1.149979,1.058273,7.745193,7.745193,0,0,1.149979,0.000000,0.000000,1.058273,0.000000,0.000000,10578
EFT-SCORE MIX,16755,17369.000000,640.070496,10724381.000000,864000.000000,4685.153809,78499752.000000,1802048.000000,4486409.000000,661924416.000000,883511.000000,2685559.000000,1.715318,1.432891,13.223404,12.447205,0,0,1.715318,0.000000,0.000000,1.432891,0.000000,0.000000,11951
EFT-SCORE MIX CONSERVATIVE BF MODE 2,16755,15825.000000,596.268433,9990478.000000,864000.000000,4643.056641,77794416.000000,1799232.000000,4486409.000000,661924544.000000,914909.000000,2714141.000000,1.535853,1.314075,8.953416,8.953416,0,0,1.535853,0.000000,0.000000,1.314075,0.000000,0.000000,11883
EFT-SCORE MIX TH80,16755,14276.000000,595.416138,9976197.000000,864000.000000,4650.882324,77925536.000000,1863552.000000,4486409.000000,663327808.000000,995929.000000,2859481.000000,1.811789,1.477104,13.551352,12.447205,0,0,1.811789,0.000000,0.000000,1.477104,0.000000,0.000000,11978
EFT-SCORE MIX TH80 CONSERVATIVE BF MODE 2,16755,14090.000000,573.559875,9609996.000000,864000.000000,4629.278809,77563568.000000,1857536.000000,4486409.000000,663436096.000000,1006013.000000,2863549.000000,1.675331,1.390045,11.778378,10.633540,0,0,1.675331,0.000000,0.000000,1.390045,0.000000,0.000000,12026
