Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,45514,8528.000000,534.584900,24331096.000000,864000.000000,3539.021484,161075024.000000,5113152.000000,10380056.000000,668830784.000000,1617565.000000,6730717.000000,1.883729,1.857349,16.576719,10.443334,0,0,1.883729,0.000000,0.000000,1.857349,0.000000,0.000000,34691
FCFS CONSERVATIVE BF MODE 2,45514,9049.000000,408.758057,18604214.000000,864000.000000,3412.944092,155336736.000000,5088256.000000,10380056.000000,668724416.000000,1631209.000000,6719465.000000,1.624034,1.601636,9.641026,7.355120,0,0,1.624034,0.000000,0.000000,1.601636,0.000000,0.000000,34674
EFT,45514,8507.000000,534.526978,24328462.000000,864000.000000,3538.451904,161049104.000000,5075968.000000,10380056.000000,668508480.000000,1631718.000000,6707686.000000,1.882604,1.856221,16.333334,10.290000,0,0,1.882604,0.000000,0.000000,1.856221,0.000000,0.000000,34925
EFT CONSERVATIVE BF MODE 2,45514,9029.000000,409.684845,18646396.000000,864000.000000,3413.285645,155352288.000000,5061568.000000,10380056.000000,668524096.000000,1631257.000000,6692825.000000,1.622347,1.600031,9.543590,7.503268,0,0,1.622347,0.000000,0.000000,1.600031,0.000000,0.000000,34799
SCORE,45514,578500.000000,1522.015747,69273024.000000,864000.000000,4466.484863,203287600.000000,2638208.000000,10380056.000000,635303488.000000,1316388.000000,3954596.000000,1.674358,1.648770,80.429344,49.330002,0,107,1.674358,0.000000,0.000000,1.648770,0.000000,0.000000,40316
SCORE CONSERVATIVE BF MODE 2,45514,578500.000000,1541.909424,70178464.000000,864000.000000,4485.574219,204156432.000000,2632000.000000,10380056.000000,635235904.000000,1284590.000000,3916590.000000,1.706639,1.680087,80.548912,49.403332,0,108,1.706639,0.000000,0.000000,1.680087,0.000000,0.000000,40345
OPPORTUNISTIC-SCORE MIX,45514,8756.000000,400.901215,18246618.000000,864000.000000,3405.000244,154975184.000000,5084864.000000,10380056.000000,668577728.000000,1630113.000000,6714977.000000,1.613680,1.591022,14.830688,9.343333,0,0,1.613680,0.000000,0.000000,1.591022,0.000000,0.000000,34742
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,45514,9027.000000,385.347931,17538726.000000,864000.000000,3389.553711,154272144.000000,5099968.000000,10380056.000000,668570816.000000,1620392.000000,6720360.000000,1.586699,1.564451,9.610256,6.666212,0,0,1.586699,0.000000,0.000000,1.564451,0.000000,0.000000,34542
EFT-SCORE MIX,45514,32441.000000,870.099243,39601696.000000,864000.000000,3816.489746,173703712.000000,2967296.000000,10380056.000000,639252352.000000,1122021.000000,4089317.000000,1.767890,1.739036,78.896736,48.389999,0,49,1.767890,0.000000,0.000000,1.739036,0.000000,0.000000,39631
EFT-SCORE MIX CONSERVATIVE BF MODE 2,45514,30051.000000,847.505005,38573344.000000,864000.000000,3793.416260,172653552.000000,2994432.000000,10380056.000000,639537664.000000,1073331.000000,4067763.000000,1.792577,1.767318,11.717784,11.717784,0,43,1.792577,0.000000,0.000000,1.767318,0.000000,0.000000,39592
EFT-SCORE MIX TH80,45514,15900.000000,699.461182,31835276.000000,864000.000000,3659.616211,166563776.000000,3371712.000000,10380056.000000,645437248.000000,1345285.000000,4716997.000000,1.645690,1.619161,78.010872,47.846668,0,0,1.645690,0.000000,0.000000,1.619161,0.000000,0.000000,39144
EFT-SCORE MIX TH80 CONSERVATIVE BF MODE 2,45514,15857.000000,749.887268,34130368.000000,864000.000000,3708.827637,168803584.000000,3344832.000000,10380056.000000,645020352.000000,1315724.000000,4660556.000000,1.683632,1.657857,78.673912,48.253334,0,0,1.683632,0.000000,0.000000,1.657857,0.000000,0.000000,39204
