Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,15295,17374.000000,1866.029663,28540924.000000,727752.000000,6888.718750,105362952.000000,1814016.000000,4684005.000000,573647616.000000,1141724.000000,2955740.000000,5.843273,5.459215,86.109947,54.823334,0,0,5.843273,0.000000,0.000000,5.459215,0.000000,0.000000,8172
FCFS CONSERVATIVE BF MODE 2,15295,15376.000000,127.974701,1957373.000000,727752.000000,5149.053223,78754768.000000,1712000.000000,4684005.000000,573489024.000000,1220116.000000,2932116.000000,1.141191,1.099087,11.951567,11.951567,0,0,1.141191,0.000000,0.000000,1.099087,0.000000,0.000000,8840
EFT,15295,17104.000000,1953.371216,29876812.000000,727752.000000,6976.434082,106704560.000000,1806592.000000,4684005.000000,573714048.000000,1154756.000000,2961348.000000,6.075397,5.674115,88.267014,56.196667,0,0,6.075397,0.000000,0.000000,5.674115,0.000000,0.000000,8237
EFT CONSERVATIVE BF MODE 2,15295,15377.000000,121.374046,1856416.000000,727752.000000,5141.876953,78645008.000000,1723072.000000,4684005.000000,573448832.000000,1200274.000000,2923346.000000,1.128327,1.086269,11.952279,11.952279,0,0,1.128327,0.000000,0.000000,1.086269,0.000000,0.000000,8847
SCORE,15295,323980.000000,2300.357178,35183964.000000,727859.000000,7231.631836,110607808.000000,1073984.000000,4684138.000000,565538880.000000,480301.000000,1554285.000000,4.260077,4.053278,60.076405,60.076405,0,164,4.260077,0.000000,0.000000,4.053278,0.000000,0.000000,11145
SCORE CONSERVATIVE BF MODE 2,15295,323980.000000,1298.482666,19860292.000000,732606.000000,6232.013184,95318640.000000,1073472.000000,4688859.000000,565663680.000000,515561.000000,1589033.000000,1.851916,1.804061,32.457664,32.457664,0,76,1.851916,0.000000,0.000000,1.804061,0.000000,0.000000,11227
OPPORTUNISTIC-SCORE MIX,15295,15376.000000,510.271973,7804610.000000,727752.000000,5531.895508,84610344.000000,1730048.000000,4684005.000000,573532544.000000,1209863.000000,2939911.000000,2.156250,2.049113,27.073298,17.236666,0,0,2.156250,0.000000,0.000000,2.049113,0.000000,0.000000,8714
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,15295,14510.000000,133.366653,2039843.000000,727752.000000,5154.647461,78840336.000000,1716928.000000,4684005.000000,573505920.000000,1218219.000000,2935147.000000,1.141819,1.099723,11.431460,11.431460,0,0,1.141819,0.000000,0.000000,1.099723,0.000000,0.000000,8891
EFT-SCORE MIX,15295,123740.000000,2213.481934,33855208.000000,727859.000000,7146.161133,109300536.000000,1098048.000000,4684138.000000,565944384.000000,480301.000000,1578349.000000,4.259138,4.052338,60.076405,60.076405,0,164,4.259138,0.000000,0.000000,4.052338,0.000000,0.000000,11125
EFT-SCORE MIX CONSERVATIVE BF MODE 2,15295,121287.000000,1211.061401,18523184.000000,732606.000000,6145.997070,94003024.000000,1097536.000000,4688859.000000,566069184.000000,515561.000000,1613097.000000,1.850968,1.803113,32.457664,32.457664,0,76,1.850968,0.000000,0.000000,1.803113,0.000000,0.000000,11207
EFT-SCORE MIX TH80,15295,94450.000000,2167.885254,33157804.000000,727859.000000,7101.518555,108617728.000000,1113920.000000,4684138.000000,566224128.000000,480301.000000,1594221.000000,4.258188,4.051389,60.076405,60.076405,0,155,4.258188,0.000000,0.000000,4.051389,0.000000,0.000000,11112
EFT-SCORE MIX TH80 CONSERVATIVE BF MODE 2,15295,94322.000000,1163.547363,17796456.000000,732606.000000,6099.436523,93290880.000000,1113408.000000,4688859.000000,566348800.000000,515561.000000,1628969.000000,1.849976,1.802121,32.457664,32.457664,0,67,1.849976,0.000000,0.000000,1.802121,0.000000,0.000000,11194
