Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,30798,263.000000,0.408630,12585.000000,691200.000000,1309.741333,40337412.000000,1445439.000000,2334369.000000,213668176.000000,1454885.000000,2900324.000000,0.978061,0.718160,1.157783,1.157783,0,0,0.978061,0.000000,0.000000,0.718160,0.000000,0.000000,22541
FCFS CONSERVATIVE BF MODE 2,30798,296.000000,0.514384,15842.000000,691200.000000,1309.744385,40337508.000000,1451903.000000,2334369.000000,213667440.000000,1445246.000000,2897149.000000,0.977369,0.717752,1.177683,1.177683,0,0,0.977369,0.000000,0.000000,0.717752,0.000000,0.000000,22476
EFT,30798,289.000000,0.482044,14846.000000,691200.000000,1309.612671,40333452.000000,1421439.000000,2334369.000000,213662608.000000,1472547.000000,2893986.000000,0.976937,0.717443,1.177683,1.177683,0,0,0.976937,0.000000,0.000000,0.717443,0.000000,0.000000,22864
EFT CONSERVATIVE BF MODE 2,30798,370.000000,0.556789,17148.000000,691200.000000,1309.785400,40338772.000000,1429183.000000,2334369.000000,213665680.000000,1467923.000000,2897106.000000,0.977440,0.717786,1.185501,1.185501,0,0,0.977440,0.000000,0.000000,0.717786,0.000000,0.000000,22751
SCORE,30798,453600.000000,1437.481689,44271560.000000,691200.000000,2701.676270,83206224.000000,706303.000000,2334369.000000,206129296.000000,746314.000000,1452617.000000,1.482606,1.077764,14.261001,14.261001,0,237,1.482606,0.000000,0.000000,1.077764,0.000000,0.000000,26872
SCORE CONSERVATIVE BF MODE 2,30798,453600.000000,1391.254517,42847856.000000,691200.000000,2655.553711,81785744.000000,718015.000000,2334369.000000,206162608.000000,736704.000000,1454719.000000,1.493067,1.085385,37.635418,37.635418,0,237,1.493067,0.000000,0.000000,1.085385,0.000000,0.000000,26690
OPPORTUNISTIC-SCORE MIX,30798,399.000000,0.836223,25754.000000,691200.000000,1309.918335,40342864.000000,1411775.000000,2334369.000000,213662336.000000,1480724.000000,2892499.000000,0.976880,0.717457,1.198864,1.198864,0,0,0.976880,0.000000,0.000000,0.717457,0.000000,0.000000,23035
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,30798,399.000000,0.836223,25754.000000,691200.000000,1309.918335,40342864.000000,1411775.000000,2334369.000000,213662336.000000,1480724.000000,2892499.000000,0.976880,0.717457,1.198864,1.198864,0,0,0.976880,0.000000,0.000000,0.717457,0.000000,0.000000,23035
EFT-SCORE MIX,30798,27112.000000,496.796478,15300338.000000,691200.000000,1784.276123,54952136.000000,1156799.000000,2334369.000000,210810400.000000,1028246.000000,2185045.000000,1.369860,1.031868,26.263021,26.263021,0,17,1.369860,0.000000,0.000000,1.031868,0.000000,0.000000,24139
EFT-SCORE MIX CONSERVATIVE BF MODE 2,30798,27384.000000,510.597870,15725393.000000,691200.000000,1797.898071,55371664.000000,1153791.000000,2334369.000000,210784896.000000,1023587.000000,2177378.000000,1.370769,1.029706,20.507812,17.530001,0,18,1.370769,0.000000,0.000000,1.029706,0.000000,0.000000,24133
EFT-SCORE MIX TH80,30798,14618.000000,299.552277,9225611.000000,691200.000000,1601.380981,49319332.000000,1350911.000000,2334369.000000,212721488.000000,1289526.000000,2640437.000000,1.111423,0.840714,16.503906,14.086667,0,0,1.111423,0.000000,0.000000,0.840714,0.000000,0.000000,23115
EFT-SCORE MIX TH80 CONSERVATIVE BF MODE 2,30798,12887.000000,280.186127,8629172.000000,691200.000000,1582.759766,48745836.000000,1365439.000000,2334369.000000,212826832.000000,1304938.000000,2670377.000000,1.083548,0.815751,17.839806,12.250000,0,0,1.083548,0.000000,0.000000,0.815751,0.000000,0.000000,23014
