Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,16086,160299.000000,7904.968262,127159320.000000,1000466.000000,31851.082031,512356512.000000,2401344.000000,10835003.000000,4891794432.000000,356617.000000,2757961.000000,9.105303,8.349993,353.160095,353.160095,0,885,9.105303,0.000000,0.000000,8.349993,0.000000,0.000000,7752
FCFS CONSERVATIVE BF MODE 2,16086,159003.000000,5006.495605,80534488.000000,1000466.000000,28954.740234,465765952.000000,2413056.000000,10835003.000000,4891718656.000000,383475.000000,2796531.000000,5.161573,4.551665,185.090668,185.090668,0,604,5.161573,0.000000,0.000000,4.551665,0.000000,0.000000,7737
EFT,16086,158710.000000,8089.895020,130134048.000000,1000466.000000,32035.818359,515328160.000000,2398464.000000,10835003.000000,4891742208.000000,363479.000000,2761943.000000,9.682028,8.941307,395.761139,395.761139,0,906,9.682028,0.000000,0.000000,8.941307,0.000000,0.000000,7785
EFT CONSERVATIVE BF MODE 2,16086,161043.000000,4823.608887,77592576.000000,1000466.000000,28772.958984,462841824.000000,2421888.000000,10835003.000000,4891838976.000000,388937.000000,2810825.000000,4.892326,4.323025,139.163788,139.163788,0,545,4.892326,0.000000,0.000000,4.323025,0.000000,0.000000,7707
SCORE,16086,315221.000000,5859.251465,94251920.000000,1000466.000000,29750.824219,478571744.000000,1572608.000000,10835003.000000,4882557952.000000,300926.000000,1873534.000000,6.121988,5.395192,132.552353,132.552353,0,867,6.121988,0.000000,0.000000,5.395192,0.000000,0.000000,11085
SCORE CONSERVATIVE BF MODE 2,16086,316438.000000,4513.928223,72611048.000000,1000466.000000,28408.337891,456976512.000000,1611264.000000,10835003.000000,4882697216.000000,307077.000000,1918341.000000,3.787948,3.284024,63.538860,63.538860,0,531,3.787948,0.000000,0.000000,3.284024,0.000000,0.000000,10861
OPPORTUNISTIC-SCORE MIX,16086,158150.000000,7322.938477,117796792.000000,1000466.000000,31267.693359,502972128.000000,2386240.000000,10835003.000000,4891564544.000000,358464.000000,2744704.000000,8.730915,7.977748,307.633759,307.633759,0,896,8.730915,0.000000,0.000000,7.977748,0.000000,0.000000,7802
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,16086,161199.000000,5167.285156,83120952.000000,1000466.000000,29115.109375,468345664.000000,2409856.000000,10835003.000000,4891797504.000000,379107.000000,2788963.000000,5.404768,4.750097,189.501297,189.501297,0,539,5.404768,0.000000,0.000000,4.750097,0.000000,0.000000,7712
EFT-SCORE MIX,16086,334782.000000,5769.786621,92812784.000000,1000466.000000,29688.656250,477571712.000000,1986688.000000,10835003.000000,4889428992.000000,332261.000000,2318949.000000,6.419645,5.677245,117.603676,117.603676,0,859,6.419645,0.000000,0.000000,5.677245,0.000000,0.000000,10569
EFT-SCORE MIX CONSERVATIVE BF MODE 2,16086,336753.000000,4501.589844,72412576.000000,1000466.000000,28424.283203,457233024.000000,2022400.000000,10835003.000000,4889571328.000000,357240.000000,2379640.000000,3.925401,3.403801,63.277203,63.277203,0,557,3.925401,0.000000,0.000000,3.403801,0.000000,0.000000,10368
EFT-SCORE MIX TH80,16086,338090.000000,5806.674805,93406168.000000,1000466.000000,29726.691406,478183552.000000,1995008.000000,10835003.000000,4889604096.000000,337043.000000,2332051.000000,6.350875,5.677317,114.144356,114.144356,0,900,6.350875,0.000000,0.000000,5.677317,0.000000,0.000000,10572
EFT-SCORE MIX TH80 CONSERVATIVE BF MODE 2,16086,341571.000000,4580.317383,73678984.000000,1000466.000000,28504.181641,458518272.000000,2037568.000000,10835003.000000,4889748480.000000,357924.000000,2395492.000000,4.228114,3.659935,68.703369,68.703369,0,529,4.228114,0.000000,0.000000,3.659935,0.000000,0.000000,10272
